广工大院一楼带70方花园使用率高 西南北通风采光好,广工大院,黄花岗,3室2厅 ,72.23, 南 北 , 简装 ,7,1991, 塔楼,3,4,4990000.0,"69,085元/平",VR房源 房本满五年 随时看房 
中华广场旁南向精装三房 原装电梯,丽苑大厦(越秀区),东川路,3室1厅 ,73.71, 西南 , 精装 ,17,1998, 塔楼,3, 2个月以前发布,4580000.0,"62,136元/平",近地铁 VR看装修 房本满五年 随时看房 
此房过五不唯一，马赛克外墙，楼龄新，大院管理。,光孝路,西门口,2室1厅 ,68.44, 北 , 简装 ,9,1993, 塔楼,23, 一年前发布,1800000.0,"26,301元/平",VR看装修 房本满五年 随时看房 
东华西路 恒仕大厦 原装电梯高层三房,恒仕大厦,东川路,3室1厅 ,65.02, 西 , 其他 ,25,2000, 塔楼,5, 2个月以前发布,3880000.0,"59,674元/平",近地铁 VR房源 房本满五年 随时看房 
满五年，视野开阔，楼下就是地铁站，看房方便,广信华景大厦,五羊新城,3室1厅 ,64.85, 西北 , 简装 ,25,1995, 塔楼,0, 1个月以前发布,4400000.0,"67,849元/平",近地铁 VR看装修 房本满五年 随时看房 
满五，精致精装一房带阳台，离校园近，方便。,五羊小区,五羊新城,1室1厅 ,39.43, 南 , 其他 ,9,1986, 塔楼,0, 1个月以前发布,2750000.0,"69,744元/平",近地铁 VR房源 房本满五年 随时看房 
电梯实用小两房，住家装修，保养新净，格局方正,金麓山庄,麓景,2室1厅 ,37.24, 东 , 简装 ,7,2005, 塔楼,15, 一年前发布,1800000.0,"48,336元/平",VR看装修 房本满五年 随时看房 
康丽居正南朝向，采光通透楼龄新，大院管理，,康丽居,越秀南,1室1厅 ,62.32, 南 , 简装 ,28,2001, 塔楼,6, 9个月以前发布,3250000.0,"52,151元/平",近地铁 VR看装修 房本满五年 随时看房 
越秀区户口，广州大学南区，距桂小400米，70年产权！,广州大学宿舍,桂花岗,2室1厅 ,60.98, 南 北 , 精装 ,9,1992, 塔楼,50, 一年前发布,2680000.0,"43,949元/平",VR看装修 房本满五年 随时看房 
五羊小区 2室1厅 北,五羊小区,五羊新城,2室1厅 ,44.56, 北 , 其他 ,9,1986, 塔楼,0, 1个月以前发布,2630000.0,"59,022元/平",VR看装修 房本满五年 随时看房 
保利中环高层西向 视野开阔  诚意卖 预约看房,保利中环广场,建设路,1室0厅 ,59.13, 西 , 其他 ,36,2009, 塔楼,0, 4个月以前发布,1750000.0,"29,596元/平",近地铁 房本满五年 随时看房 
省级东风东 南北对流中层框架三房 采光通风好,农林下路,东山口,3室1厅 ,85.0, 南 北 , 精装 ,7,1988, 板楼,32, 9个月以前发布,5880000.0,"69,177元/平",近地铁 VR看装修 房本满五年 随时看房 
条形砖外墙，精致装修，标准3房1厅，证过五年,东风西路,东风西,3室1厅 ,77.85, 东南 , 精装 ,9,2000, 塔楼,240, 一年前发布,2150000.0,"27,618元/平",近地铁 VR看装修 房本满五年 随时看房 
旧部前 近地铁 唯一房产 一梯三户近广东省中医,大德路,解放南,2室2厅 ,82.84, 东 南 西 , 精装 ,9,1993, 塔楼,85, 5个月以前发布,2300000.0,"27,765元/平",近地铁 VR看装修 房本满五年 随时看房 
满五年 通风采光好 环境舒适安静 看房方便,东华西路,东川路,2室1厅 ,57.64, 西南 , 其他 ,9,1990, 塔楼,0, 1个月以前发布,2500000.0,"43,373元/平",近地铁 VR看装修 房本满五年 随时看房 
五羊新城南向安静电梯三房，户型方正,广信豪景大厦,五羊新城,3室1厅 ,104.06, 南 , 其他 ,25,1995, 塔楼,13, 5个月以前发布,7250000.0,"69,672元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五唯一 房改房 西南单边 视野开阔 采光充足,大新路,海珠广场,3室2厅 ,90.02, 西南 , 其他 ,9,1990, 塔楼,9, 7个月以前发布,3280000.0,"36,437元/平",近地铁 VR看装修 房本满五年 随时看房 
麓湖盛景  望到麓湖景观 视野好 产权清晰 通风采光好,麓湖盛景,麓景,1室1厅 ,49.57, 东南 , 简装 ,25,2007, 塔楼,64, 11个月以前发布,2460000.0,"49,627元/平",近地铁 VR看装修 房本满五年 随时看房 
农林下路 区庄 精装修 户型方正 采光好,农林下路,东山口,2室1厅 ,37.63, 南 北 , 精装 ,4,1985, 板楼,28, 5个月以前发布,2860000.0,"76,004元/平",VR看装修 房本满五年 随时看房 
农林华府 1室0厅 南,农林华府,环市东,1室0厅 ,35.93, 南 , 其他 ,7,2013, 塔楼,0, 1个月以前发布,3800000.0,"105,762元/平",VR看装修 房本满两年 随时看房 
东雅轩原装电梯 正规2房 东南向 随时看房,东雅轩,东川路,2室1厅 ,51.95, 东南 , 精装 ,28,2006, 塔楼,26, 4个月以前发布,3480000.0,"66,988元/平",VR房源 房本满两年 随时看房 
培正电梯三房，视野无遮挡看广州塔，全屋定制装修交付,达道西路,东山口,3室1厅 ,83.41, 东 , 精装 ,9,1994, 塔楼,15, 3个月以前发布,6560000.0,"78,648元/平",VR看装修 房本满五年 随时看房 
西北向，高楼层，视野好，安静，楼龄2013年,海印集团中心,东湖,2室2厅 ,83.31, 西北 , 精装 ,39,2013, 塔楼,83, 一年前发布,5700000.0,"68,420元/平",近地铁 VR房源 房本满两年 随时看房 
广工大院 南向电梯三房 采光充足门口花园,广工大院,黄花岗,3室2厅 ,87.68, 东南 , 精装 ,9,1999, 塔楼,10, 2个月以前发布,6150000.0,"70,142元/平",VR看装修 房本满五年 随时看房 
小北路 环境好，户型方正，采光通风好，视野开阔,小北路,小北,2室1厅 ,57.14, 东南 , 精装 ,10,2000, 塔楼,3, 11个月以前发布,4500000.0,"78,754元/平",近地铁 VR看装修 房本满五年 
寺右新马路  南北靓向  中层舒适,寺右新马路,五羊新城,3室1厅 ,65.56, 南 , 其他 ,8,1993, 塔楼,5, 6个月以前发布,4200000.0,"64,064元/平",近地铁 VR看装修 房本满五年 
东南北三面单边精装修全明三房，框架结构,水均岗,东风东,3室1厅 ,86.7, 东 南 , 其他 ,9,1989, 塔楼,4, 一年前发布,6800000.0,"78,432元/平",近地铁 VR看装修 房本满五年 
拥翠小区 框架结构 东南北向 通风采光好 满五年,拥翠小区,建设路,4室1厅 ,126.91, 南 北 , 其他 ,7,2000, 板楼,8, 7个月以前发布,6990000.0,"55,079元/平",近地铁 VR看装修 房本满两年 
高层，证满五年唯一，一直自住，保养好，环境安静,富力御龙庭,淘金,2室1厅 ,78.83, 南 西 , 精装 ,27,2004, 塔楼,10, 3个月以前发布,7300000.0,"92,605元/平",近地铁 VR房源 房本满五年 
花果山庄 精装两房 产权清晰 可看,花果山庄,桂花岗,2室1厅 ,96.62, 东 西 , 其他 ,10,2000, 塔楼,4, 8个月以前发布,4780000.0,"49,473元/平",VR房源 房本满五年 
淘金华庭 珠江实业 高层单边位视野开阔采光通风,淘金华庭,淘金,3室2厅 ,116.37, 东北 , 精装 ,32,2002, 塔楼,17, 一年前发布,8500000.0,"73,043元/平",近地铁 VR看装修 房本满五年 
广信鸿景大厦 3室1厅 东,广信鸿景大厦,五羊新城,3室1厅 ,98.68, 东 , 精装 ,25,1995, 塔楼,1, 4个月以前发布,7980000.0,"80,868元/平",近地铁 VR看装修 房本满五年 
精装三房，高层电梯，视野开阔，满五年,盈基大厦,东湖,3室1厅 ,94.91, 西 , 其他 ,30,2004, 塔楼,10, 5个月以前发布,5200000.0,"54,789元/平",近地铁 VR房源 房本满五年 
海印苑小区 安静单位 满五年唯一 西南向 望花园,海印苑,东湖,3室2厅 ,103.0, 西南 , 其他 ,22,1996, 塔楼,12, 8个月以前发布,8800000.0,"85,437元/平",近地铁 VR看装修 房本满五年 
水荫路西约小区 精装修 近地铁户型方正,水荫路,水荫,3室2厅 ,93.32, 西南 , 其他 ,9,1990, 塔楼,12, 4个月以前发布,4980000.0,"53,365元/平",近地铁 VR看装修 房本满两年 
五羊小区  东南北靓向三房  带独立天台花园  诚意出*,五羊小区,五羊新城,3室1厅 ,86.8, 南 北 , 精装 ,9,1993, 塔楼,33, 一年前发布,5680000.0,"65,438元/平",VR看装修 房本满五年 
水荫路 电梯房  方正实用 采光通风好  东风公园旁边,水荫路,水荫,2室2厅 ,83.13, 东 , 其他 ,9,1995, 塔楼,6, 一年前发布,5600000.0,"67,365元/平",近地铁 VR看装修 房本满五年 
"电梯实用五房，通风采光好,已满五年，生活交通方便",恒仕大厦,东川路,5室2厅 ,141.03, 东 西 , 简装 ,25,2000, 塔楼,28, 10个月以前发布,8080000.0,"57,293元/平",近地铁 VR看装修 房本满五年 
育才电梯房、小户型单位放卖 ，格局方正实用满五年,宝山大厦,水荫,3室2厅 ,110.82, 南 , 精装 ,18,1997, 塔楼,13, 6个月以前发布,7500000.0,"67,678元/平",VR看装修 房本满五年 
金色家园 中高层精致2房 南北对流,万科金色家园,东风东,2室1厅 ,91.63, 南 北 , 精装 ,33,2008, 塔楼,32, 10个月以前发布,11000000.0,"120,049元/平",VR看装修 房本满两年 
清水濠 加装电梯已公示 小面积三房 框架结构,德政中路,农讲所,3室1厅 ,61.53, 东 , 精装 ,9,2000, 塔楼,12, 6个月以前发布,3400000.0,"55,258元/平",VR房源 房本满两年 
越秀区北站路 户型方正 通风采光 交通便利 地铁三元里,北站路,机场路,2室2厅 ,70.6, 南 北 , 简装 ,9,1994, 板楼,18, 一年前发布,1860000.0,"26,346元/平",VR看装修 房本满两年 
精彩生活大厦电梯楼 西南向单边位置 采光充足视野开阔,精彩生活大厦,北京路,3室2厅 ,102.62, 西南 , 精装 ,24,2013, 塔楼,12, 7个月以前发布,10800000.0,"105,243元/平",VR看装修 房本满五年 
海珠北路金氏巷中高层全明三房，装修新净,海珠北路,西门口,3室1厅 ,70.18, 东北 , 其他 ,8,1980, 塔楼,29, 一年前发布,2900000.0,"41,323元/平",近地铁 VR看装修 房本满五年 
地铁淘金 恒福16中 原装电梯 满5年 全明3房2卫 朝中庭,恒福路,淘金,3室2厅 ,94.41, 东 西 北 , 精装 ,9,2005, 暂无数据,5, 一年前发布,6580000.0,"69,697元/平",近地铁 VR看装修 房本满五年 
尚峰酒店公寓 3室1厅 东南,尚峰酒店公寓,公园前,3室1厅 ,138.64, 东南 , 其他 ,46,2002, 塔楼,1, 4个月以前发布,6280000.0,"45,298元/平",近地铁 房本满五年 
户型方正三房电梯楼，配套成熟，近西门口地铁站,越富广场,西华路,3室1厅 ,82.8, 北 , 简装 ,17,1997, 塔楼,6, 一年前发布,4180000.0,"50,484元/平",近地铁 VR看装修 房本满五年 
小北路 近越秀公园  安静社区  格局方正,小北路,小北,3室1厅 ,72.88, 东 , 其他 ,9,1996, 塔楼,4, 一年前发布,5060000.0,"69,430元/平",近地铁 VR看装修 房本满两年 
花园小区 通风采光好  精致装修 安静舒适,东海嘉园,五羊新城,2室1厅 ,77.44, 西南 北 , 其他 ,29,2016, 塔楼,65, 一年前发布,9200000.0,"118,802元/平",近地铁 VR看装修 房本满五年 
润粤大厦 安静三房 装修新 原装电梯房 户型方正,润粤大厦,水荫,3室2厅 ,100.12, 北 , 其他 ,33,1999, 塔楼,2, 一年前发布,10000000.0,"99,881元/平",VR看装修 房本满五年 
淘金家园高层东南向大两房过五年视野开阔望小蛮腰,淘金家园二三期,淘金,2室2厅 ,95.04, 东南 , 精装 ,28,2005, 塔楼,1, 3个月以前发布,9280000.0,"97,644元/平",VR看装修 房本满五年 
加装电梯已缴费  格局方正   越秀公园旁 安静社区管理,小北路,小北,3室2厅 ,62.19, 东 , 其他 ,9,1996, 塔楼,3, 11个月以前发布,4900000.0,"78,791元/平",近地铁 VR看装修 房本满五年 
南北对流双阳台 厅大房大 大院管理 看房方便 诚意放盘,建设大马路,建设路,3室2厅 ,102.0, 南 北 , 精装 ,9,1988, 塔楼,5, 2个月以前发布,5500000.0,"53,922元/平",近地铁 VR看装修 房本满两年 
淘金家园三期 南向大三房114.9平高层视野好 中星,淘金家园二三期,淘金,3室2厅 ,114.91, 东南 , 简装 ,30,2004, 塔楼,23, 一年前发布,13650000.0,"118,789元/平",VR看装修 房本满五年 
大德大厦 原装电梯三房 公司对个人 产权清晰,大德大厦,解放南,3室2厅 ,118.75, 南 , 其他 ,22,1998, 塔楼,3, 一年前发布,4160000.0,"35,032元/平",VR看装修 房本满两年 
侨力大厦 电梯三房带主套 交通便利,侨力大厦,解放南,3室1厅 ,141.35, 北 , 精装 ,30,2003, 塔楼,33, 一年前发布,7080000.0,"50,089元/平",近地铁 VR看装修 房本满五年 
框架结构，双地铁，光线好，交通方便,中山二路,东川路,3室1厅 ,65.74, 南 , 其他 ,8,1990, 塔楼,8, 一年前发布,4480000.0,"68,148元/平",近地铁 VR看装修 房本满两年 
商品房，，楼龄新，东向，安静景观好,海印集团中心,东湖,2室1厅 ,61.2, 东 , 精装 ,39,2013, 塔楼,10, 一年前发布,5680000.0,"92,811元/平",近地铁 VR看装修 房本满五年 
三眼井安静社区  条形砖外墙  楼龄新  装修保养新净,小北路,小北,2室1厅 ,61.15, 东南 , 其他 ,10,2000, 塔楼,6, 6个月以前发布,4200000.0,"68,684元/平",近地铁 VR看装修 房本满两年 
大院管理 环境安静舒适 南北对流户型,东环路6号大院,环市东,3室1厅 ,49.31, 南 北 , 精装 ,6,1988, 板楼,27, 8个月以前发布,3500000.0,"70,980元/平",近地铁 VR看装修 房本满两年 
金麓山庄 中层电梯两房 商品够5 畔山环境好,金麓山庄,麓景,2室1厅 ,64.72, 东 北 , 简装 ,9,2005, 塔楼,12, 一年前发布,3100000.0,"47,899元/平",VR看装修 房本满五年 
杨箕板块 准电梯大两房全明 大院管理 采光很好,铁路宿舍大院,杨箕,2室1厅 ,71.0, 东南 , 简装 ,9,2000, 塔楼,248, 一年前发布,4000000.0,"56,339元/平",VR看装修 房本满五年 
大院管理 环境安静舒适 南北对流户型,东环路6号大院,环市东,3室1厅 ,49.31, 南 北 , 精装 ,6,1988, 板楼,27, 8个月以前发布,3500000.0,"70,980元/平",近地铁 VR看装修 房本满两年 
东山雅筑 两梯两户南北通透四房 安静舒适 户型实用,东山雅筑,东风东,4室2厅 ,163.08, 南 北 , 精装 ,33,2006, 塔楼,24, 8个月以前发布,12510000.0,"76,684元/平",近地铁 VR房源 房本满五年 
户型方正，楼层好 视野开阔，阳光充足 精装修,粤康阁,五羊新城,3室1厅 ,98.76, 东北 , 精装 ,26,1993, 塔楼,107, 一年前发布,6300000.0,"63,792元/平",近地铁 VR看装修 房本满两年 
业主自住，双阳台，精装欧式风格，视野开阔采光充足,广信汇景大厦,五羊新城,3室1厅 ,108.52, 东 北 , 精装 ,25,1993, 塔楼,64, 一年前发布,6580000.0,"60,634元/平",近地铁 VR看装修 房本满五年 
大南路 北京路地铁 步行街 配套齐全 交通便利 带阳台,大南路,北京路,3室2厅 ,110.0, 东 南 北 , 简装 ,9,2000, 塔楼,4, 一年前发布,4200000.0,"38,182元/平",VR看装修 房本满五年 
花果山社区 四面单边户型  户口无占用,花果山社区,桂花岗,3室1厅 ,86.25, 西南 , 其他 ,9,1990, 塔楼,2, 3个月以前发布,3360000.0,"38,957元/平",VR房源 房本满五年 
嘉和苑，马上满五唯一，北向望流花湖(三期）,嘉和苑,东风西,3室2厅 ,133.96, 东北 , 简装 ,22,2000, 塔楼,62, 一年前发布,7000000.0,"52,255元/平",近地铁 VR房源 房本满五年 
五羊新城 电梯大两房双阳台 近地铁,广信怡景大厦,五羊新城,2室1厅 ,89.66, 东北 , 其他 ,26,1993, 塔楼,3, 8个月以前发布,5200000.0,"57,997元/平",近地铁 VR房源 房本满五年 
环市东路 大院管理 格局方正 三房朝南 农林下路,环市东路466号大院,环市东,3室1厅 ,82.48, 南 北 , 简装 ,6,1994, 板楼,76, 9个月以前发布,5200000.0,"63,046元/平",VR看装修 房本满五年 
电梯 满五唯一  框架 全明屋  主卧带套间+南向阳台,金羊花园,杨箕,3室2厅 ,127.04, 西 南 , 简装 ,9,2000, 塔楼,236, 一年前发布,10800000.0,"85,013元/平",近地铁 VR看装修 房本满五年 
电梯采光好 通风好 交通便利 格局好,羊城商厦,人民路,3室1厅 ,79.14, 东 , 简装 ,22,1999, 塔楼,75, 一年前发布,3000000.0,"37,908元/平",近地铁 VR看装修 房本满五年 
泰康城广场 电梯大户型 南向望江,泰康城广场,海珠广场,3室2厅 ,167.71, 东南 , 精装 ,39,1997, 塔楼,18, 一年前发布,9000000.0,"53,665元/平",VR看装修 房本满五年 
东堤湾3+1房高层原装电梯，产权满五封闭小区安静不吵,富力东堤湾,杨箕,3室2厅 ,119.78, 西南 , 简装 ,30,2006, 塔楼,2, 2个月以前发布,20000000.0,"166,973元/平",近地铁 VR房源 房本满五年 
富力东堤湾 东向3房 望小区花园,富力东堤湾,杨箕,3室2厅 ,95.28, 东 西南 , 简装 ,31,2004, 塔楼,13, 一年前发布,11000000.0,"115,450元/平",近地铁 VR房源 房本满五年 
惠福西路     望小蛮腰     采光通风好  电梯上3楼,惠福西路,解放南,2室2厅 ,82.6, 东南 , 简装 ,9,1998, 塔楼,25, 一年前发布,2880000.0,"34,867元/平",VR看装修 房本满五年 
拥翠小区 框架结构 东南北向 通风采光好 满五年,拥翠小区,建设路,4室1厅 ,126.91, 南 北 , 其他 ,7,2000, 板楼,8, 7个月以前发布,6990000.0,"55,079元/平",近地铁 VR看装修 房本满两年 
大德路 高层三房 有加装电梯位 满五唯一 二胎家庭不错,大德路,解放南,3室2厅 ,111.28, 东 , 其他 ,9,1990, 塔楼,0, 一年前发布,3320000.0,"29,835元/平",近地铁 VR看装修 房本满五年 随时看房 
农林华府 1室0厅 南,农林华府,环市东,1室0厅 ,35.93, 南 , 其他 ,7,2013, 塔楼,0, 1个月以前发布,3800000.0,"105,762元/平",VR看装修 房本满两年 随时看房 
东风广场 安静两房 看房方便 小区花园,东风广场,东风东,2室1厅 ,70.53, 西南 , 其他 ,38,1998, 塔楼,7, 2个月以前发布,5770000.0,"81,754元/平",近地铁 VR看装修 房本满五年 随时看房 
保利中环高层西向 视野开阔  诚意卖 预约看房,保利中环广场,建设路,1室0厅 ,59.13, 西 , 其他 ,36,2009, 塔楼,0, 4个月以前发布,1750000.0,"29,596元/平",近地铁 房本满五年 随时看房 
条形砖外墙，精致装修，标准3房1厅，证过五年,东风西路,东风西,3室1厅 ,77.85, 东南 , 精装 ,9,2000, 塔楼,240, 一年前发布,2150000.0,"27,618元/平",近地铁 VR看装修 房本满五年 随时看房 
农林下路 区庄 精装修 户型方正 采光好,农林下路,东山口,2室1厅 ,37.63, 南 北 , 精装 ,4,1985, 板楼,28, 5个月以前发布,2860000.0,"76,004元/平",VR看装修 房本满五年 随时看房 
麓湖盛景  望到麓湖景观 视野好 产权清晰 通风采光好,麓湖盛景,麓景,1室1厅 ,49.57, 东南 , 简装 ,25,2007, 塔楼,64, 11个月以前发布,2460000.0,"49,627元/平",近地铁 VR看装修 房本满五年 随时看房 
农讲所双地铁，电梯平层三房，楼龄新净 ，诚意放盘,德政北路,农讲所,3室2厅 ,92.21, 北 , 精装 ,9,1995, 塔楼,3, 2个月以前发布,4100000.0,"44,464元/平",近地铁 VR房源 房本满五年 随时看房 
离梦想近实现舒适两房体验奢华生活自住改善选它没错！,五羊华轩,五羊新城,2室1厅 ,63.74, 东南 南 , 精装 ,24,2004, 塔楼,13, 4个月以前发布,5090000.0,"79,856元/平",近地铁 VR看装修 房本满五年 随时看房 
南北朝向，房改房不唯一，7楼， 双地铁 ，全明屋,共和苑,杨箕,1室1厅 ,31.55, 东南 , 精装 ,9,1992, 板楼,19, 5个月以前发布,1980000.0,"62,758元/平",近地铁 VR看装修 房本满五年 随时看房 
小北 证满五年 复式小三房 精装修 社区环境好,小北路,小北,2室1厅 ,42.19, 东 , 精装 ,5,1993, 塔楼,19, 3个月以前发布,1880000.0,"44,561元/平",VR房源 房本满五年 随时看房 
越秀八一希望 东向正规一房  准电梯 上车盘,西华路,西华路,1室1厅 ,33.33, 南 , 简装 ,9,1994, 塔楼,1, 2个月以前发布,999000.0,"29,973元/平",近地铁 VR看装修 房本满五年 随时看房 
小区绿化高 安静不吵 越秀教育区 框架结构,寺右东小区,五羊新城,3室1厅 ,82.46, 东 , 简装 ,9,1991, 塔楼,2, 2个月以前发布,4400000.0,"53,360元/平",近地铁 VR房源 房本满五年 随时看房 
东华西路 恒仕大厦 原装电梯高层三房,恒仕大厦,东川路,3室1厅 ,65.02, 西 , 其他 ,25,2000, 塔楼,5, 2个月以前发布,3880000.0,"59,674元/平",近地铁 VR房源 房本满五年 随时看房 
中华广场旁南向精装三房 原装电梯,丽苑大厦(越秀区),东川路,3室1厅 ,73.71, 西南 , 精装 ,17,1998, 塔楼,3, 2个月以前发布,4580000.0,"62,136元/平",近地铁 VR看装修 房本满五年 随时看房 
电梯实用小两房，住家装修，保养新净，格局方正,金麓山庄,麓景,2室1厅 ,37.24, 东 , 简装 ,7,2005, 塔楼,15, 一年前发布,1800000.0,"48,336元/平",VR看装修 房本满五年 随时看房 
此房过五不唯一，马赛克外墙，楼龄新，大院管理。,光孝路,西门口,2室1厅 ,68.44, 北 , 简装 ,9,1993, 塔楼,23, 一年前发布,1800000.0,"26,301元/平",VR看装修 房本满五年 随时看房 
东风广场 五期 南向 望花园  光线好保养新,东风广场,东风东,2室2厅 ,88.7, 南 , 精装 ,31,2015, 塔楼,52, 5个月以前发布,7260000.0,"81,754元/平",近地铁 VR看装修 房本满两年 随时看房 
东川大厦 高层 三房两厅 满五唯一 东南向 望江,东川大厦,东川路,3室2厅 ,117.32, 东南 , 精装 ,32,2003, 塔楼,28, 10个月以前发布,9150000.0,"77,992元/平",近地铁 VR房源 房本满五年 
石米外墙 钢筋混凝土结构 户型采光通风良好,广园西路,桂花岗,2室1厅 ,61.0, 北 , 简装 ,9,1989, 塔楼,156, 一年前发布,1280000.0,"20,984元/平",近地铁 VR看装修 房本满五年 
大院管理 两房 户型方正  邻进麓湖公园,下塘新村,麓景,2室1厅 ,73.32, 南 北 , 简装 ,9,1993, 塔楼,31, 一年前发布,2660000.0,"36,280元/平",近地铁 VR看装修 房本满五年 
双公园+5号线+双阳台 户型方正 安静准电梯,下塘新村,麓景,3室2厅 ,85.53, 南 北 , 简装 ,9,1993, 塔楼,39, 一年前发布,3990000.0,"46,651元/平",近地铁 VR看装修 房本满五年 
中科院小区 满五唯一 二房 精装修 南北对流,先烈中路81号大院,黄花岗,2室1厅 ,62.91, 南 北 , 精装 ,6,2000, 塔楼,30, 一年前发布,3660000.0,"58,179元/平",近地铁 VR看装修 房本满五年 
北京路商圈+省一级文德路+加装电梯四房+安静环境,文明路,农讲所,5室2厅 ,95.99, 东 南 西 , 简装 ,9,1990, 塔楼,52, 一年前发布,6890000.0,"71,779元/平",VR看装修 房本满五年 
越秀云山脚下，享成熟配套，交通方便，环境优美,清水塘小区,沙河,2室1厅 ,55.96, 北 , 简装 ,7,1995, 塔楼,8, 一年前发布,2000000.0,"35,740元/平",VR看装修 房本满五年 
仓边路 仁生里社区 低楼层二楼 东南向 农讲所地铁,仓边路,农讲所,5室2厅 ,106.1, 东南 西 , 简装 ,9,1990, 塔楼,72, 一年前发布,4050000.0,"38,172元/平",近地铁 VR房源 房本满五年 
明月小区  东南望花园  安静采光好,明月二路,五羊新城,4室2厅 ,110.94, 东南 , 简装 ,9,1988, 塔楼,5, 4个月以前发布,5500000.0,"49,577元/平",近地铁 VR看装修 房本满五年 
海珠北路  厅出阳台大两房  有位置装电梯,海珠北路,西门口,2室1厅 ,68.63, 东 , 其他 ,8,1992, 塔楼,107, 4个月以前发布,2280000.0,"33,222元/平",近地铁 VR看装修 房本满五年 
清水塘小区 配套齐 自住方便，满五,清水塘小区,沙河,3室1厅 ,75.01, 南 , 精装 ,7,1995, 塔楼,62, 一年前发布,2760000.0,"36,796元/平",VR看装修 房本满五年 
丰景复式三房  南向格局方正 低楼层舒适,丰景大厦,杨箕,3室2厅 ,87.21, 东南 , 简装 ,27,1998, 塔楼,4, 10个月以前发布,6280000.0,"72,011元/平",VR房源 房本满五年 
拥翠小区 框架结构，东南北向格局好 满五年,拥翠小区,建设路,4室1厅 ,126.91, 南 北 , 其他 ,7,2000, 板楼,8, 7个月以前发布,6990000.0,"55,079元/平",近地铁 VR看装修 房本满两年 
福莱花园 精装三房 看动物园 视野开阔,福莱花园,水荫,3室2厅 ,95.11, 西北 , 其他 ,30,1997, 塔楼,2, 2个月以前发布,5300000.0,"55,725元/平",VR看装修 房本满五年 
五羊新城 美景大厦 高层三房带主套 精装修,广信美景大厦,五羊新城,3室2厅 ,105.1, 西北 , 精装 ,25,1993, 塔楼,1, 2个月以前发布,6000000.0,"57,089元/平",近地铁 VR看装修 房本满五年 
明月小区  东南望花园  安静采光好,明月二路,五羊新城,4室2厅 ,110.94, 东南 , 简装 ,9,1988, 塔楼,5, 4个月以前发布,5500000.0,"49,577元/平",近地铁 VR看装修 房本满五年 
丰景复式三房  南向格局方正 低楼层舒适,丰景大厦,杨箕,3室2厅 ,87.21, 东南 , 简装 ,27,1998, 塔楼,4, 10个月以前发布,6280000.0,"72,011元/平",VR房源 房本满五年 
海珠北路  厅出阳台大两房  有位置装电梯,海珠北路,西门口,2室1厅 ,68.63, 东 , 其他 ,8,1992, 塔楼,107, 4个月以前发布,2280000.0,"33,222元/平",近地铁 VR看装修 房本满五年 
永福西约，户型方正，安静，楼层好,永福路永福西约,黄花岗,2室1厅 ,44.74, 南 , 简装 ,6,1995, 塔楼,3, 一年前发布,2110000.0,"47,162元/平",近地铁 VR看装修 房本满五年 
清水塘小区 配套齐 自住方便，满五,清水塘小区,沙河,3室1厅 ,75.01, 南 , 精装 ,7,1995, 塔楼,62, 一年前发布,2760000.0,"36,796元/平",VR看装修 房本满五年 
西南向 高层电梯 户型漂亮 厅出阳台 视野开阔,骏文雅苑,农讲所,4室2厅 ,158.35, 南 西 , 精装 ,33,2015, 塔楼,74, 9个月以前发布,15000000.0,"94,727元/平",近地铁 VR看装修 房本满五年 
拥翠小区 框架结构，东南北向格局好 满五年,拥翠小区,建设路,4室1厅 ,126.91, 南 北 , 其他 ,7,2000, 板楼,8, 7个月以前发布,6990000.0,"55,079元/平",近地铁 VR看装修 房本满两年 
福莱花园 精装三房 看动物园 视野开阔,福莱花园,水荫,3室2厅 ,95.11, 西北 , 其他 ,30,1997, 塔楼,2, 2个月以前发布,5300000.0,"55,725元/平",VR看装修 房本满五年 
小北地铁口+安静南向+越秀公园侧+原装电梯房+实用三房,天秀大厦,小北,3室1厅 ,84.94, 南 , 精装 ,30,1995, 塔楼,8, 10个月以前发布,4600000.0,"54,156元/平",近地铁 VR房源 房本满两年 
看房方便 业主诚心出买  房改房,东川路,东川路,2室1厅 ,51.87, 南 , 其他 ,8,1990, 塔楼,2, 5个月以前发布,3660000.0,"70,562元/平",近地铁 VR看装修 房本满五年 
81号大院 框架大两房 通风采光好,先烈中路81号大院,黄花岗,2室1厅 ,68.57, 南 , 其他 ,9,2000, 塔楼,6, 3个月以前发布,3680000.0,"53,668元/平",近地铁 VR房源 房本满五年 
越秀区广园东路 白云山脚下 安静空气好,广园东路,沙河,2室1厅 ,39.31, 南 , 简装 ,8,1996, 塔楼,2, 11个月以前发布,1450000.0,"36,887元/平",VR房源 房本满两年 
中山四路 3室1厅 西南,中山四路,农讲所,3室1厅 ,110.3, 西南 , 简装 ,9,1998, 塔楼,3, 3个月以前发布,5000000.0,"45,331元/平",近地铁 VR看装修 房本满五年 
楼龄新 单边位  采光通风好 近地铁 交通便利,聚贤阁,越秀南,3室1厅 ,88.64, 西南 , 简装 ,8,2000, 塔楼,4, 一年前发布,3990000.0,"45,014元/平",VR看装修 房本满两年 
