双地铁 临江物业 户型方正 装修新净,悦涛雅苑,黄埔区府,2室2厅 ,67.36, 北 , 精装 ,13,2000, 塔楼,0,6,2820000.0,"41,865元/平",近地铁 VR房源 房本满五年 随时看房 
珠江嘉园  两梯四户  安静舒适  总高17层  中间楼层,珠江嘉园,科学城,3室2厅 ,110.0, 南 , 精装 ,17,2015, 塔楼,8, 一年前发布,2550000.0,"23,182元/平",VR看装修 房本满两年 
石化生活区 地铁文冲 厅出阳台 南向两房 业主诚心卖,石化生活区,文冲,2室2厅 ,69.76, 南 , 简装 ,8,1976, 塔楼,4, 7个月以前发布,2350000.0,"33,687元/平",近地铁 VR看装修 房本满五年 
南向大3房  双阳台  通风采光俱佳,万科里享水韵,科学城,3室2厅 ,118.31, 南 , 精装 ,16,2017, 塔楼,6, 7个月以前发布,2700000.0,"22,822元/平",VR看装修 房本满两年 
老黄埔 满五年 户型方正 南向2房,丰逸尚居,文冲,2室2厅 ,64.0, 南 , 其他 ,29,2012, 塔楼,30, 8个月以前发布,3200000.0,"50,000元/平",近地铁 VR看装修 房本满五年 
宝能文化广场  采光好 交通便利 框架结构 户型实用,宝能文化广场,科学城,3室2厅 ,94.97, 东南 , 精装 ,31,2018, 塔楼,18, 10个月以前发布,4750000.0,"50,016元/平",近地铁 VR看装修 房本满两年 
龙光峰景华庭 精装三房 交通便利,龙光峰景华庭,科学城,3室2厅 ,87.29, 北 , 其他 ,18,2009, 塔楼,9, 10个月以前发布,2490000.0,"28,463元/平",VR看装修 房本满五年 
大沙地方正实用两房 配套齐全 出行方便 过五税低,盛景大厦,大沙地,2室1厅 ,74.0, 北 , 精装 ,9,2000, 塔楼,16, 一年前发布,2500000.0,"33,784元/平",近地铁 VR看装修 房本满五年 
高楼层视野开阔，采光和通风效果好，近双岗地铁。,黄埔万科中心,文冲,2室0厅 ,50.85, 南 , 精装 ,22,2016, 塔楼,20, 一年前发布,1220000.0,"23,993元/平",近地铁 房本满五年 
21号线水西站  精装4房复式，可明火,萝岗敏捷广场,科学城,4室2厅 ,107.13, 南 , 其他 ,18,2016, 板塔结合,10, 7个月以前发布,2450000.0,"22,870元/平",近地铁 房本满两年 
属于老黄埔临港商务区的两居室 次新房 5号线文冲地铁,丰逸尚居,文冲,2室1厅 ,64.26, 南 , 其他 ,29,2012, 塔楼,21, 11个月以前发布,3520000.0,"54,778元/平",近地铁 VR看装修 房本满五年 
户型方正，通风光线好，精装修保养好！,中海誉城南苑,香雪,2室2厅 ,79.69, 北 东北 , 精装 ,33,2015, 塔楼,6, 6个月以前发布,2580000.0,"32,376元/平",VR看装修 房本满两年 
楼层好、采光充足、交通方便、户型端正,实地常春藤,科学城,3室2厅 ,98.37, 南 , 精装 ,32,2018, 塔楼,32, 一年前发布,3030000.0,"30,803元/平",VR看装修 房本满两年 
新里程北向三房，出行利便，配套齐全,万科新里程,科学城,3室2厅 ,88.81, 北 , 精装 ,25,2009, 塔楼,29, 11个月以前发布,2990000.0,"33,601元/平",近地铁 VR看装修 房本满两年 
房子安静，南北对流，业主有心卖，看房方便。,龙光峰景华庭,科学城,3室2厅 ,85.89, 南 北 , 简装 ,18,2009, 塔楼,26, 一年前发布,2450000.0,"28,463元/平",VR看装修 房本满五年 
奥园春晓大4房 全新装修未住过  东南向单边位采光足,奥园春晓,科学城,4室2厅 ,142.31, 南 , 其他 ,25,2014, 塔楼,0, 2个月以前发布,5950000.0,"41,811元/平",近地铁 VR看装修 房本满两年 
满五唯一 税费少 南北对流 框架结构,文船生活区东区,文冲,2室2厅 ,73.9, 南 , 简装 ,8,1999, 塔楼,0, 3个月以前发布,2600000.0,"35,183元/平",近地铁 VR房源 房本满五年 
地段位置优越 在文冲地跌D出口 也是沃尔玛*市的上面,文冲商贸大厦,文冲,3室1厅 ,85.15, 北 , 精装 ,8,1997, 塔楼,19, 一年前发布,2900000.0,"34,058元/平",近地铁 VR房源 房本满五年 
此房户型方正 一梯两户 ，南北对流 正规四房,保利香雪山花园,科学城,4室1厅 ,128.93, 北 , 其他 ,10,2009, 板楼,30, 一年前发布,5110000.0,"39,596元/平",近地铁 VR看装修 房本满五年 
科城山庄锦泽园 4室1厅 南,科城山庄锦泽园,科学城,4室1厅 ,183.78, 南 , 其他 ,18,2015, 塔楼,2, 2个月以前发布,7190000.0,"39,118元/平",近地铁 VR房源 房本满五年 
中海誉城满二不唯一  南向三房带主套中层 视野开阔,中海誉城南苑,香雪,3室2厅 ,112.0, 南 北 , 其他 ,33,2015, 塔楼,0, 1个月以前发布,3950000.0,"35,268元/平",VR看装修 房本满两年 
电梯高楼层，视野开阔，阳光通透，4+1少有户型,东城雅苑,开发东区,4室2厅 ,133.01, 北 , 其他 ,12,2005, 塔楼,4, 7个月以前发布,3200000.0,"24,059元/平",VR房源 房本满两年 
满五唯一，户型方正，环境舒适，居住生活方便。,东城雅苑,开发东区,3室2厅 ,124.61, 南 , 简装 ,12,2005, 塔楼,3, 一年前发布,3200000.0,"25,681元/平",VR房源 房本满五年 
房子安静，南向看小区花园，业主新装修,龙光峰景华庭,科学城,3室2厅 ,90.85, 南 , 其他 ,18,2009, 塔楼,12, 7个月以前发布,2590000.0,"28,463元/平",VR看装修 房本满两年 
满五唯一，自住，看房方便。装修保养好,龙光峰景华庭,科学城,3室1厅 ,90.24, 东南 南 , 精装 ,18,2009, 塔楼,9, 5个月以前发布,2570000.0,"28,463元/平",VR房源 房本满五年 
奥园春晓三房房 精装修 业主诚心出*  自住保养好,奥园春晓,科学城,3室2厅 ,89.0, 西北 , 精装 ,18,2014, 塔楼,12, 一年前发布,3450000.0,"38,765元/平",VR看装修 房本满五年 
榕景园位于黄埔区黄埔大道和中山大道户型方正，采光好,榕景园,黄埔区府,2室1厅 ,62.69, 西北 , 其他 ,9,2001, 塔楼,17, 5个月以前发布,2430000.0,"38,763元/平",VR看装修 房本满五年 
银丰花园   东南向三房  地铁五号线  中层单位,银丰花园,黄埔区府,3室2厅 ,94.64, 东 南 , 简装 ,9,1998, 塔楼,5, 5个月以前发布,2810000.0,"29,660元/平",近地铁 VR房源 房本满五年 
黄埔区府 满五年物业 看房方便,港湾路,大沙地,2室1厅 ,64.85, 南 , 简装 ,7,1980, 塔楼,12, 一年前发布,2150000.0,"33,154元/平",VR看装修 房本满五年 
金港花园 电梯三房 诚意出* 配套成熟,金港花园（金堂楼/金满楼),黄埔区府,3室2厅 ,102.01, 北 , 其他 ,24,2000, 塔楼,71, 一年前发布,3600000.0,"35,291元/平",近地铁 VR看装修 房本满五年 
岭南林语三房两卫，户型方正，视野开阔通风好,保利越秀岭南林语,科学城,3室2厅 ,101.6, 西南 南 , 精装 ,32,2016, 塔楼,17, 10个月以前发布,4400000.0,"43,308元/平",VR看装修 房本满两年 
宏康东南向四房 高层看花园 格局方正、还＋必卖！！！,宏康花园五期宏康东筑,开发东区,4室2厅 ,123.87, 南 , 精装 ,22,2009, 塔楼,1, 2个月以前发布,2980000.0,"24,058元/平",VR房源 房本满五年 
此房安静，满五年，房子保养得很好，看房方便。,锦林山庄,科学城,3室2厅 ,97.6, 北 , 其他 ,11,2011, 塔楼,17, 5个月以前发布,2740000.0,"28,056元/平",近地铁 VR看装修 房本满五年 
港湾一村 大沙地地铁站5号线 格局方正 有平台,港湾一村,大沙地,2室2厅 ,59.97, 南 , 精装 ,7,1995, 塔楼,143, 9个月以前发布,2750000.0,"45,857元/平",近地铁 VR看装修 房本满五年 
实地常春藤中高楼层，东南向，通风采光好，视野广阔,实地常春藤,科学城,3室2厅 ,104.08, 南 北 , 精装 ,33,2017, 塔楼,14, 一年前发布,2900000.0,"27,864元/平",VR看装修 房本满两年 
港湾一村 2室1厅 南 北,港湾一村,大沙地,2室1厅 ,68.8, 南 北 , 简装 ,7,1995, 塔楼,1, 3个月以前发布,3000000.0,"43,605元/平",近地铁 VR看装修 房本满五年 
奥园广场复式三房，低楼层，空间大,萝岗奥园广场,香雪,3室2厅 ,86.34, 南 , 其他 ,19,2016, 塔楼,41, 一年前发布,2080000.0,"24,091元/平",近地铁 房本满五年 
正规三房，户型方正，实用面积大。厅出阳台,宏康花园四期康慧苑,开发东区,3室1厅 ,89.68, 南 , 精装 ,7,2005, 塔楼,1, 2个月以前发布,1990000.0,"22,191元/平",VR房源 房本满五年 
包增值税，业主换房，品质物业，有可谈空间,越秀保利爱特城,香雪,3室2厅 ,100.02, 南 , 其他 ,32,2016, 塔楼,57, 6个月以前发布,2880000.0,"28,795元/平",VR看装修 房本满五年 
电梯中层，南向采光好，阳光通透，户型方正,东城雅苑,开发东区,3室1厅 ,131.0, 南 , 精装 ,21,2005, 塔楼,8, 8个月以前发布,2980000.0,"22,749元/平",VR房源 房本满五年 
业主诚心出 看房方便 交通便利,腾飞园中新里,知识城,3室2厅 ,91.9, 南 , 简装 ,25,2016, 塔楼,42, 10个月以前发布,2445000.0,"26,606元/平",近地铁 VR看装修 房本满两年 
精装修自住标准全屋定制，置换忍痛割爱,腾飞园中新里,知识城,3室2厅 ,112.57, 南 , 精装 ,25,2016, 塔楼,4, 7个月以前发布,3300000.0,"29,316元/平",近地铁 VR房源 房本满两年 
中高楼层，定制家私，即买即住，省心省力,实地常春藤,科学城,3室2厅 ,96.78, 北 , 其他 ,33,2017, 塔楼,1, 1个月以前发布,2200000.0,"22,732元/平",VR看装修 房本满两年 随时看房 
视野开阔 户型方正 ，定制装修 ，诚心诚意,中海誉城南苑,香雪,3室2厅 ,93.42, 南 , 精装 ,33,2015, 塔楼,5, 6个月以前发布,3400000.0,"36,395元/平",VR看装修 房本满两年 
越秀保利爱特城四房  装修保养好  位置安静舒适,越秀保利爱特城,香雪,4室2厅 ,130.04, 南 北 , 精装 ,33,2016, 塔楼,10, 一年前发布,3580000.0,"27,530元/平",VR看装修 房本满两年 
万科幸福誉二期 标准四房  景观园林,万科幸福誉,知识城,4室2厅 ,115.0, 南 , 精装 ,33,2014, 板塔结合,7, 7个月以前发布,4150000.0,"36,087元/平",近地铁 VR看装修 房本满两年 
宏康东筑大三房自住保养好 诚意出手,宏康花园五期宏康东筑,开发东区,3室1厅 ,101.2, 东南 , 精装 ,22,2009, 塔楼,13, 一年前发布,2080000.0,"20,554元/平",VR看装修 房本满五年 
万科东荟城 南北对流大三房 安静望花园 诚心卖,万科东荟城,香雪,3室2厅 ,100.72, 南 , 精装 ,33,2016, 塔楼,3, 6个月以前发布,4980000.0,"49,445元/平",VR房源 房本满两年 
A区三房，南北对流户型，视野开阔，楼栋位置好,万科东荟城,香雪,3室2厅 ,100.0, 南 , 精装 ,33,2016, 塔楼,18, 5个月以前发布,4250000.0,"42,500元/平",VR看装修 房本满五年 
东荟城A区安静三房 南向不看路 中层。,万科东荟城,香雪,3室2厅 ,100.25, 西南 , 精装 ,33,2016, 塔楼,70, 一年前发布,4880000.0,"48,679元/平",VR看装修 房本满两年 
东荟城A区四房  满五年 中高楼层 安静不吵 南向,万科东荟城,香雪,4室2厅 ,124.0, 东南 , 其他 ,32,2016, 板塔结合,8, 7个月以前发布,6400000.0,"51,613元/平",VR看装修 房本满五年 
房源保养好，单边位，视野开阔，业主诚意出,万科东荟城,香雪,4室2厅 ,124.11, 南 , 其他 ,32,2016, 板塔结合,2, 6个月以前发布,6000000.0,"48,345元/平",VR看装修 房本满五年 
金梦实用小三房，装修保养好，业主诚心卖,万科金色梦想,香雪,3室2厅 ,75.86, 东北 , 精装 ,34,2015, 板塔结合,21, 一年前发布,2830000.0,"37,306元/平",VR看装修 房本满五年 
宏康东筑较少的 三房两卫楼层好*格好,宏康花园五期宏康东筑,开发东区,3室2厅 ,106.85, 东 南 北 , 精装 ,20,2009, 塔楼,31, 一年前发布,2600000.0,"24,334元/平",VR看装修 房本满两年 
A区中高层2房，自住装修保养好，满五唯一省重税,万科东荟城,香雪,2室1厅 ,76.12, 北 , 精装 ,33,2016, 塔楼,26, 一年前发布,3350000.0,"44,010元/平",VR看装修 房本满五年 
东荟城四房安静位置　满五年产权清晰　中间楼层,万科东荟城,香雪,4室2厅 ,123.0, 东南 , 其他 ,28,2016, 塔楼,0, 4个月以前发布,6000000.0,"48,781元/平",VR看装修 房本满五年 
中海誉城南苑南向三房，望泳池景观好，通风采光好,中海誉城南苑,香雪,3室1厅 ,93.35, 南 , 精装 ,33,2015, 塔楼,6, 4个月以前发布,3650000.0,"39,101元/平",VR看装修 房本满两年 
万科东荟城A区中间位置四房两卫，安静舒适,万科东荟城,香雪,4室2厅 ,124.26, 南 , 精装 ,33,2016, 塔楼,0, 1个月以前发布,5650000.0,"45,470元/平",VR看装修 房本满五年 
万科东荟城 4室2厅 南,万科东荟城,香雪,4室2厅 ,123.0, 南 , 其他 ,33,2016, 塔楼,25, 一年前发布,5900000.0,"47,968元/平",VR看装修 房本满五年 
地铁口 精装两房 满五唯一 格局方正 采光好,悦时代花园心悦湾,文冲,2室1厅 ,85.07, 南 , 精装 ,33,2013, 塔楼,10, 9个月以前发布,4600000.0,"54,074元/平",近地铁 VR看装修 房本满五年 
此房满两年，望花园，楼层好，视野开阔采光好,万科东荟城,香雪,3室2厅 ,101.79, 东南 , 其他 ,32,2016, 塔楼,35, 一年前发布,4600000.0,"45,192元/平",VR看装修 房本满两年 
万科东荟城，南向三房，免费车位，自住保养好，税费少,万科东荟城,香雪,3室2厅 ,86.08, 南 , 精装 ,28,2015, 塔楼,48, 一年前发布,4000000.0,"46,469元/平",VR看装修 房本满五年 
户型方正，业主诚意放卖，满五唯一.,万科东荟城,香雪,3室2厅 ,96.25, 南 , 精装 ,33,2016, 塔楼,3, 5个月以前发布,4350000.0,"45,195元/平",VR看装修 房本满五年 
萝岗6号线香雪地铁上，大三房精装修，南向中层。,飞晟文汇,香雪,3室1厅 ,128.36, 南 , 其他 ,18,2016, 塔楼,1, 5个月以前发布,2400000.0,"18,698元/平",近地铁 房本满五年 
时代春树里：精装四房两卫，南北对流使用率高！,时代春树里,香雪,4室2厅 ,113.11, 南 , 精装 ,35,2017, 塔楼,153, 一年前发布,4000000.0,"35,364元/平",VR看装修 房本满两年 
时代春树里 此房满两年 刚需实用,时代春树里,香雪,3室2厅 ,81.9, 北 , 精装 ,26,2016, 塔楼,272, 一年前发布,2710000.0,"33,090元/平",VR看装修 房本满两年 
位置佳、楼层好、自住保养好、居住舒适度高,万科东荟城,香雪,3室2厅 ,99.34, 南 , 其他 ,33,2016, 塔楼,25, 一年前发布,4940000.0,"49,729元/平",VR看装修 房本满五年 
少有南向86的三房，位置安静，户型方正，业主诚心卖！,万科金色梦想,香雪,3室2厅 ,86.0, 南 , 精装 ,28,2015, 板塔结合,377, 一年前发布,3400000.0,"39,535元/平",VR看装修 房本满五年 
高层南向大三房安静不吵  证满五年 省税  买房带车位,万科东荟城,香雪,3室2厅 ,96.71, 西南 , 其他 ,33,2016, 塔楼,5, 10个月以前发布,4600000.0,"47,565元/平",VR看装修 房本满五年 
春树里望小区高层小三房 装修保养好 公园旁,时代春树里,香雪,3室1厅 ,81.75, 西北 , 精装 ,34,2016, 塔楼,16, 3个月以前发布,2700000.0,"33,028元/平",VR看装修 房本满两年 
东荟城好位置三房，满五，看花园，安静，户型方正,万科东荟城,香雪,3室2厅 ,84.82, 东北 , 其他 ,33,2016, 塔楼,0, 1个月以前发布,3650000.0,"43,033元/平",VR看装修 房本满五年 
东荟城四房安静位置　满五年产权清晰　中间楼层,万科东荟城,香雪,4室2厅 ,123.0, 东南 , 其他 ,28,2016, 塔楼,0, 4个月以前发布,6000000.0,"48,781元/平",VR看装修 房本满五年 
越秀保利爱特城四房，格局通透，户型方正,越秀保利爱特城,香雪,4室2厅 ,129.03, 南 北 , 其他 ,33,2016, 塔楼,0, 2个月以前发布,3780000.0,"29,296元/平",VR看装修 房本满两年 
万科幸福誉 4室2厅 南,万科幸福誉,知识城,4室2厅 ,114.4, 南 , 其他 ,33,2014, 板塔结合,4, 3个月以前发布,4000000.0,"34,966元/平",近地铁 VR房源 房本满两年 
时代天韵一期南向大四房双阳台望花园,时代天韵,知识城,4室1厅 ,128.71, 东南 , 其他 ,32,2016, 塔楼,0, 2个月以前发布,4450000.0,"34,574元/平",近地铁 VR看装修 房本满两年 
万科东荟城A区中间位置四房两卫，安静舒适,万科东荟城,香雪,4室2厅 ,124.26, 南 , 精装 ,33,2016, 塔楼,0, 1个月以前发布,5650000.0,"45,470元/平",VR看装修 房本满五年 
万科金色梦想 复式四房 南向望花园,万科金色梦想,香雪,4室2厅 ,95.0, 东南 南 , 精装 ,40,2015, 板塔结合,4, 6个月以前发布,4260000.0,"44,843元/平",VR房源 房本满两年 
知识城置换改善大户型，凤凰湖湖景大平层。,时代天韵,知识城,4室2厅 ,173.8, 南 北 , 精装 ,32,2016, 塔楼,26, 一年前发布,7000000.0,"40,277元/平",近地铁 VR看装修 房本满五年 
看房方便，采光充足，：精装修，保养的很好。,时代春树里,香雪,3室2厅 ,81.69, 北 , 其他 ,34,2017, 塔楼,12, 4个月以前发布,2730000.0,"33,420元/平",VR看装修 房本满两年 
中海誉城南苑 南向 采光好 安静3房,中海誉城南苑,香雪,3室2厅 ,123.32, 南 , 精装 ,33,2015, 塔楼,3, 7个月以前发布,4650000.0,"37,707元/平",VR看装修 房本满两年 
中高楼层，光线视野好，房子保养好，业主有心卖,中海誉城南苑,香雪,3室2厅 ,120.82, 南 , 精装 ,44,2015, 塔楼,1, 5个月以前发布,4350000.0,"36,004元/平",VR看装修 房本满两年 
万科东荟城安静舒适望花园横厅三房,万科东荟城,香雪,3室2厅 ,95.29, 南 北 , 其他 ,33,2016, 塔楼,27, 一年前发布,4750000.0,"49,848元/平",VR看装修 房本满两年 
望小区花园 ，安静不吵，户型实用性高，格局方正,万科城市花园,文冲,3室2厅 ,97.59, 西北 , 其他 ,11,2003, 塔楼,2, 3个月以前发布,4020000.0,"41,176元/平",近地铁 VR看装修 房本满两年 
位置好楼层佳（中高楼层），通风采光好，保养新,万科东荟城,香雪,3室2厅 ,101.24, 南 , 精装 ,18,2016, 塔楼,29, 一年前发布,4800000.0,"47,413元/平",VR看装修 房本满五年 
东荟城  南向中间楼层大三房  可满五年,万科东荟城,香雪,3室2厅 ,100.72, 南 北 , 其他 ,33,2016, 塔楼,37, 11个月以前发布,4500000.0,"44,679元/平",VR看装修 房本满五年 
房源保养好，单边位，视野开阔，业主诚意出,万科东荟城,香雪,4室2厅 ,124.11, 南 , 其他 ,32,2016, 板塔结合,2, 6个月以前发布,6000000.0,"48,345元/平",VR看装修 房本满五年 
东荟城A区四房  满五年 中高楼层 安静不吵 南向,万科东荟城,香雪,4室2厅 ,124.0, 东南 , 其他 ,32,2016, 板塔结合,8, 7个月以前发布,6400000.0,"51,613元/平",VR看装修 房本满五年 
时代春树里舒适三房，安静位置 含地下车位,时代春树里,香雪,3室1厅 ,81.69, 北 , 其他 ,34,2017, 塔楼,28, 8个月以前发布,2800000.0,"34,276元/平",VR看装修 房本满两年 
东荟城 近地铁三房 满五年税费低 南向中高楼层,万科东荟城,香雪,3室2厅 ,100.0, 南 , 精装 ,33,2016, 塔楼,3, 9个月以前发布,4900000.0,"49,000元/平",VR看装修 房本满五年 
奥园香雪公馆，配套齐全，出行便捷,奥园香雪公馆,香雪,3室1厅 ,94.71, 南 , 简装 ,32,2017, 塔楼,8, 8个月以前发布,4800000.0,"50,682元/平",近地铁 VR看装修 房本满两年 
万科金色悦府 南北对流 大三房带主套 带精装修,万科金色悦府,文冲,3室2厅 ,100.06, 南 , 精装 ,31,2012, 塔楼,17, 9个月以前发布,4540000.0,"45,294元/平",近地铁 VR看装修 房本满五年 
业主包增值税，南向单边位高楼层，望别墅近公园,时代春树里,香雪,3室2厅 ,93.48, 南 , 精装 ,27,2016, 塔楼,1, 2个月以前发布,3450000.0,"36,907元/平",VR看装修 房本满两年 
万科东荟城A区中间楼层四房，安静采光好,万科东荟城,香雪,4室2厅 ,123.62, 南 北 , 其他 ,33,2016, 塔楼,27, 一年前发布,6250000.0,"50,559元/平",VR看装修 房本满五年 
全新未入住，房位于小区中间位置，安静望小区花园，。,时代春树里,香雪,4室1厅 ,113.61, 南 , 其他 ,28,2016, 塔楼,9, 一年前发布,4990000.0,"43,923元/平",VR看装修 房本满两年 
富力悦禧花园 高层 南向 三房 望山景 户型方正 安静,富力悦禧花园,开发东区,3室2厅 ,86.96, 南 , 精装 ,33,2017, 塔楼,7, 4个月以前发布,2600000.0,"29,899元/平",VR看装修 房本满两年 
黄埔科学城长岭居金融街融穗御府93平的南向3房，,金融街融穗御府,科学城,3室1厅 ,92.76, 南 , 精装 ,30,2016, 塔楼,156, 一年前发布,3900000.0,"42,044元/平",VR看装修 房本满两年 
东澳广场2房皆朝南，业主自己住保养好,东澳广场,开发东区,2室2厅 ,80.0, 西南 , 精装 ,18,2005, 塔楼,2, 2个月以前发布,1700000.0,"21,250元/平",VR房源 房本满五年 
珠江嘉园精装修三房 南北对流 采光好,珠江嘉园,科学城,3室2厅 ,101.57, 南 , 精装 ,32,2015, 塔楼,21, 一年前发布,2660000.0,"26,189元/平",VR看装修 房本满两年 
精装南向大三房，南北通透格局，采光好,珠江嘉园,科学城,3室2厅 ,101.42, 南 北 , 精装 ,32,2015, 塔楼,93, 一年前发布,2660000.0,"26,228元/平",VR看装修 房本满五年 
复古装修南向大三房 中楼层 采光好无遮挡,珠江嘉园,科学城,3室2厅 ,113.07, 南 , 精装 ,12,2017, 塔楼,3, 一年前发布,3060000.0,"27,063元/平",VR看装修 房本满两年 
珠江嘉园三房 朝北向 业主诚心放卖,珠江嘉园,科学城,3室2厅 ,91.19, 北 , 精装 ,32,2017, 塔楼,84, 一年前发布,2250000.0,"24,674元/平",VR看装修 房本满两年 
南向大三房 釆光充足 中高楼层视野宽阔,珠江嘉园,科学城,3室2厅 ,101.42, 东南 , 精装 ,32,2015, 塔楼,5, 一年前发布,2510000.0,"24,749元/平",VR看装修 房本满五年 
珠江嘉园 刚需必看  重新装修 满二唯一,珠江嘉园,科学城,3室2厅 ,91.41, 北 , 精装 ,32,2015, 塔楼,67, 一年前发布,2600000.0,"28,444元/平",VR看装修 房本满五年 
珠江嘉园北向大三房 采光充足 红本在*,珠江嘉园,科学城,3室2厅 ,91.09, 北 , 精装 ,32,2015, 塔楼,36, 一年前发布,2220000.0,"24,372元/平",VR看装修 房本满五年 
奥园香雪华府 3室2厅 东南,奥园香雪华府,香雪,3室2厅 ,115.72, 东南 , 其他 ,32,2017, 塔楼,9, 9个月以前发布,6540000.0,"56,516元/平",近地铁 VR看装修 房本满两年 
双地铁 小区门口20米距离 交通便利,金逸雅居,黄埔区府,3室1厅 ,118.59, 东南 , 其他 ,17,2006, 塔楼,5, 5个月以前发布,4310000.0,"36,330元/平",近地铁 VR房源 房本满五年 
地铁口旁 东南向大三房 视野广阔 采光通风好,腾飞园中新里,知识城,3室1厅 ,113.46, 南 , 精装 ,25,2016, 塔楼,0, 2个月以前发布,3080000.0,"27,147元/平",近地铁 VR看装修 房本满两年 
满五唯一免重税、东南向单边位大三房、业主急卖,万科东荟城,香雪,3室2厅 ,96.25, 南 北 , 精装 ,33,2016, 塔楼,10, 6个月以前发布,4320000.0,"44,884元/平",VR看装修 房本满五年 
东荟城横厅大三房  保养好 楼层好 看房提前预约,万科东荟城,香雪,3室2厅 ,97.35, 南 , 其他 ,23,2015, 塔楼,3, 5个月以前发布,4300000.0,"44,171元/平",VR房源 房本满两年 
万科金色悦府  电梯房 精装三房  地铁五号线,万科金色悦府,文冲,3室2厅 ,82.79, 西 北 , 精装 ,31,2014, 塔楼,4, 3个月以前发布,3750000.0,"45,294元/平",近地铁 VR看装修 房本满两年 
万科东荟城 南向大三房   安静舒适 业主诚心放卖,万科东荟城,香雪,3室2厅 ,100.79, 西南 南 , 其他 ,32,2016, 塔楼,4, 3个月以前发布,4250000.0,"42,167元/平",VR看装修 房本满两年 
小区中间位置，安静舒适！好楼层，采光充足,万科东荟城,香雪,3室1厅 ,100.81, 南 , 精装 ,32,2016, 塔楼,7, 一年前发布,4850000.0,"48,111元/平",VR看装修 房本满五年 
越秀保利爱特城四房，格局通透，户型方正,越秀保利爱特城,香雪,4室2厅 ,129.03, 南 北 , 其他 ,33,2016, 塔楼,0, 2个月以前发布,3780000.0,"29,296元/平",VR看装修 房本满两年 
万科幸福誉 4室2厅 南,万科幸福誉,知识城,4室2厅 ,114.4, 南 , 其他 ,33,2014, 板塔结合,4, 3个月以前发布,4000000.0,"34,966元/平",近地铁 VR房源 房本满两年 
南向改善户型三房  视野开阔  楼层好  望山,中海誉城南苑,香雪,3室2厅 ,120.55, 南 , 精装 ,44,2015, 塔楼,29, 一年前发布,4900000.0,"40,648元/平",VR看装修 房本满两年 
位置好楼层佳（中高楼层），通风采光好，保养新,万科东荟城,香雪,3室2厅 ,100.25, 南 西南 , 其他 ,33,2016, 塔楼,30, 一年前发布,4690000.0,"46,784元/平",VR看装修 房本满两年 
万科东荟城 安静高层南向 装修保养好 诚心出*,万科东荟城,香雪,4室2厅 ,123.73, 南 , 精装 ,33,2016, 塔楼,15, 一年前发布,6180000.0,"49,948元/平",VR看装修 房本满两年 
全屋家私，房子保养好，小区人车分流，小区安静舒服,时代天韵,知识城,3室2厅 ,121.37, 南 , 精装 ,20,2018, 塔楼,0, 3个月以前发布,4250000.0,"35,017元/平",近地铁 VR看装修 房本满两年 
时代天韵一期南向大四房双阳台望花园,时代天韵,知识城,4室1厅 ,128.71, 东南 , 其他 ,32,2016, 塔楼,0, 2个月以前发布,4450000.0,"34,574元/平",近地铁 VR看装修 房本满两年 
万科新里程北向中楼层精装三房，近地铁，配套成熟,万科新里程,科学城,3室2厅 ,88.81, 西北 , 其他 ,25,2009, 塔楼,4, 6个月以前发布,2990000.0,"33,601元/平",近地铁 VR看装修 房本满五年 
越秀保利爱特城 南北对流 大三房,越秀保利爱特城,香雪,3室2厅 ,100.02, 南 , 精装 ,32,2016, 塔楼,19, 一年前发布,3000000.0,"29,995元/平",VR看装修 房本满两年 
新世纪花苑 BRT乌冲站旁 电梯南向两房  装修保养好,新世纪花苑,黄埔区府,2室2厅 ,78.82, 南 , 其他 ,9,1995, 塔楼,0, 4个月以前发布,2760000.0,"35,017元/平",VR看装修 房本满五年 
中海誉城南苑东南大三房  望小区泳池  装修保养精致,中海誉城南苑,香雪,3室1厅 ,121.48, 东南 , 其他 ,33,2015, 塔楼,19, 一年前发布,5280000.0,"43,464元/平",VR看装修 房本满两年 
房采用精装修，格局方正，高楼层，南北对流,实地常春藤,科学城,3室1厅 ,104.45, 东南 , 其他 ,33,2018, 塔楼,4, 一年前发布,3300000.0,"31,595元/平",VR看装修 房本满两年 
黄埔东澳广场精装大三房，楼层好，诚意出,东澳广场,开发东区,3室2厅 ,112.3, 北 , 精装 ,18,2005, 塔楼,0, 7个月以前发布,2500000.0,"22,262元/平",VR房源 房本满两年 
业主诚心出*，东南向中层小三房，近地铁,万科幸福誉,知识城,3室2厅 ,88.76, 东南 , 精装 ,26,2014, 板塔结合,12, 一年前发布,3450000.0,"38,869元/平",近地铁 VR看装修 房本满五年 
二期正南向小三房，户型方正，看泳池，安静舒适,万科幸福誉,知识城,3室1厅 ,88.3, 西南 , 精装 ,34,2014, 板塔结合,3, 9个月以前发布,3050000.0,"34,542元/平",近地铁 VR房源 房本满两年 
二期中高层大三房，看整个二期园林和泳池，诚心出,万科幸福誉,知识城,3室2厅 ,97.22, 东南 , 精装 ,34,2014, 板塔结合,13, 10个月以前发布,3380000.0,"34,767元/平",近地铁 VR看装修 房本满两年 
科学城宝能文化广场南向三房 业主保养的很好诚意放盘,宝能文化广场,科学城,3室2厅 ,94.97, 东南 , 其他 ,31,2018, 塔楼,2, 5个月以前发布,5000000.0,"52,649元/平",近地铁 VR看装修 房本满两年 
