合一国际 南向 三房有主套 漂亮装修  中空大厅,合一国际,同和,3室1厅 ,69.16, 南 , 精装 ,18,2006, 塔楼,44, 9个月以前发布,3380000,"48,873元/平",近地铁 VR房源 房本满两年 随时看房 
同雅苑，筹备电梯中，实用三房，看房方便,同德花园同雅苑,同德围,3室1厅 ,83, 北 , 简装 ,9,1998, 塔楼,21, 一年前发布,2050000,"24,699元/平",近地铁 VR看装修 房本满五年 随时看房 
业主诚心想卖，优质房源特笋，安静舒适,富力半岛花园,罗冲围,2室1厅 ,68.5, 西北 , 精装 ,12,2000, 塔楼,65, 10个月以前发布,2030000,"29,636元/平",VR看装修 房本满五年 随时看房 
2015年 正升雅境 电梯高层，东南向,正升雅境,机场路,3室2厅 ,110, 东 , 精装 ,19,2012, 塔楼,10, 一年前发布,4200000,"38,182元/平",VR看装修 房本满五年 随时看房 
电梯中层，厅大房大，物业管理好，封闭小区,银通花园,机场路,2室2厅 ,81.98, 西北 , 简装 ,9,1998, 塔楼,32, 一年前发布,2360000,"28,788元/平",近地铁 VR房源 房本满五年 随时看房 
富力半岛花园  西南向中层看花园舒适三室,富力半岛花园,罗冲围,3室2厅 ,89.91, 西南 , 精装 ,26,2005, 塔楼,24, 一年前发布,3420000,"38,039元/平",近地铁 VR看装修 房本满五年 随时看房 
祥景花园 户型方正 产权清晰 看房方便,祥景花园AC区,黄石,3室1厅 ,82.65, 北 , 简装 ,9,1999, 塔楼,5, 一年前发布,2200000,"26,619元/平",VR房源 房本满五年 随时看房 
同雅苑，筹备电梯中，实用三房，看房方便,同德花园同雅苑,同德围,3室1厅 ,83, 北 , 简装 ,9,1998, 塔楼,21, 一年前发布,2050000,"24,699元/平",近地铁 VR看装修 房本满五年 随时看房 
业主诚心想卖，优质房源特笋，安静舒适,富力半岛花园,罗冲围,2室1厅 ,68.5, 西北 , 精装 ,12,2000, 塔楼,65, 10个月以前发布,2030000,"29,636元/平",VR看装修 房本满五年 随时看房 
正规三房上车优质刚需户型 实用率高 格局方正,黄石小区,黄石,3室2厅 ,95.47, 南 北 , 精装 ,9,1999, 塔楼,23, 9个月以前发布,3300000,"34,566元/平",VR房源 房本满两年 随时看房 
地铁口两房，满五 方正实用高 带两个8平方私人露台,广信春兰花园,京溪,2室1厅 ,73.35, 西北 , 简装 ,9,1995, 塔楼,11, 9个月以前发布,2490000,"33,947元/平",近地铁 VR看装修 房本满五年 随时看房 
地铁口物业，大三房二·厅，结构方正实用，交通便..,旧云东小区,同和,3室1厅 ,90.08, 东南 , 简装 ,6,1997, 塔楼,53, 一年前发布,2400000,"26,643元/平",近地铁 VR看装修 房本满五年 随时看房 
飞鹅西路小区管理 ，南北对流 厅出阳台 视野辽阔,飞鹅西路,桂花岗,2室1厅 ,89, 南 , 简装 ,9,1996, 塔楼,23, 11个月以前发布,1900000,"21,349元/平",VR看装修 房本满五年 随时看房 
客厅宽敞，通风采光好，房屋面积配比合理,南湖半山东苑,南湖,3室1厅 ,96.88, 东 , 其他 ,26,2005, 塔楼,4, 2个月以前发布,2650000,"27,354元/平",VR房源 房本满五年 随时看房 
新市  保利紫薇花园 高楼层 精装修四房,紫薇花园,新市,4室2厅 ,114.93, 北 , 精装 ,18,2006, 塔楼,10, 3个月以前发布,4400000,"38,285元/平",VR看装修 房本满两年 随时看房 
金碧新城 实用南向两房 过五唯一 有匙即看,金碧新城,石井,2室1厅 ,68.63, 南 , 精装 ,18,2005, 塔楼,45, 一年前发布,2050000,"29,871元/平",VR看装修 房本满五年 随时看房 
金碧新城 南向厅直出2房 证过五年,金碧新城,石井,2室1厅 ,66.56, 南 , 精装 ,11,2004, 塔楼,77, 一年前发布,2060000,"30,950元/平",VR看装修 房本满五年 随时看房 
汇侨新城南区 2室1厅 东,汇侨新城南区,新市,2室1厅 ,56, 东 , 简装 ,9,2000, 塔楼,2, 4个月以前发布,1500000,"26,786元/平",VR看装修 房本满五年 随时看房 
汇侨新城北区 花园小区 电梯2房 格局方正,汇侨新城北区,新市,2室1厅 ,69.58, 南 , 简装 ,17,2000, 塔楼,4, 3个月以前发布,1790000,"25,726元/平",VR看装修 房本满五年 随时看房 
楼梯中层，三房两厅，采光通风，厅出阳台。,汇侨新城北区,新市,3室1厅 ,88.45, 东北 , 简装 ,9,2000, 塔楼,18, 3个月以前发布,1980000,"22,386元/平",VR看装修 房本满两年 随时看房 
南航新村 3室2厅 南 北,南航新村,新市,3室2厅 ,103.76, 南 北 , 简装 ,9,1997, 塔楼,5, 3个月以前发布,2500000,"24,095元/平",VR房源 房本满五年 随时看房 
汇侨北六电梯三房，厅出阳台，高层视野开阔,汇侨新城北区,新市,3室1厅 ,79.68, 北 , 精装 ,18,2000, 塔楼,4, 4个月以前发布,2300000,"28,866元/平",VR房源 房本满五年 随时看房 
该房户型方正实用，厅直出阳台，景观开阔，通风采光好,瑞晖花园,石井,3室2厅 ,85.2, 西南 , 简装 ,6,1990, 塔楼,0, 1个月以前发布,1580000,"18,545元/平",VR房源 房本满五年 随时看房 
此房过五唯一  税费少 汇侨新城北区 厅出阳台东南向,汇侨新城北区,新市,2室1厅 ,74.53, 东南 , 其他 ,17,2000, 塔楼,25, 9个月以前发布,2090000,"28,043元/平",VR房源 房本满五年 随时看房 
房子好楼层，采光通风，户型方正，证够五年，看房方便,馨雅居,石井,2室1厅 ,58.72, 东北 , 精装 ,9,2008, 塔楼,8, 3个月以前发布,1150000,"19,585元/平",近地铁 VR看装修 房本满五年 随时看房 
地铁口物业，电梯三房，格局方正,南航新村,新市,3室1厅 ,85.42, 西南 西 , 其他 ,17,1997, 塔楼,18, 8个月以前发布,2050000,"24,000元/平",VR看装修 房本满两年 随时看房 
交通方便 电梯房满五唯一物业 省税 户型方正采光好,南航新村,新市,3室2厅 ,103.41, 东 , 简装 ,17,1997, 塔楼,5, 5个月以前发布,2400000,"23,209元/平",VR看装修 房本满五年 随时看房 
汇侨南区，实用两房，厅出阳台，满五，随时可看,汇侨新城南区,新市,2室2厅 ,65.21, 西南 , 简装 ,17,2000, 塔楼,161, 11个月以前发布,1600000,"24,537元/平",VR看装修 房本满五年 随时看房 
三元里大道 bai顺台花园 电梯高层精致两房 采光好通风,百顺台花园,新市,2室1厅 ,68.49, 西 , 其他 ,15,2003, 塔楼,233, 一年前发布,2090000,"30,516元/平",VR看装修 房本满五年 随时看房 
大2房 厅出阳台  满五唯一 刚需必选 宜居一家人,怡富尚苑,石井,2室2厅 ,88.28, 南 北 , 简装 ,16,2007, 塔楼,89, 一年前发布,1980000,"22,429元/平",近地铁 VR看装修 房本满五年 随时看房 
低楼层，南向厅出阳台，户型方正实用，采光好,清华居,新市,3室1厅 ,72.31, 南 , 简装 ,9,2000, 塔楼,17, 6个月以前发布,1500000,"20,745元/平",VR房源 房本满五年 随时看房 
此房格局方正，中高楼层，采光好,富力桃园,罗冲围,3室2厅 ,111.13, 东北 , 精装 ,30,2005, 塔楼,8, 一年前发布,4290000,"38,604元/平",VR房源 房本满五年 随时看房 
白云明珠 高层南向 两梯六户 望花园 户型方正,白云明珠广场,机场路,2室1厅 ,73.41, 西南 , 其他 ,14,1996, 塔楼,0, 1个月以前发布,2020000,"27,517元/平",VR房源 房本满五年 随时看房 
小区地段好 格局方正，采光通风好 小区管理 交通便利,景泰花园,大金钟路,3室1厅 ,94.08, 南 , 简装 ,9,1997, 塔楼,12, 8个月以前发布,2750000,"29,231元/平",VR看装修 房本满五年 随时看房 
东南向，中楼层，采光好。房子满五年，省购房成本。,汇侨新城北区,新市,3室1厅 ,87.08, 东南 , 简装 ,9,2000, 塔楼,25, 9个月以前发布,2100000,"24,116元/平",VR看装修 房本满五年 随时看房 
白云新城居住区 东南中高层 望白云山 采光通风好 好房,白云高尔夫花园东区,黄石,2室2厅 ,78.63, 东南 东 , 简装 ,14,2002, 塔楼,5, 6个月以前发布,3200000,"40,697元/平",VR房源 房本满五年 随时看房 
方园小区少有户型方正正规三房高层,方園,黄石,3室2厅 ,100.44, 北 , 简装 ,14,2003, 塔楼,1, 5个月以前发布,4750000,"47,292元/平",近地铁 VR房源 房本满两年 随时看房 
准电梯楼，房子是满5年，高层，采光通风好,乐得花园,黄边,2室1厅 ,74, 北 , 简装 ,9,1999, 塔楼,1, 一年前发布,2300000,"31,082元/平",VR房源 房本满五年 随时看房 
电视台宿舍 电梯精致大三房 采光视野好 小区管理,电视台宿舍,机场路,3室1厅 ,91.8, 西北 , 简装 ,15,1997, 塔楼,1, 一年前发布,2400000,"26,144元/平",近地铁 VR房源 房本满五年 随时看房 
地铁公司小区，原装电梯三房，一手业主,金亿皮具城,桂花岗,3室1厅 ,100.2, 南 , 精装 ,12,1997, 塔楼,0, 6个月以前发布,3500000,"34,931元/平",近地铁 VR房源 房本满五年 随时看房 
中高楼层采光视野好 业主诚心卖,祥景花园AC区,黄石,2室2厅 ,57.34, 东南 , 简装 ,9,1999, 塔楼,17, 7个月以前发布,1300000,"22,672元/平",VR房源 房本满五年 随时看房 
云山居 南向高楼层三房 视野开阔 空气清新,云山居,元下田,3室2厅 ,106.29, 南 , 精装 ,5,2000, 塔楼,10, 9个月以前发布,3200000,"30,107元/平",VR看装修 房本满五年 随时看房 
荷塘月色，南向中层3房，小面积南向物业，业主诚意卖,白云高尔夫花园荷塘月色,黄石,3室1厅 ,90.29, 南 , 其他 ,18,2002, 塔楼,8, 3个月以前发布,4160000,"46,074元/平",VR看装修 房本满五年 随时看房 
新兴白云花园 三面单边 保养新大二两房,新兴白云花园,江夏,2室1厅 ,53.02, 东 西 北 , 精装 ,9,1999, 塔楼,23, 6个月以前发布,1700000,"32,064元/平",VR房源 房本满两年 随时看房 
白云尚城 3室2厅 南 北,白云尚城,江夏,3室2厅 ,118, 南 北 , 其他 ,29,2010, 塔楼,1, 1个月以前发布,6200000,"52,543元/平",近地铁 VR看装修 房本满五年 随时看房 
地铁口小区，此房满五税费少，业主诚心出卖看房方便,云景花园云景苑,京溪,2室1厅 ,96.28, 东南 , 简装 ,6,2002, 塔楼,3, 2个月以前发布,3650000,"37,911元/平",近地铁 VR看装修 房本满五年 随时看房 
生活工作方便的小区  采光通风好 产权清晰,云景花园云桦苑,京溪,3室2厅 ,77.79, 北 , 其他 ,10,2002, 塔楼,7, 4个月以前发布,4100000,"52,707元/平",近地铁 VR房源 房本满五年 随时看房 
产权清晰 满五年 近地铁 通风好 采光一级棒,广信春兰花园,京溪,3室2厅 ,90.6, 东南 , 精装 ,9,1995, 塔楼,48, 一年前发布,3100000,"34,217元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五年 南向带.花.园，环境优美,桐林别墅,南湖,5室1厅 ,291.89, 东南 南 北 , 精装 ,2,2003, 联排别墅 ,3, 3个月以前发布,13800000,"47,279元/平",VR房源 房本满五年 随时看房 
祥景花园 精装三房 安静舒适 交通方便,祥景花园AC区,黄石,3室2厅 ,77.8, 南 , 精装 ,9,2000, 塔楼,1, 1个月以前发布,1850000,"23,779元/平",VR看装修 房本满五年 随时看房 
小区管理，环境安静，楼层高视野开阔，2梯3户,富悦花苑,大金钟路,2室2厅 ,79.5, 西南 西 , 简装 ,15,1996, 塔楼,26, 一年前发布,3000000,"37,736元/平",VR房源 房本满五年 随时看房 
云泉居 两房一厅 中层电梯楼 采光好,云泉居,江夏,2室1厅 ,77.43, 东 东南 , 毛坯 ,12,1999, 塔楼,25, 8个月以前发布,2150000,"27,768元/平",近地铁 VR看装修 房本满五年 随时看房 
天河御品少有好楼层安静望花园 通风采光好 装修保养棒,天河御品,京溪,3室2厅 ,127.23, 西南 , 精装 ,15,2010, 塔楼,171, 一年前发布,5700000,"44,801元/平",近地铁 VR看装修 房本满五年 随时看房 
一楼花园+地下室 过五年 使用面积560方,一品湖山,南湖,5室2厅 ,188.63, 东 南 北 , 其他 ,14,2011, 塔楼,8, 3个月以前发布,7880000,"41,775元/平",VR房源 房本满五年 随时看房 
广园新村电梯高层南向格局好视野开阔全明户型,广园云苑新村,景泰,2室1厅 ,62.87, 北 , 简装 ,9,1999, 塔楼,5, 3个月以前发布,1850000,"29,426元/平",VR看装修 房本满两年 随时看房 
岗贝路 电梯两房 东南向 通风光线好 精装修,机安宿舍,机场路,2室1厅 ,64.18, 南 , 简装 ,16,1995, 塔楼,15, 一年前发布,1820000,"28,358元/平",VR房源 房本满五年 随时看房 
逸景居   电梯楼   精致装修  间隔方正实用,逸景居,白云大道南,2室1厅 ,73.22, 北 , 其他 ,11,2001, 塔楼,12, 4个月以前发布,2420000,"33,052元/平",VR房源 房本满五年 随时看房 
诚心急卖，南向高层安静望花园，采光通风好，诚意可谈,合一国际,同和,2室2厅 ,84.35, 东南 , 简装 ,23,2006, 塔楼,45, 一年前发布,3580000,"42,443元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一，楼层好，看房约维护人。,富力阳光美居,马务,2室1厅 ,62.4, 南 西 , 简装 ,15,2001, 塔楼,1, 1个月以前发布,1990000,"31,892元/平",VR房源 房本满五年 随时看房 
云山熹景 精装三房 中高层 南向满五年,云山熹景,梅花园,3室2厅 ,109.19, 南 , 精装 ,11,2008, 板塔结合,2, 一年前发布,6150000,"56,324元/平",近地铁 VR房源 房本满五年 随时看房 
同德花园同雅苑 位置好 户型方正 小区较好的一套户型,同德花园同雅苑,同德围,2室1厅 ,71.71, 北 , 其他 ,9,1995, 塔楼,1, 2个月以前发布,1900000,"26,496元/平",近地铁 VR看装修 房本满两年 随时看房 
田心花园，南向两房，视野开阔，电梯筹备中,田心花园,同德围,2室1厅 ,77.49, 东南 , 其他 ,9,1998, 塔楼,33, 一年前发布,1780000,"22,971元/平",近地铁 VR看装修 房本满五年 随时看房 
金德苑 电梯2房地铁口，使用率高分摊少 有平台,金德苑,同德围,2室1厅 ,51.9, 南 , 其他 ,9,1997, 塔楼,11, 7个月以前发布,1460000,"28,132元/平",近地铁 VR看装修 房本满五年 随时看房 
耀华国际复式三房带主套，厅出阳台视野开阔！,耀华国际,三元里,3室1厅 ,67.3, 东北 , 其他 ,20,2008, 塔楼,14, 6个月以前发布,2980000,"44,280元/平",VR房源 房本满五年 随时看房 
富多来二区，南向电梯三房，高层采光好，户型方正,富多来花园二区,同德围,3室1厅 ,73.32, 南 , 简装 ,9,2000, 塔楼,1, 5个月以前发布,1990000,"27,142元/平",近地铁 VR看装修 房本满两年 随时看房 
中层大三房  户型方正实用 近地铁,华德大厦,同德围,3室1厅 ,100.18, 东南 , 简装 ,9,1999, 塔楼,4, 4个月以前发布,2200000,"21,961元/平",近地铁 VR房源 房本满五年 随时看房 
"正规南向3房一厅,户型方正！采光通风好！",富林居,同德围,3室1厅 ,80.76, 南 , 简装 ,9,1999, 塔楼,2, 3个月以前发布,2600000,"32,195元/平",近地铁 VR看装修 房本满五年 随时看房 
金碧雅苑 高层方正2房 视野无遮挡 采光通风好 近地铁,金碧雅苑,黄边,2室1厅 ,71.53, 东北 , 精装 ,18,2005, 塔楼,38, 4个月以前发布,2680000,"37,467元/平",近地铁 VR房源 房本满五年 随时看房 
金碧雅苑 东向高楼层 看白云山 景观好 无遮挡,金碧雅苑,黄边,2室2厅 ,67.35, 西南 西 , 简装 ,17,2004, 塔楼,0, 3个月以前发布,2800000,"41,574元/平",近地铁 VR房源 房本满五年 随时看房 
汇侨新城北区 花园小区 电梯2房 格局方正,汇侨新城北区,新市,2室1厅 ,69.58, 南 , 简装 ,17,2000, 塔楼,4, 3个月以前发布,1790000,"25,726元/平",VR看装修 房本满五年 随时看房 
楼梯中层，三房两厅，采光通风，厅出阳台。,汇侨新城北区,新市,3室1厅 ,88.45, 东北 , 简装 ,9,2000, 塔楼,18, 3个月以前发布,1980000,"22,386元/平",VR看装修 房本满两年 随时看房 
汇侨北六电梯三房，厅出阳台，高层视野开阔,汇侨新城北区,新市,3室1厅 ,79.68, 北 , 精装 ,18,2000, 塔楼,4, 4个月以前发布,2300000,"28,866元/平",VR房源 房本满五年 随时看房 
该房户型方正实用，厅直出阳台，景观开阔，通风采光好,瑞晖花园,石井,3室2厅 ,85.2, 西南 , 简装 ,6,1990, 塔楼,0, 1个月以前发布,1580000,"18,545元/平",VR房源 房本满五年 随时看房 
汇侨新城南区 2室1厅 东,汇侨新城南区,新市,2室1厅 ,56, 东 , 简装 ,9,2000, 塔楼,2, 4个月以前发布,1500000,"26,786元/平",VR看装修 房本满五年 随时看房 
此房过五唯一  税费少 汇侨新城北区 厅出阳台东南向,汇侨新城北区,新市,2室1厅 ,74.53, 东南 , 其他 ,17,2000, 塔楼,25, 9个月以前发布,2090000,"28,043元/平",VR房源 房本满五年 随时看房 
集贤苑 4室2厅 南,集贤苑,永泰,4室2厅 ,116.87, 南 , 其他 ,10,1999, 塔楼,5, 6个月以前发布,4400000,"37,649元/平",VR看装修 房本满五年 随时看房 
金碧雅苑 满五唯一，户型方正，采光充足 ，视野开阔,金碧雅苑,黄边,2室1厅 ,71.29, 东北 , 简装 ,18,2005, 塔楼,124, 7个月以前发布,2380000,"33,385元/平",近地铁 VR房源 房本满五年 随时看房 
金碧新城 实用南向两房 过五唯一 有匙即看,金碧新城,石井,2室1厅 ,68.63, 南 , 精装 ,18,2005, 塔楼,45, 一年前发布,2050000,"29,871元/平",VR看装修 房本满五年 随时看房 
金碧新城 南向厅直出2房 证过五年,金碧新城,石井,2室1厅 ,66.56, 南 , 精装 ,11,2004, 塔楼,77, 一年前发布,2060000,"30,950元/平",VR看装修 房本满五年 随时看房 
富力半岛花园 3室1厅 东南 南,富力半岛花园,罗冲围,3室1厅 ,75.27, 东南 南 , 精装 ,18,2003, 塔楼,1, 1个月以前发布,3500000,"46,500元/平",VR看装修 房本满五年 随时看房 
四房改大三房，全明屋 ，通风好，精装修，得房率高。,远景工商局宿舍,机场路,3室2厅 ,112.09, 西 , 简装 ,9,2000, 塔楼,30, 一年前发布,2900000,"25,873元/平",VR房源 房本满五年 随时看房 
香柏广场  高楼层 京溪地铁口 视野好,君华香柏广场,京溪,3室2厅 ,91.31, 西北 , 精装 ,30,2010, 塔楼,117, 一年前发布,4980000,"54,540元/平",近地铁 VR看装修 房本满五年 随时看房 
北区带入花园小三房，保养好，户型方正，通风性好。,富力城北区,夏茅,3室2厅 ,95.13, 北 , 简装 ,12,2008, 塔楼,48, 一年前发布,2680000,"28,172元/平",VR看装修 房本满五年 随时看房 
南向望泳池 房子保养好 视野开阔 楼层好,富力城北区,夏茅,3室2厅 ,93.44, 南 , 简装 ,18,2009, 塔楼,10, 一年前发布,2780000,"29,752元/平",VR看装修 房本满五年 随时看房 
白云山下，鸟语花香，精装两房，实惠,外语外贸学院,元下田,2室1厅 ,77.71, 北 , 精装 ,5,2003, 塔楼,27, 6个月以前发布,4120000,"53,018元/平",VR房源 房本满五年 随时看房 
景云路 楼梯高层 双阳台三房  南北对流,景云路,大金钟路,3室1厅 ,94.37, 东 西 , 其他 ,10,1993, 塔楼,9, 6个月以前发布,2170000,"22,995元/平",VR看装修 房本满五年 随时看房 
满五 税费少 大三房 格局方方正正 厅出阳台南向。,恒骏花园,京溪,3室2厅 ,96.08, 东北 , 精装 ,10,2002, 塔楼,18, 一年前发布,4380000,"45,588元/平",近地铁 VR看装修 房本满五年 随时看房 
通风采光好，格局方正，南向双阳台   包增值税,泽德花苑,同德围,3室1厅 ,78.4, 南 , 其他 ,9,1998, 塔楼,19, 7个月以前发布,1800000,"22,960元/平",近地铁 VR看装修 房本满两年 随时看房 
这套房子是满五年，楼层高，视野好，南向采光很好,岭南新世界,嘉禾望岗,3室2厅 ,101.66, 南 , 精装 ,11,2000, 塔楼,96, 6个月以前发布,4600000,"45,249元/平",近地铁 VR房源 房本满五年 随时看房 
"富力城望花园南向小三房,景观优美",富力城北区,夏茅,3室2厅 ,93.23, 南 , 精装 ,12,2008, 塔楼,0, 2个月以前发布,3100000,"33,252元/平",VR看装修 房本满五年 随时看房 
北区正南向三房  楼层好居住凉爽  安静环境在中间位置,富力城北区,夏茅,3室2厅 ,93, 南 , 其他 ,12,2008, 塔楼,2, 4个月以前发布,3200000,"34,409元/平",VR看装修 房本满五年 随时看房 
富力桃园舒适两房 满五 产权清晰 正东南向 视野开阔,富力桃园,罗冲围,2室1厅 ,76, 西南 , 简装 ,32,2004, 塔楼,2, 4个月以前发布,2800000,"36,843元/平",VR房源 房本满五年 随时看房 
金碧新城两房，装修好，望花园，格局好,金碧新城,石井,2室1厅 ,64.13, 东北 , 简装 ,32,2006, 塔楼,8, 9个月以前发布,1950000,"30,407元/平",近地铁 VR房源 房本满五年 随时看房 
合一国际 视野开阔 南向两房 采光充足 对流,合一国际,同和,2室1厅 ,78.2, 南 , 其他 ,23,2006, 塔楼,0, 一年前发布,4500000,"57,545元/平",近地铁 VR房源 房本满五年 随时看房 
春晖闲庭 实用三房 阳台东向 安静,春晖闲庭,南湖,3室2厅 ,121.7, 东 , 简装 ,7,2004, 塔楼,155, 一年前发布,3350000,"27,527元/平",近地铁 VR看装修 房本满五年 随时看房 
江悦湾 舒适型大3房 可任意改造,深业江悦湾,金沙洲,3室2厅 ,168, 东南 , 毛坯 ,7,2015, 板楼,8, 一年前发布,6280000,"37,381元/平",VR看装修 房本满两年 随时看房 
瑞晖花园 电梯3房 业主诚* 看房方便,瑞晖花园,石井,3室2厅 ,98.12, 南 北 , 简装 ,10,2000, 塔楼,36, 一年前发布,2070000,"21,097元/平",VR看装修 房本满五年 随时看房 
雅居乐南湖半岛花园格局方正实用安静3+1户型,雅居乐南湖半岛花园,南湖,4室1厅 ,145.13, 东 , 简装 ,15,2003, 塔楼,8, 一年前发布,5420000,"37,346元/平",VR看装修 房本满五年 随时看房 
广州富力城 带入门花园大两房 望花园安静舒适,富力城南区,夏茅,2室2厅 ,85.34, 北 , 精装 ,18,2006, 塔楼,2, 一年前发布,2250000,"26,366元/平",VR看装修 房本满五年 随时看房 
楼层好、采光好、通风好的小三房！,富力城南区,夏茅,3室2厅 ,91.91, 西南 , 精装 ,17,2007, 塔楼,5, 2个月以前发布,2800000,"30,465元/平",VR看装修 房本满五年 随时看房 
近地铁站 南北通透 三面采光 三房两厅80平带13平阳台,翠庭雅轩,梅花园,3室2厅 ,82.98, 南 北 , 精装 ,8,2000, 塔楼,18, 4个月以前发布,2850000,"34,346元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五年不唯一，东南向双阳台，业主诚心卖房,雅居乐南湖半岛花园,南湖,3室1厅 ,139.68, 东南 , 精装 ,18,2003, 塔楼,0, 9个月以前发布,5700000,"40,808元/平",VR房源 房本满五年 随时看房 
此房满5年 电梯高层3房 对流通风,恒丰花园,同德围,3室1厅 ,91.44, 东 , 简装 ,11,2000, 塔楼,5, 9个月以前发布,2020000,"22,091元/平",VR房源 房本满五年 随时看房 
云山诗意 南向三房两卫 方正实用 看房方便,云山诗意,黄边,3室2厅 ,116.41, 南 , 简装 ,18,2008, 塔楼,11, 6个月以前发布,4800000,"41,234元/平",近地铁 VR看装修 房本满五年 随时看房 
此房源精装修户型方正，小区环境优美安静,卡布奇诺,南湖,3室2厅 ,90.24, 北 , 精装 ,6,2012, 板楼,107, 7个月以前发布,3290000,"36,459元/平",VR看装修 房本满五年 随时看房 
富力半岛E区  西南向望江  满五唯一,富力半岛花园,罗冲围,3室2厅 ,84.51, 西南 , 精装 ,26,2005, 塔楼,43, 9个月以前发布,3450000,"40,824元/平",近地铁 VR看装修 房本满五年 随时看房 
南向方正阳光三房，安静舒适方便,富力城北区,夏茅,3室2厅 ,95.46, 南 , 精装 ,12,2008, 塔楼,5, 10个月以前发布,3000000,"31,427元/平",VR看装修 房本满五年 随时看房 
3+1户型，安静舒适，满五年税费少，业主急卖看房方便,雅居乐南湖半岛花园,南湖,4室2厅 ,140.08, 西北 , 简装 ,15,2003, 塔楼,3, 一年前发布,5150000,"36,765元/平",VR房源 房本满五年 随时看房 
云裳丽影带入户户型  通风采光好 配套设施齐全,云裳丽影,同和,3室2厅 ,114.91, 西南 , 其他 ,25,2007, 塔楼,19, 一年前发布,5690000,"49,518元/平",近地铁 VR看装修 房本满五年 随时看房 
岭南新世界 东南向四房两卫户型,岭南新世界,嘉禾望岗,4室2厅 ,110.23, 东南 , 精装 ,18,2009, 塔楼,20, 7个月以前发布,6080000,"55,158元/平",近地铁 VR看装修 房本满五年 随时看房 
泽德花苑 3室1厅 东 东南,泽德花苑,同德围,3室1厅 ,61.75, 东 东南 , 简装 ,9,1998, 塔楼,8, 3个月以前发布,1410000,"22,835元/平",近地铁 VR看装修 房本满五年 随时看房 
富力桃园D区 望江南北对流 精装修 方正实用两房！,富力桃园,罗冲围,2室1厅 ,83.27, 东北 , 精装 ,30,2008, 塔楼,13, 6个月以前发布,3000000,"36,028元/平",VR房源 房本满五年 随时看房 
机场路花园小区  实用向阳2房  电梯中层望白云山,白云明珠广场,机场路,2室1厅 ,48.83, 东 西北 , 其他 ,14,1996, 塔楼,17, 11个月以前发布,1500000,"30,719元/平",VR看装修 房本满五年 随时看房 
白云高尔夫西区 近地铁 低密度 户型方正 户口可迁出,白云高尔夫花园西区,黄石,2室1厅 ,63.7, 东 西 , 简装 ,6,1999, 板楼,17, 6个月以前发布,2050000,"32,183元/平",VR看装修 房本满五年 随时看房 
白云新城 高层望白云山 满五免重税无抵押 地铁口物业,云山雅苑,景泰,3室2厅 ,123.87, 东 东北 , 精装 ,18,2008, 塔楼,20, 9个月以前发布,6800000,"54,897元/平",VR看装修 房本满五年 随时看房 
合益小区 小区安静不吵 精装修两房 楼梯中层,合益小区,机场路,2室1厅 ,57.97, 北 , 精装 ,9,1995, 塔楼,0, 1个月以前发布,1350000,"23,288元/平",VR房源 房本满五年 随时看房 
全新精装三房 证满五年 格局方正实用,黄石花园,黄石,3室2厅 ,89.65, 西 , 精装 ,14,1997, 塔楼,0, 1个月以前发布,2650000,"29,560元/平",VR看装修 房本满五年 随时看房 
方正高层大两房 过五年唯一 随时可看 产权清晰,白云高尔夫花园荷塘月色,黄石,2室1厅 ,75.36, 北 , 精装 ,11,2002, 塔楼,2, 3个月以前发布,3430000,"45,515元/平",近地铁 VR看装修 房本满五年 随时看房 
荷塘月色 双阳台通透户型 正南向采光好，诚意置换,白云高尔夫花园荷塘月色,黄石,3室1厅 ,116, 南 , 精装 ,11,2002, 塔楼,18, 6个月以前发布,5880000,"50,690元/平",VR看装修 房本满五年 随时看房 
保利珑熙 大三房 南向望江 楼层好 视野开阔 南北对流,保利珑熙,罗冲围,3室1厅 ,118.97, 南 , 精装 ,23,2016, 塔楼,0, 1个月以前发布,5200000,"43,709元/平",VR看装修 房本满两年 随时看房 
东湖映月精装小三房 带露台 户型方正 满五唯一,东湖映月,龙归,3室1厅 ,80.69, 北 , 精装 ,33,2012, 塔楼,81, 一年前发布,2420000,"29,992元/平",近地铁 VR看装修 房本满五年 随时看房 
中高层 南北通透 厅出阳台 业主诚卖,尚境雅筑,罗冲围,2室1厅 ,71.87, 南 北 , 精装 ,10,2012, 平房,78, 10个月以前发布,2520000,"35,064元/平",VR看装修 房本满五年 随时看房 
框架结构可以公积金 干部区高实用率大三房 出入方便,白云山制药厂前山宿舍,同和,3室2厅 ,112.28, 东 , 精装 ,6,1995, 塔楼,31, 11个月以前发布,2650000,"23,602元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一，产权清晰，南向 格局方正，室内通风采光好,白云山制药厂前山宿舍,同和,3室2厅 ,118.68, 东 , 精装 ,5,1995, 板楼,13, 4个月以前发布,2680000,"22,582元/平",近地铁 VR看装修 房本满五年 随时看房 
店长推荐：同和地铁口优质好房 新装修 住家品质,合一国际,同和,3室2厅 ,51.22, 东北 , 精装 ,18,2006, 塔楼,50, 一年前发布,2880000,"56,229元/平",近地铁 VR房源 房本满五年 随时看房 
