西门口版块 中层精装三房 东南朝向 拎包入住,光复北路,龙津,3室1厅 ,73.38, 东 南 , 精装 ,10,1995, 板楼,0,5,2300000.0,"31,344元/平",VR看装修 房本满两年 随时看房 
电梯直达 满五唯一 全部朝南 户型方正 光线充足,省中医院宿舍,鹤洞,3室2厅 ,132.41, 南 , 简装 ,9,1995, 塔楼,18, 一年前发布,3600000.0,"27,189元/平",近地铁 VR看装修 房本满五年 随时看房 
老荔湾舒适电梯三房中楼层诚意出,荔湾路,陈家祠,3室1厅 ,81.02, 西南 , 精装 ,9,1998, 暂无数据,33, 3个月以前发布,3380000.0,"41,719元/平",VR看装修 房本满两年 随时看房 
"荔情居新盘上架,户型方正，厅出阳台，房大厅大。",荔情居,西华路,4室2厅 ,105.16, 北 , 其他 ,22,2004, 塔楼,1, 1个月以前发布,4950000.0,"47,072元/平",近地铁 VR房源 房本满五年 随时看房 
此房证过两年，税费少，精装三房，拎包入住,隆庆小区,西华路,3室1厅 ,57.19, 东 , 精装 ,9,1999, 塔楼,49, 一年前发布,1780000.0,"31,125元/平",近地铁 VR看装修 房本满两年 随时看房 
金宇花园精装修两房，视野宽阔采光充足,金宇花园,东塱,2室1厅 ,68.62, 东南 , 其他 ,9,1999, 塔楼,0, 1个月以前发布,1720000.0,"25,066元/平",VR看装修 房本满两年 随时看房 
观鹤小区 业主诚意出* 鹤洞地铁 封闭小区 广钢配套,广钢观鹤小区,广钢新城,3室2厅 ,82.31, 南 东南 , 简装 ,7,1997, 塔楼,57, 一年前发布,2050000.0,"24,906元/平",近地铁 VR看装修 房本满五年 随时看房 
电梯三房，满五唯一，高层南向，户型方正，实用率高,芳村大道西,滘口,3室1厅 ,70.64, 南 , 精装 ,8,1993, 塔楼,1, 2个月以前发布,2180000.0,"30,861元/平",近地铁 VR房源 房本满五年 随时看房 
广船鹤园小区 电梯2房 户型方正 南向 采光充足,广船鹤园小区,鹤洞,2室1厅 ,63.7, 南 , 其他 ,9,1999, 塔楼,0, 1个月以前发布,1850000.0,"29,043元/平",近地铁 VR看装修 房本满五年 随时看房 
康乃馨 电梯温馨正式两房一厅 坑口地铁1号线D出口,康乃馨苑,坑口,2室1厅 ,57.71, 南 北 , 简装 ,9,2000, 塔楼,79, 3个月以前发布,1920000.0,"33,270元/平",近地铁 VR看装修 房本满五年 随时看房 
电梯两房 此房满五 南向单边位 采光通风好,金宇花园,东塱,2室1厅 ,61.0, 东南 , 简装 ,8,1996, 塔楼,1, 4个月以前发布,1800000.0,"29,509元/平",VR房源 房本满五年 随时看房 
西门口广场二期 三房带主套 格局方正实用,西门口广场,西华路,3室1厅 ,87.28, 西北 , 简装 ,25,2008, 塔楼,31, 11个月以前发布,5280000.0,"60,495元/平",VR看装修 房本满五年 随时看房 
芳村花园14栋 小区环境好 交通方便近地铁口 楼层好,芳村花园,坑口,3室2厅 ,110.95, 南 , 简装 ,28,1999, 塔楼,11, 5个月以前发布,4050000.0,"36,503元/平",近地铁 VR房源 房本满五年 随时看房 
芳建宿舍 电梯楼 安静望河 满五唯一 产权清晰,芳建宿舍,茶滘,2室1厅 ,80.5, 西 , 简装 ,9,1998, 塔楼,29, 一年前发布,1850000.0,"22,982元/平",VR看装修 房本满五年 随时看房 
房子证过5年 低税费 电梯大三房 厅房双阳台,茂林苑,茶滘,3室1厅 ,95.09, 南 北 , 其他 ,9,1998, 塔楼,0, 4个月以前发布,3000000.0,"31,550元/平",近地铁 VR房源 房本满两年 随时看房 
近西塱地铁站，满五非唯一税费少，中楼层东南向无西晒,金道花园,鹤洞,3室2厅 ,103.58, 东 东南 , 其他 ,22,2000, 塔楼,6, 一年前发布,3150000.0,"30,412元/平",近地铁 VR看装修 房本满五年 随时看房 
芳村花园14栋 小区环境好 交通方便近地铁口 楼层好,芳村花园,坑口,3室2厅 ,110.95, 南 , 简装 ,28,1999, 塔楼,11, 5个月以前发布,4050000.0,"36,503元/平",近地铁 VR房源 房本满五年 随时看房 
自住装修 诚意出让 可公积金 南北对流 大三居室,鸿图苑,汾水,3室2厅 ,87.5, 南 , 其他 ,9,1995, 塔楼,215, 7个月以前发布,2290000.0,"26,172元/平",VR房源 房本满两年 随时看房 
电梯房，南北对流，看房随时。。,兰兴苑,芳村,2室1厅 ,73.72, 南 北 , 简装 ,9,1990, 板楼,22, 一年前发布,2200000.0,"29,843元/平",近地铁 VR看装修 房本满五年 随时看房 
西门口广场二期 三房带主套 格局方正实用,西门口广场,西华路,3室1厅 ,87.28, 西北 , 简装 ,25,2008, 塔楼,31, 11个月以前发布,5280000.0,"60,495元/平",VR看装修 房本满五年 随时看房 
芳建宿舍 电梯楼 安静望河 满五唯一 产权清晰,芳建宿舍,茶滘,2室1厅 ,80.5, 西 , 简装 ,9,1998, 塔楼,29, 一年前发布,1850000.0,"22,982元/平",VR看装修 房本满五年 随时看房 
电梯房 近地铁交通方便 楼龄新净 有小区管,盛大蓝庭,坑口,6室4厅 ,200.0, 东南 , 其他 ,18,2003, 塔楼,1, 4个月以前发布,8200000.0,"41,000元/平",近地铁 VR看装修 房本满五年 随时看房 
金宇花园 精装修 中楼层 户型方正大两房,金宇花园,东塱,2室1厅 ,71.23, 北 , 其他 ,9,1996, 塔楼,1, 2个月以前发布,1950000.0,"27,377元/平",VR看装修 房本满五年 随时看房 
双地铁小区环境好，生活便利中层大三房，视野开阔，,世纪广场,龙津,3室1厅 ,93.65, 东 , 其他 ,33,1999, 塔楼,13, 7个月以前发布,4380000.0,"46,770元/平",近地铁 VR看装修 房本满五年 随时看房 
原装电梯 过五年唯一 东南靓向 通风采光好,金兰苑,汾水,2室2厅 ,87.33, 东南 , 简装 ,18,2001, 塔楼,0, 1个月以前发布,2400000.0,"27,482元/平",近地铁 VR看装修 房本满五年 随时看房 
过五年无重税 原装电梯中层单位 采光通风很好,金兰苑,汾水,3室1厅 ,91.85, 西北 , 简装 ,22,2001, 塔楼,0, 2个月以前发布,2960000.0,"32,227元/平",近地铁 VR看装修 房本满两年 随时看房 
盛大兰庭 东南向 离地铁50米 交通便利 配套齐全,盛大蓝庭,坑口,3室2厅 ,96.16, 东南 , 精装 ,18,2003, 塔楼,124, 一年前发布,3480000.0,"36,190元/平",近地铁 VR看装修 房本满五年 随时看房 
龙溪，中铁国际城，质素小区，楼距开阔，南北对流,中铁荔湾国际城,龙溪,3室1厅 ,114.74, 东南 , 精装 ,33,2015, 塔楼,13, 10个月以前发布,5160000.0,"44,972元/平",VR看装修 房本满五年 随时看房 
满五唯一 ，南向可望花地河，户型正，小区环境好,中铁荔湾国际城,龙溪,2室2厅 ,81.58, 南 , 精装 ,32,2015, 塔楼,34, 2个月以前发布,3220000.0,"39,471元/平",VR看装修 房本满五年 随时看房 
保利公园九里三房两厅，南北双阳台正对流,保利公园九里,龙溪,3室2厅 ,91.03, 南 北 , 精装 ,32,2014, 塔楼,278, 一年前发布,3600000.0,"39,548元/平",VR看装修 房本满两年 随时看房 
坑口地铁 精装三房 高层东向 采光视野好 大型园林小区,芳村花园,坑口,3室2厅 ,110.95, 东 , 精装 ,31,1999, 塔楼,50, 8个月以前发布,3980000.0,"35,873元/平",近地铁 VR房源 房本满五年 随时看房 
芳村花园大型社区 满五年商品房 全屋定制 精装修,芳村花园,坑口,2室1厅 ,83.85, 西南 , 精装 ,32,1999, 塔楼,18, 4个月以前发布,2860000.0,"34,109元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正、实用率80%、东南向看小区，安静舒服,金道花园,鹤洞,3室2厅 ,104.41, 东 , 其他 ,22,2000, 塔楼,4, 2个月以前发布,2900000.0,"27,776元/平",近地铁 VR看装修 房本满五年 随时看房 
康乃馨小区 小区管理  户型方正温馨两房 坑口地铁,康乃馨苑,坑口,2室2厅 ,69.67, 北 , 精装 ,9,2000, 塔楼,5, 3个月以前发布,2360000.0,"33,874元/平",近地铁 VR看装修 房本满五年 随时看房 
保利物业，环境优美，楼龄新，南北对流大三房,保利公园九里,龙溪,3室2厅 ,128.34, 东南 , 精装 ,32,2015, 塔楼,101, 一年前发布,4950000.0,"38,570元/平",VR看装修 房本满两年 随时看房 
中铁国际城三房两厅双阳台、南北对流、高楼层视野好,中铁荔湾国际城,龙溪,3室2厅 ,96.74, 西南 , 简装 ,32,2015, 塔楼,321, 一年前发布,4150000.0,"42,899元/平",VR看装修 房本满两年 随时看房 
全南向复式4.5米高的五房双阳台一线望江景视野采光好,花地河湾,西朗,5室2厅 ,90.22, 东 南 , 精装 ,22,2009, 塔楼,4, 3个月以前发布,3600000.0,"39,903元/平",VR看装修 房本满五年 随时看房 
满五唯一 花地河湾 中空复式5房 安静望小区,花地河湾,西朗,5室2厅 ,83.42, 南 北 , 精装 ,22,2009, 塔楼,13, 2个月以前发布,3350000.0,"40,159元/平",VR看装修 房本满五年 随时看房 
路劲隽泷湾  精致3房 望花园 过5年,路劲隽泷湾,龙溪,3室2厅 ,90.8, 东南 , 精装 ,32,2013, 塔楼,9, 一年前发布,3000000.0,"33,040元/平",VR看装修 房本满五年 随时看房 
南向三房 间隔实用 业主诚心放盘 看房方便,华发荔湾荟,滘口,3室2厅 ,96.15, 南 北 , 其他 ,20,2016, 塔楼,4, 4个月以前发布,4200000.0,"43,682元/平",VR看装修 房本满两年 随时看房 
房屋满五年，东西对流，通风好，中层单位,珠岛花园,大坦沙,2室1厅 ,63.14, 东 西 , 简装 ,9,1995, 板塔结合,3, 3个月以前发布,2080000.0,"32,943元/平",VR看装修 房本满五年 
司法大厦 三面采光 南北对流 中层三房 荔湾湖公园,司法大厦,西关,4室2厅 ,135.54, 东北 , 精装 ,24,1998, 塔楼,89, 一年前发布,4690000.0,"34,603元/平",近地铁 VR看装修 房本满五年 随时看房 
芳雅苑，底层四房，实用率高，对流通透,芳雅苑,滘口,4室1厅 ,103.91, 南 , 其他 ,9,1995, 塔楼,2, 3个月以前发布,2990000.0,"28,775元/平",VR看装修 房本满两年 随时看房 
近地铁南北对流采光好 实用飞机户型少分摊 诚意出让,金道花园,鹤洞,2室1厅 ,55.55, 东 南 , 简装 ,9,2000, 塔楼,22, 5个月以前发布,1650000.0,"29,703元/平",近地铁 VR房源 房本满五年 随时看房 
南北对流大三房，精装修，保养好，高层视野开阔,保利公园九里,龙溪,3室2厅 ,118.99, 南 , 精装 ,32,2014, 塔楼,14, 11个月以前发布,4700000.0,"39,500元/平",VR看装修 房本满两年 随时看房 
该房屋东南向 三房一厅  光线好 格局方正,新世界逸彩庭园,滘口,3室1厅 ,91.12, 东南 , 简装 ,19,2007, 塔楼,0, 1个月以前发布,3600000.0,"39,509元/平",近地铁 VR房源 房本满五年 随时看房 
流花华侨新村，南北对流，户型方正实用，空间布局合理,流花华侨新村,流花站前,2室1厅 ,73.1, 南 北 , 简装 ,8,1998, 塔楼,23, 一年前发布,2380000.0,"32,559元/平",VR看装修 房本满五年 随时看房 
惠城花园 近陈家祠地铁 交通便利 户型规整 看房方便,惠城花园,龙津,2室1厅 ,75.17, 北 , 精装 ,25,1996, 塔楼,6, 7个月以前发布,3060000.0,"40,708元/平",VR房源 房本满五年 随时看房 
业主诚心，看房方便，随时可看。,悦江上品苑,大坦沙,3室2厅 ,100.91, 北 , 精装 ,17,2016, 塔楼,2, 1个月以前发布,5280000.0,"52,324元/平",近地铁 VR看装修 房本满两年 随时看房 
观鹤小区 业主诚意出* 鹤洞地铁 封闭小区 广钢配套,广钢观鹤小区,广钢新城,3室2厅 ,82.31, 南 东南 , 简装 ,7,1997, 塔楼,57, 一年前发布,2050000.0,"24,906元/平",近地铁 VR看装修 房本满五年 随时看房 
金宇花园精装修两房，视野宽阔采光充足,金宇花园,东塱,2室1厅 ,68.62, 东南 , 其他 ,9,1999, 塔楼,0, 1个月以前发布,1720000.0,"25,066元/平",VR看装修 房本满两年 随时看房 
此房证过两年，税费少，精装三房，拎包入住,隆庆小区,西华路,3室1厅 ,57.19, 东 , 精装 ,9,1999, 塔楼,49, 一年前发布,1780000.0,"31,125元/平",近地铁 VR看装修 房本满两年 随时看房 
老荔湾舒适电梯三房中楼层诚意出,荔湾路,陈家祠,3室1厅 ,81.02, 西南 , 精装 ,9,1998, 暂无数据,33, 3个月以前发布,3380000.0,"41,719元/平",VR看装修 房本满两年 随时看房 
芳村花园 小区环境好交通方便  户型合适 配套好,芳村花园,坑口,3室2厅 ,110.95, 东南 , 简装 ,32,1999, 塔楼,1, 9个月以前发布,4400000.0,"39,658元/平",近地铁 VR房源 房本满五年 随时看房 
新世界凯粤湾 东南向三房 视野开阔 保养新,新世界凯粤湾,滘口,3室2厅 ,128.64, 南 , 精装 ,33,2018, 塔楼,0, 1个月以前发布,6100000.0,"47,420元/平",VR房源 房本满两年 随时看房 
骏业阁 电梯小区新装修 三房楼龄新 双地铁 配套齐,骏业阁,西关,3室1厅 ,56.72, 东南 , 其他 ,25,2008, 塔楼,80, 7个月以前发布,2380000.0,"41,961元/平",近地铁 VR看装修 房本满五年 随时看房 
逸彩庭院满五年唯一物业 中高层电梯两房,新世界逸彩庭园,滘口,2室1厅 ,78.0, 西南 , 简装 ,19,2007, 塔楼,16, 3个月以前发布,2800000.0,"35,898元/平",近地铁 VR房源 房本满五年 随时看房 
逸彩新世界 五号线 配套齐全 交通便利,新世界逸彩庭园,滘口,2室2厅 ,70.0, 西北 东南 , 其他 ,20,2007, 塔楼,9, 2个月以前发布,2800000.0,"40,000元/平",近地铁 VR看装修 房本满五年 随时看房 
满五免重税！改善型大面积三房两卫！,新世界凯粤湾,滘口,3室2厅 ,117.08, 南 , 精装 ,33,2012, 塔楼,1, 2个月以前发布,5850000.0,"49,966元/平",近地铁 VR看装修 房本满五年 随时看房 
保利公园九里 三房南北对流 小区环境好 交通方便满5年,保利公园九里,龙溪,3室2厅 ,93.93, 南 北 , 精装 ,15,2014, 塔楼,3, 3个月以前发布,4100000.0,"43,650元/平",VR看装修 房本满五年 随时看房 
香料厂宿舍 安静封闭小区 安静舒适 2房户型方正,香料厂宿舍,茶滘,2室1厅 ,69.0, 东 东南 南 , 简装 ,9,1998, 塔楼,0, 4个月以前发布,2000000.0,"28,986元/平",VR看装修 房本满五年 随时看房 
新丽苑小区 2房格局方正 交通方便 满5年 视野开阔,新丽苑,龙溪,2室2厅 ,56.3, 南 , 简装 ,6,2000, 板楼,3, 3个月以前发布,1140000.0,"20,249元/平",近地铁 VR看装修 房本满五年 随时看房 
花语水岸 精装两房 保养新净 通风采光好,花语水岸,大坦沙,2室1厅 ,75.79, 东北 , 精装 ,26,2015, 塔楼,13, 4个月以前发布,4200000.0,"55,417元/平",近地铁 VR看装修 房本满五年 随时看房 
证满五年，电梯方正2房，交通方便，旺中带静,新世界逸彩庭园,滘口,2室1厅 ,78.0, 南 , 简装 ,19,2007, 塔楼,51, 一年前发布,2830000.0,"36,283元/平",近地铁 VR房源 房本满五年 随时看房 
港丰大厦 证过五年 厅出阳台双阳台 东南两面单边,港丰大厦,西华路,3室2厅 ,122.25, 东南 , 精装 ,19,2005, 塔楼,22, 一年前发布,5460000.0,"44,663元/平",VR看装修 房本满五年 随时看房 
中海花湾A区 高层东南向望江 配套完善 双地铁,中海锦汇华庭（A区）,广钢新城,3室1厅 ,121.77, 东南 , 精装 ,60,2019, 塔楼,22, 2个月以前发布,5850000.0,"48,042元/平",近地铁 VR看装修 房本满两年 随时看房 
滘口地铁站600米小区2房2厅户型靓采光好,万兴苑（荔湾）,滘口,2室2厅 ,75.0, 西南 , 精装 ,9,2000, 板塔结合,16, 一年前发布,2100000.0,"28,000元/平",近地铁 VR看装修 房本满五年 随时看房 
珠岛花园 复式东南朝向 户型方正实用,珠岛花园,大坦沙,6室1厅 ,155.06, 东 南 , 其他 ,25,1999, 塔楼,13, 3个月以前发布,4700000.0,"30,311元/平",VR房源 房本满五年 随时看房 
新世界凯粤湾，南向三房带主套，方正实用。,新世界凯粤湾,滘口,3室2厅 ,99.76, 南 西南 , 其他 ,33,2018, 塔楼,21, 5个月以前发布,4800000.0,"48,116元/平",VR看装修 房本满两年 随时看房 
中层单位 视野开阔 合理的布局 视野令人舒畅 交通方便,港丰大厦,西华路,3室1厅 ,107.0, 西南 , 其他 ,19,2005, 塔楼,0, 3个月以前发布,4380000.0,"40,935元/平",VR看装修 房本满五年 随时看房 
改善大三房 南向户型方正 视野无遮挡,富力唐宁花园,西村,3室2厅 ,137.07, 南 , 精装 ,30,2012, 塔楼,12, 一年前发布,7200000.0,"52,528元/平",VR看装修 房本满两年 随时看房 
路劲隽泷湾  精致3房 望花园 过5年,路劲隽泷湾,龙溪,3室2厅 ,90.8, 东南 , 精装 ,32,2013, 塔楼,9, 一年前发布,3000000.0,"33,040元/平",VR看装修 房本满五年 随时看房 
岭南湾畔 南北对流三房 望公园,岭南湾畔,西村,3室1厅 ,95.69, 南 , 精装 ,32,2010, 塔楼,9, 5个月以前发布,5250000.0,"54,865元/平",近地铁 VR看装修 房本满五年 随时看房 
电梯直达 满五唯一 全部朝南 户型方正 光线充足,省中医院宿舍,鹤洞,3室2厅 ,132.41, 南 , 简装 ,9,1995, 塔楼,18, 一年前发布,3600000.0,"27,189元/平",近地铁 VR看装修 房本满五年 随时看房 
流花华侨新村，南北对流，户型方正实用，空间布局合理,流花华侨新村,流花站前,2室1厅 ,73.1, 南 北 , 简装 ,8,1998, 塔楼,23, 一年前发布,2380000.0,"32,559元/平",VR看装修 房本满五年 随时看房 
西门口广场二期 三房带主套 格局方正实用,西门口广场,西华路,3室1厅 ,87.28, 西北 , 简装 ,25,2008, 塔楼,31, 11个月以前发布,5280000.0,"60,495元/平",VR看装修 房本满五年 随时看房 
芳建宿舍 电梯楼 安静望河 满五唯一 产权清晰,芳建宿舍,茶滘,2室1厅 ,80.5, 西 , 简装 ,9,1998, 塔楼,29, 一年前发布,1850000.0,"22,982元/平",VR看装修 房本满五年 随时看房 
房子证过5年 低税费 电梯大三房 厅房双阳台,茂林苑,茶滘,3室1厅 ,95.09, 南 北 , 其他 ,9,1998, 塔楼,0, 4个月以前发布,3000000.0,"31,550元/平",近地铁 VR房源 房本满两年 随时看房 
康乃馨 电梯温馨正式两房一厅 坑口地铁1号线D出口,康乃馨苑,坑口,2室1厅 ,57.71, 南 北 , 简装 ,9,2000, 塔楼,79, 3个月以前发布,1920000.0,"33,270元/平",近地铁 VR看装修 房本满五年 随时看房 
电梯两房 此房满五 南向单边位 采光通风好,金宇花园,东塱,2室1厅 ,61.0, 东南 , 简装 ,8,1996, 塔楼,1, 4个月以前发布,1800000.0,"29,509元/平",VR房源 房本满五年 随时看房 
金宇花园 中间靓位 高层开阔 三面单边 各付各税,金宇花园,东塱,3室1厅 ,74.72, 东南 , 简装 ,9,1998, 塔楼,34, 9个月以前发布,1480000.0,"19,808元/平",VR房源 房本满两年 随时看房 
荔港南湾 F区 西北向 望江两房,荔港南湾,南岸路,2室1厅 ,77.56, 西北 , 其他 ,32,2006, 塔楼,0, 1个月以前发布,3900000.0,"50,284元/平",近地铁 VR房源 房本满五年 随时看房 
蓬莱花园 电梯两房，满五唯一，产权清晰,蓬莱花园,芳村,2室1厅 ,62.3, 西 , 其他 ,9,2001, 塔楼,0, 5个月以前发布,2060000.0,"33,066元/平",VR看装修 房本满五年 随时看房 
证过五年，无抵押，看中可立即签约。,金道花园,鹤洞,3室2厅 ,74.55, 北 , 精装 ,9,2000, 塔楼,28, 一年前发布,2300000.0,"30,852元/平",近地铁 VR房源 房本满五年 随时看房 
近西塱地铁站，满五非唯一税费少，中楼层东南向无西晒,金道花园,鹤洞,3室2厅 ,103.58, 东 东南 , 其他 ,22,2000, 塔楼,6, 一年前发布,3150000.0,"30,412元/平",近地铁 VR看装修 房本满五年 随时看房 
广船鹤园小区 电梯2房 户型方正 南向 采光充足,广船鹤园小区,鹤洞,2室1厅 ,63.7, 南 , 其他 ,9,1999, 塔楼,0, 1个月以前发布,1850000.0,"29,043元/平",近地铁 VR看装修 房本满五年 随时看房 
自住装修 诚意出让 可公积金 南北对流 大三居室,鸿图苑,汾水,3室2厅 ,87.5, 南 , 其他 ,9,1995, 塔楼,215, 7个月以前发布,2290000.0,"26,172元/平",VR房源 房本满两年 随时看房 
过五，双地铁，看花园单边东向不吵户型,金道花园,鹤洞,3室1厅 ,104.0, 东 , 简装 ,22,2000, 塔楼,5, 2个月以前发布,2910000.0,"27,981元/平",近地铁 VR看装修 房本满五年 随时看房 
芳村大道西 2室1厅 东南,芳村大道西,滘口,2室1厅 ,56.11, 东南 , 其他 ,9,1988, 塔楼,26, 9个月以前发布,1500000.0,"26,734元/平",近地铁 VR看装修 房本满五年 随时看房 
楼层好，视野开阔，采光很好，交通便利，配套设施齐全,华发荔湾荟,滘口,3室2厅 ,94.38, 东南 , 毛坯 ,19,2017, 塔楼,29, 一年前发布,4100000.0,"43,442元/平",VR看装修 房本满两年 随时看房 
盛大蓝庭 4房2厅 东南方向 交通方便 可公积金各付各税,盛大蓝庭,坑口,4室2厅 ,96.8, 东南 , 简装 ,16,2003, 塔楼,3, 3个月以前发布,3600000.0,"37,191元/平",近地铁 VR看装修 房本满两年 随时看房 
荔港南湾中层南向大三房 视野开阔,荔港南湾,南岸路,3室2厅 ,119.18, 南 , 简装 ,32,2002, 塔楼,1, 3个月以前发布,5700000.0,"47,827元/平",近地铁 VR房源 房本满五年 随时看房 
荔港南湾 南向三房 装修保养好,荔港南湾,南岸路,3室2厅 ,119.19, 东南 , 其他 ,32,2008, 塔楼,1, 3个月以前发布,5700000.0,"47,823元/平",近地铁 VR房源 房本满五年 随时看房 
园林局宿舍 2室2厅 东南,园林局宿舍,茶滘,2室2厅 ,75.57, 东南 , 其他 ,9,2000, 塔楼,0, 1个月以前发布,2760000.0,"36,523元/平",近地铁 VR房源 房本满五年 随时看房 
逸彩庭院满五年唯一物业 中高层电梯两房,新世界逸彩庭园,滘口,2室1厅 ,78.0, 西南 , 简装 ,19,2007, 塔楼,16, 3个月以前发布,2800000.0,"35,898元/平",近地铁 VR房源 房本满五年 随时看房 
逸彩新世界 五号线 配套齐全 交通便利,新世界逸彩庭园,滘口,2室2厅 ,70.0, 西北 东南 , 其他 ,20,2007, 塔楼,9, 2个月以前发布,2800000.0,"40,000元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五年，楼梯中层，望小区有，通风采光好,新世界逸彩庭园,滘口,2室1厅 ,63.72, 西北 , 简装 ,7,2007, 板楼,3, 6个月以前发布,2680000.0,"42,060元/平",近地铁 VR看装修 房本满五年 随时看房 
恒利翠竹苑 高层两房 视野好 户型归一,恒利翠竹苑,鹤洞,2室2厅 ,89.0, 北 , 其他 ,24,2007, 塔楼,12, 4个月以前发布,3500000.0,"39,326元/平",近地铁 VR看装修 房本满五年 
此房加装电梯三房一厅，高楼层，满五不唯一，近公园,流花路39号大院,流花站前,3室1厅 ,91.61, 东 , 其他 ,9,1995, 平房,36, 一年前发布,3100000.0,"33,840元/平",VR看装修 房本满五年 随时看房 
此房满五 普通，装修 流花湖畔，两房一厅，配套齐全,流花路,流花站前,2室1厅 ,75.57, 西 , 其他 ,9,1990, 塔楼,14, 一年前发布,2000000.0,"26,466元/平",VR看装修 房本满五年 随时看房 
满五免重税！改善型大面积三房两卫！,新世界凯粤湾,滘口,3室2厅 ,117.08, 南 , 精装 ,33,2012, 塔楼,1, 2个月以前发布,5850000.0,"49,966元/平",近地铁 VR看装修 房本满五年 随时看房 
珠岛花园 2室2厅 北,珠岛花园,大坦沙,2室2厅 ,75.05, 北 , 简装 ,17,1995, 板塔结合,0, 1个月以前发布,2850000.0,"37,975元/平",VR看装修 房本满两年 随时看房 
新世界凯粤湾 东南向三房 视野开阔 保养新,新世界凯粤湾,滘口,3室2厅 ,128.64, 南 , 精装 ,33,2018, 塔楼,0, 1个月以前发布,6100000.0,"47,420元/平",VR房源 房本满两年 随时看房 
滘口地铁站600米小区2房2厅户型靓采光好,万兴苑（荔湾）,滘口,2室2厅 ,75.0, 西南 , 精装 ,9,2000, 板塔结合,16, 一年前发布,2100000.0,"28,000元/平",近地铁 VR看装修 房本满五年 随时看房 
中海花湾A区 高层东南向望江 配套完善 双地铁,中海锦汇华庭（A区）,广钢新城,3室1厅 ,121.77, 东南 , 精装 ,60,2019, 塔楼,22, 2个月以前发布,5850000.0,"48,042元/平",近地铁 VR看装修 房本满两年 随时看房 
珠岛花园 复式东南朝向 户型方正实用,珠岛花园,大坦沙,6室1厅 ,155.06, 东 南 , 其他 ,25,1999, 塔楼,13, 3个月以前发布,4700000.0,"30,311元/平",VR房源 房本满五年 随时看房 
证满五年，电梯方正2房，交通方便，旺中带静,新世界逸彩庭园,滘口,2室1厅 ,78.0, 南 , 简装 ,19,2007, 塔楼,51, 一年前发布,2830000.0,"36,283元/平",近地铁 VR房源 房本满五年 随时看房 
文昌南路春蕾苑 低层二楼 条形砖外墙 楼龄新净,文昌南路,西关,2室2厅 ,69.44, 西 , 精装 ,9,1991, 塔楼,0,26,2200000.0,"31,683元/平",VR看装修 房本满五年 
全新装修 装修舒适  业主诚心放卖 看房方便,中海锦御华庭（B区）,广钢新城,1室1厅 ,51.0, 南 , 精装 ,32,2018, 塔楼,0,28,1500000.0,"29,412元/平",近地铁 房本满五年 
丛桂路 2室1厅 东北,丛桂路,黄沙,2室1厅 ,70.08, 东北 , 简装 ,9,1994, 塔楼,2,31,1800000.0,"25,685元/平",近地铁 VR看装修 房本满五年 
楼龄新，户型方正 视野开阔 采光好,中海锦御华庭（B区）,广钢新城,1室1厅 ,47.34, 北 , 其他 ,32,2018, 塔楼,0,18,1250000.0,"26,405元/平",近地铁 房本满两年 
珠岛花园 1室1厅 南,珠岛花园,大坦沙,1室1厅 ,34.88, 南 , 其他 ,9,1995, 板塔结合,0,17,1230000.0,"35,264元/平",近地铁 VR看装修 房本满两年 
名汇大厦 高层大两房 过五年唯一物业,名汇商业大厦,西关,2室1厅 ,87.36, 西南 西 , 精装 ,32,2002, 塔楼,1,16,3580000.0,"40,980元/平",VR房源 房本满五年 
小面积靓房  电梯已签名  户型方正 采光通透,周门小区周门南路,周门,1室1厅 ,28.3, 东 , 其他 ,9,1998, 塔楼,0,14,850000.0,"30,036元/平",近地铁 VR房源 房本满五年 
中海锦汇华庭（A区） 1室1厅 南,中海锦汇华庭（A区）,广钢新城,1室1厅 ,51.62, 南 , 其他 ,21,2019, 塔楼,0,13,1600000.0,"30,996元/平",近地铁 房本满两年 
荔港南湾 中层两房 望花园安静舒适 过五唯一,荔港南湾,南岸路,2室1厅 ,73.31, 东北 , 其他 ,32,2008, 塔楼,1,10,3480000.0,"47,470元/平",近地铁 VR房源 房本满五年 
荔港南湾 2室1厅 东南,荔港南湾,南岸路,2室1厅 ,72.87, 东南 , 其他 ,32,2008, 塔楼,0,12,3430000.0,"47,071元/平",近地铁 VR房源 房本满五年 
元邦明月星辉过五唯一物业 保养新净近双地铁 看房方便,元邦明月星辉,龙津,2室1厅 ,59.13, 北 , 其他 ,27,2011, 塔楼,0,13,3080000.0,"52,089元/平",VR房源 房本满五年 
荔湖明苑二期  实用两房   方正户型  小区环境好,荔湖明苑,黄沙,2室2厅 ,79.11, 东 , 简装 ,23,1999, 塔楼,0,10,4380000.0,"55,366元/平",近地铁 VR房源 房本满五年 
地铁八号线正两房，低层舒适，出入方便,上九路,人民路,2室1厅 ,49.03, 东 , 其他 ,2,1990, 板楼,0,9,1300000.0,"26,515元/平",近地铁 VR房源 房本满五年 
安富花园 原装电梯 带阳台 省级西实,安富花园,龙津,1室1厅 ,43.0, 东南 西北 , 精装 ,26,1998, 塔楼,0,12,1900000.0,"44,187元/平",近地铁 VR房源 房本满五年 
