豪利花园，房子精装修，拎包入住，看房方便，欢迎咨询,豪利花园,镜湖大道,3室1厅 ,98.96, 南 , 精装 ,16,2014, 塔楼,2,28,1790000.0,"18,089元/平",VR房源 房本满两年 随时看房 
骏威锦东 区府旁 带平台40方 南向毛坯 花都广场地铁口,骏威锦东花园C区,新区,3室2厅 ,94.68, 南 , 毛坯 ,19,2012, 塔楼,13, 6个月以前发布,2600000.0,"27,461元/平",VR房源 房本满五年 随时看房 
云峰花园1期  近地铁物业  环境好,云峰花园1期,镜湖大道,3室2厅 ,128.54, 西 , 精装 ,12,2005, 塔楼,11, 一年前发布,2240000.0,"17,427元/平",近地铁 VR看装修 房本满五年 随时看房 
雅居乐花冠集，中高层，视野好，毛坯大空间,雅居乐锦城花冠集,秀全街,5室2厅 ,191.23, 东南 , 毛坯 ,31,2008, 板楼,5, 一年前发布,3500000.0,"18,303元/平",VR看装修 房本满五年 随时看房 
翠华花园 低层 南向小两房 低总* 刚需房 配套成熟,翠华花园,铁路西,2室2厅 ,78.56, 南 , 其他 ,7,2006, 塔楼,9, 一年前发布,1030000.0,"13,111元/平",近地铁 VR房源 房本满五年 随时看房 
嘉都汇 精装三房 南北对流 满五唯一,嘉都汇,镜湖大道,3室2厅 ,126.39, 南 , 精装 ,13,2015, 塔楼,0, 3个月以前发布,3200000.0,"25,319元/平",近地铁 VR看装修 房本满五年 随时看房 
小区坏境优美，，泳池，交通便利，停车方便购物方便,天马丽苑二期,铁路西,3室2厅 ,132.2, 北 , 简装 ,34,2013, 塔楼,0, 1个月以前发布,1680000.0,"12,709元/平",VR看装修 房本满五年 随时看房 
大露台，地铁口低层舒适大三房。,骏威广场,旧区,3室1厅 ,144.05, 西 东 , 简装 ,8,2000, 塔楼,5, 7个月以前发布,2280000.0,"15,828元/平",近地铁 VR房源 房本满五年 随时看房 
鼎信四季花园 包产权车位 全新精装无入住 中轴线物业,鼎信四季花园,花城街,3室2厅 ,118.68, 东南 , 精装 ,17,2012, 塔楼,20, 8个月以前发布,2240000.0,"18,875元/平",VR房源 房本满五年 随时看房 
南向毛坯三房 格局很好 三房带主套 业主诚心出*,祈福天龙苑,铁路西,3室2厅 ,93.11, 南 , 毛坯 ,27,2014, 塔楼,1, 一年前发布,1780000.0,"19,118元/平",VR房源 房本满两年 随时看房 
新鸿基御华园1号楼258平复式,新鸿基御华园,狮岭镇,4室1厅 ,258.0, 南 北 , 毛坯 ,31,2013, 板塔结合,2, 一年前发布,5160000.0,"20,000元/平",VR房源 房本满两年 随时看房 
电梯楼，采光充足，配套设施齐全 小区管理 楼下公园,丽景大厦,旧区,3室2厅 ,144.18, 南 , 精装 ,12,2000, 塔楼,0, 4个月以前发布,1700000.0,"11,791元/平",VR房源 房本满五年 随时看房 
中房观湖国际 3室2厅 南 北,中房观湖国际,旧区,3室2厅 ,142.06, 南 北 , 简装 ,28,2007, 塔楼,4, 6个月以前发布,3500000.0,"24,638元/平",VR房源 房本满五年 随时看房 
地铁口北站商圈，低层带独立使用大平台！,嘉逸华庭,铁路西,3室1厅 ,103.74, 东南 , 精装 ,8,2005, 塔楼,0, 4个月以前发布,1630000.0,"15,713元/平",近地铁 VR房源 房本满五年 随时看房 
南向单位，成熟小区，户型方正。,粤兴苑,铁路西,4室2厅 ,112.75, 南 , 其他 ,9,2005, 塔楼,2, 6个月以前发布,1050000.0,"9,313元/平",VR看装修 房本满两年 随时看房 
此房格局方正实用，采光通风好，近北站地铁口,祈福辉煌台,铁路西,3室2厅 ,117.07, 北 , 其他 ,28,2012, 塔楼,1, 1个月以前发布,1750000.0,"14,949元/平",VR房源 房本满五年 随时看房 
万科天景花园 3室2厅 东,万科天景花园,铁路西,3室2厅 ,95.02, 东 , 精装 ,23,2006, 塔楼,0, 2个月以前发布,1500000.0,"15,787元/平",近地铁 VR看装修 房本满五年 随时看房 
天马河壹号四期，小区优美，还近9号线汽车城站,天马河壹号四期,铁路西,2室2厅 ,79.17, 南 , 毛坯 ,11,2012, 塔楼,13, 一年前发布,1180000.0,"14,905元/平",近地铁 VR看装修 房本满两年 随时看房 
福虹阳光美地 3室1厅 南 北,福虹阳光美地,旧区,3室1厅 ,95.69, 南 北 , 其他 ,8,2003, 塔楼,0, 2个月以前发布,1365000.0,"14,265元/平",VR房源 房本满两年 随时看房 
近地铁口刚需三房，装修保养新净，钥匙在手，随时可看,俊怡云山御居,铁路西,3室2厅 ,121.11, 北 , 其他 ,18,2012, 塔楼,45, 一年前发布,1700000.0,"14,037元/平",近地铁 VR看装修 房本满五年 随时看房 
都湖国际 全湖景三房 中层 无遮挡,都湖国际,旧区,3室2厅 ,125.44, 东 , 毛坯 ,31,2019, 塔楼,11, 6个月以前发布,4500000.0,"35,874元/平",VR看装修 房本满两年 随时看房 
保利城地铁三房 户型方正实用 配套设施齐全！,保利城花园,铁路西,3室2厅 ,87.39, 南 , 其他 ,25,2011, 塔楼,7, 6个月以前发布,1380000.0,"15,792元/平",近地铁 VR房源 房本满五年 随时看房 
电梯高层 复式住宅 东南向望花园 新装修 居住舒适,宝铼雅居,铁路西,3室1厅 ,55.07, 东南 , 精装 ,14,2013, 塔楼,44, 一年前发布,970000.0,"17,614元/平",VR房源 房本满两年 随时看房 
花园中间位置，格局方正，视野开阔，邻近地铁口！,万科天景花园,铁路西,3室2厅 ,89.73, 南 , 精装 ,21,2008, 塔楼,19, 8个月以前发布,1360000.0,"15,157元/平",近地铁 VR看装修 房本满两年 随时看房 
骏威旁，精装3房，带平台花园，产权清析，南向单位,紫薇丽都,新区,3室2厅 ,92.16, 西南 , 其他 ,14,2013, 塔楼,1, 1个月以前发布,2250000.0,"24,415元/平",近地铁 VR看装修 房本满五年 随时看房 
雅居乐二期，中高楼层，光线好视野开阔。,雅居乐雍华廷二期,新区,3室2厅 ,106.92, 北 , 简装 ,11,2002, 塔楼,0, 1个月以前发布,2300000.0,"21,512元/平",近地铁 VR看装修 房本满五年 随时看房 
保利地铁两房，精装修，格局方正，轻松上车,保利城花园,铁路西,2室2厅 ,83.1, 北 , 简装 ,25,2011, 塔楼,0, 1个月以前发布,1170000.0,"14,080元/平",近地铁 VR看装修 房本满五年 随时看房 
大4房.业主诚心出*.格局通透.楼层好，视野开阔,广州融创文旅城A2区,花城街,4室2厅 ,113.28, 南 , 其他 ,31,2018, 塔楼,37, 一年前发布,2700000.0,"23,835元/平",VR看装修 房本满两年 随时看房 
南航花园大型小区南向望花园采光充足，配套成熟,南航花园,新区,3室1厅 ,106.75, 南 , 精装 ,12,2002, 塔楼,9, 3个月以前发布,2180000.0,"20,422元/平",近地铁 VR房源 房本满两年 随时看房 
云港花园 南向 电梯 房产证过五年 4房 带入户花园,云港花园,新区,4室2厅 ,160.71, 南 , 毛坯 ,18,2004, 塔楼,8, 10个月以前发布,2980000.0,"18,543元/平",近地铁 VR看装修 房本满两年 随时看房 
云峰花园1期  近地铁物业  环境好,云峰花园1期,镜湖大道,3室2厅 ,128.54, 西 , 精装 ,12,2005, 塔楼,11, 一年前发布,2240000.0,"17,427元/平",近地铁 VR看装修 房本满五年 随时看房 
大露台，地铁口低层舒适大三房。,骏威广场,旧区,3室1厅 ,144.05, 西 东 , 简装 ,8,2000, 塔楼,5, 7个月以前发布,2280000.0,"15,828元/平",近地铁 VR房源 房本满五年 随时看房 
鼎信四季花园 包产权车位 全新精装无入住 中轴线物业,鼎信四季花园,花城街,3室2厅 ,118.68, 东南 , 精装 ,17,2012, 塔楼,20, 8个月以前发布,2240000.0,"18,875元/平",VR房源 房本满五年 随时看房 
电梯楼，采光充足，配套设施齐全 小区管理 楼下公园,丽景大厦,旧区,3室2厅 ,144.18, 南 , 精装 ,12,2000, 塔楼,0, 4个月以前发布,1700000.0,"11,791元/平",VR房源 房本满五年 随时看房 
中房观湖国际 3室2厅 南 北,中房观湖国际,旧区,3室2厅 ,142.06, 南 北 , 简装 ,28,2007, 塔楼,4, 6个月以前发布,3500000.0,"24,638元/平",VR房源 房本满五年 随时看房 
新鸿基御华园1号楼258平复式,新鸿基御华园,狮岭镇,4室1厅 ,258.0, 南 北 , 毛坯 ,31,2013, 板塔结合,2, 一年前发布,5160000.0,"20,000元/平",VR房源 房本满两年 随时看房 
翠华花园 低层 南向小两房 低总* 刚需房 配套成熟,翠华花园,铁路西,2室2厅 ,78.56, 南 , 其他 ,7,2006, 塔楼,9, 一年前发布,1030000.0,"13,111元/平",近地铁 VR房源 房本满五年 随时看房 
雅居乐花冠集，中高层，视野好，毛坯大空间,雅居乐锦城花冠集,秀全街,5室2厅 ,191.23, 东南 , 毛坯 ,31,2008, 板楼,5, 一年前发布,3500000.0,"18,303元/平",VR看装修 房本满五年 随时看房 
小区坏境优美，，泳池，交通便利，停车方便购物方便,天马丽苑二期,铁路西,3室2厅 ,132.2, 北 , 简装 ,34,2013, 塔楼,0, 1个月以前发布,1680000.0,"12,709元/平",VR看装修 房本满五年 随时看房 
"南向,四房两厅两卫,高楼层,采光通透,",祈福都会花园,花山镇,4室2厅 ,136.0, 南 , 精装 ,11,2012, 塔楼,2, 一年前发布,1930000.0,"14,192元/平",VR看装修 房本满两年 随时看房 
雅居乐锦城，复式两层住宅，户型方正,雅居乐锦城花冠集,秀全街,4室2厅 ,93.0, 北 , 毛坯 ,32,2008, 塔楼,8, 一年前发布,1980000.0,"21,291元/平",VR房源 房本满两年 随时看房 
业主急*，精装4房，正南向，采光好,豪骏名苑,铁路西,4室2厅 ,137.35, 南 , 精装 ,17,2012, 塔楼,29, 一年前发布,2500000.0,"18,202元/平",近地铁 VR看装修 房本满五年 随时看房 
翠华绿茵苑 广州北站地铁口800米  有私家大平台150方,翠华绿茵苑,铁路西,3室1厅 ,88.52, 北 , 精装 ,11,2012, 塔楼,12, 一年前发布,1680000.0,"18,979元/平",近地铁 VR看装修 房本满五年 随时看房 
天马丽苑二期 3室2厅 南,天马丽苑二期,铁路西,3室2厅 ,140.53, 南 , 精装 ,34,2007, 塔楼,1, 3个月以前发布,2500000.0,"17,790元/平",VR看装修 房本满两年 随时看房 
花果山地铁口物业，电梯房，南向、产权清晰、没按揭！,花都晓翠苑,新区,3室1厅 ,119.22, 南 , 精装 ,6,2000, 塔楼,1, 1个月以前发布,1550000.0,"13,002元/平",近地铁 VR看装修 房本满五年 随时看房 
银星花园 马鞍山畔 大润发旁 精装三房 带大露台,银星花园,新区,3室2厅 ,89.59, 东 西 北 , 其他 ,17,2008, 塔楼,0, 1个月以前发布,1980000.0,"22,101元/平",VR看装修 房本满五年 随时看房 
正规三房 户型方正 ，产权清晰,广州融创文旅城B1区,花城街,3室2厅 ,91.16, 南 北 , 毛坯 ,33,2018, 塔楼,1, 3个月以前发布,2200000.0,"24,134元/平",VR房源 房本满两年 随时看房 
嘉都汇 精装三房 南北对流 满五唯一,嘉都汇,镜湖大道,3室2厅 ,126.39, 南 , 精装 ,13,2015, 塔楼,0, 3个月以前发布,3200000.0,"25,319元/平",近地铁 VR看装修 房本满五年 随时看房 
翡翠小区，锦砖外墙，中层南向  大三房,翡翠小区,旧区,3室2厅 ,100.5, 北 , 精装 ,10,2001, 塔楼,12, 一年前发布,1360000.0,"13,533元/平",近地铁 VR看装修 房本满五年 随时看房 
时代美居 3房2厅 电梯房 户型方正,时代美居,旧区,3室2厅 ,128.02, 北 , 简装 ,18,2006, 塔楼,7, 一年前发布,2390000.0,"18,669元/平",近地铁 VR看装修 房本满五年 随时看房 
富力金港城北区 4室2厅 南 北,富力金港城北区,花东镇,4室2厅 ,160.0, 南 北 , 精装 ,11,2010, 塔楼,0, 6个月以前发布,2480000.0,"15,500元/平",VR看装修 房本满五年 随时看房 
近地铁，交通方便，配套齐全，看房方便,金华花园,铁路西,3室2厅 ,93.39, 南 , 精装 ,9,2001, 塔楼,3, 一年前发布,1200000.0,"12,850元/平",VR看装修 房本满五年 随时看房 
骏壹商场旁 雍逸豪廷 高层看别墅区 南北对流 采光好,雅居乐雍逸豪庭,新区,4室2厅 ,183.48, 南 北 , 简装 ,18,2009, 塔楼,17, 5个月以前发布,4100000.0,"22,346元/平",VR房源 房本满五年 随时看房 
大4房.业主诚心出*.格局通透.楼层好，视野开阔,广州融创文旅城A2区,花城街,4室2厅 ,113.28, 南 , 其他 ,31,2018, 塔楼,37, 一年前发布,2700000.0,"23,835元/平",VR看装修 房本满两年 随时看房 
南航花园大型小区南向望花园采光充足，配套成熟,南航花园,新区,3室1厅 ,106.75, 南 , 精装 ,12,2002, 塔楼,9, 3个月以前发布,2180000.0,"20,422元/平",近地铁 VR房源 房本满两年 随时看房 
天马丽苑二期 3室2厅 南,天马丽苑二期,铁路西,3室2厅 ,96.94, 南 , 精装 ,35,2007, 塔楼,1, 1个月以前发布,1550000.0,"15,990元/平",VR看装修 房本满五年 随时看房 
都湖国际 全湖景三房 中层 无遮挡,都湖国际,旧区,3室2厅 ,125.44, 东 , 毛坯 ,31,2019, 塔楼,11, 6个月以前发布,4500000.0,"35,874元/平",VR看装修 房本满两年 随时看房 
小区24小时物业管理，小区坏境安静，楼房正南向,朗庭雅居,新区,3室2厅 ,93.09, 南 , 精装 ,11,2010, 塔楼,8, 5个月以前发布,1678000.0,"18,026元/平",VR看装修 房本满两年 随时看房 
小区管理  楼层中高层，视野好，采光充足,文化馆小区,旧区,2室1厅 ,90.74, 南 , 精装 ,15,1996, 塔楼,0, 1个月以前发布,840000.0,"9,258元/平",近地铁 VR看装修 房本满五年 随时看房 
全屋进口硬装，南北双阳台对流，通风采光优越安静舒适,中房观湖国际,旧区,3室2厅 ,137.28, 南 北 , 精装 ,28,2008, 塔楼,9, 7个月以前发布,2780000.0,"20,251元/平",VR看装修 房本满五年 随时看房 
广州北全新毛坯两房望花园，证满两年税费低 业主急卖,祈福天龙苑,铁路西,2室1厅 ,77.18, 北 , 毛坯 ,28,2014, 塔楼,25, 一年前发布,1150000.0,"14,901元/平",近地铁 VR房源 房本满两年 随时看房 
业主诚心出，南向视野与采光好、格局方正实用,天马河壹号四期,铁路西,3室2厅 ,91.97, 南 , 精装 ,11,2012, 塔楼,43, 一年前发布,1480000.0,"16,093元/平",近地铁 VR房源 房本满五年 随时看房 
有车位可一同出！南北格局，开窗直对马鞍山公园,半山茗苑,新区,4室2厅 ,122.62, 北 , 毛坯 ,23,2016, 塔楼,11, 一年前发布,2500000.0,"20,389元/平",VR看装修 房本满两年 随时看房 
地铁口物业，中间楼层，正南向，小区很笋一套,祈福辉煌台,铁路西,3室2厅 ,109.8, 南 , 毛坯 ,28,2012, 塔楼,6, 4个月以前发布,1550000.0,"14,117元/平",VR房源 房本满五年 随时看房 
天湖峰境H区独栋别墅二线湖景环境优美舒适,天湖峰境,北兴镇,6室3厅 ,393.41, 南 , 其他 ,1,2012, 塔楼,26, 一年前发布,6000000.0,"15,252元/平",VR房源 房本满两年 随时看房 
美力盈彩 毛坯大三房  配套成熟,美力盈彩花苑,旧区,3室2厅 ,138.0, 南 , 毛坯 ,20,2010, 塔楼,6, 一年前发布,2400000.0,"17,392元/平",VR房源 房本满五年 随时看房 
融创五房 南北对流 双阳台 楼层好,广州融创文旅城A2区,花城街,5室1厅 ,140.0, 南 , 其他 ,33,2016, 塔楼,47, 一年前发布,3800000.0,"27,143元/平",VR看装修 房本满五年 随时看房 
此房楼层好，视野开阔，交通便利，户型方正,逸泉韵翠花园,北兴镇,4室2厅 ,141.36, 东南 , 精装 ,9,2012, 板楼,3, 11个月以前发布,1650000.0,"11,673元/平",VR看装修 房本满五年 随时看房 
逸泉韵翠 南北对流  精装修 户型方正,逸泉韵翠花园,北兴镇,3室2厅 ,110.98, 东南 , 其他 ,9,2012, 板楼,0, 6个月以前发布,1400000.0,"12,615元/平",VR看装修 房本满两年 随时看房 
此房楼层好，视野开阔，交通便利，户型方正,逸泉韵翠花园,北兴镇,4室2厅 ,141.36, 东南 , 精装 ,9,2012, 板楼,3, 11个月以前发布,1650000.0,"11,673元/平",VR看装修 房本满五年 随时看房 
高楼层，视野好，户型方正，南北对流,逸泉韵翠花园,北兴镇,3室2厅 ,96.22, 南 , 精装 ,9,2012, 板楼,10, 10个月以前发布,1190000.0,"12,368元/平",VR看装修 房本满五年 随时看房 
流溪河旁，一梯二户，低密度电梯洋房,逸泉韵翠花园,北兴镇,4室2厅 ,134.99, 东南 , 精装 ,9,2012, 板楼,3, 9个月以前发布,1680000.0,"12,446元/平",VR看装修 房本满两年 随时看房 
逸泉韵翠  一梯两户 南向  视野好 随时看房,逸泉韵翠花园,北兴镇,4室2厅 ,142.63, 南 , 其他 ,9,2012, 塔楼,0, 4个月以前发布,1720000.0,"12,060元/平",VR看装修 房本满五年 随时看房 
地铁口物业，中间楼层，正南向，小区很笋一套,祈福辉煌台,铁路西,3室2厅 ,109.8, 南 , 毛坯 ,28,2012, 塔楼,6, 4个月以前发布,1550000.0,"14,117元/平",VR房源 房本满五年 随时看房 
小区管理  楼层中高层，视野好，采光充足,文化馆小区,旧区,2室1厅 ,90.74, 南 , 精装 ,15,1996, 塔楼,0, 1个月以前发布,840000.0,"9,258元/平",近地铁 VR看装修 房本满五年 随时看房 
3房.带装修.景观入户.中高层.南北通透.全屋定制家具,天马丽苑二期,铁路西,3室2厅 ,92.86, 南 北 , 精装 ,35,2007, 塔楼,0, 1个月以前发布,1450000.0,"15,615元/平",VR看装修 房本满五年 随时看房 
天马丽苑二期，户型方正，精装修领包入住面积实用三房,天马丽苑二期,铁路西,3室2厅 ,97.57, 西南 , 简装 ,35,2007, 塔楼,5, 一年前发布,1430000.0,"14,657元/平",VR看装修 房本满五年 随时看房 
全屋进口硬装，南北双阳台对流，通风采光优越安静舒适,中房观湖国际,旧区,3室2厅 ,137.28, 南 北 , 精装 ,28,2008, 塔楼,9, 7个月以前发布,2780000.0,"20,251元/平",VR看装修 房本满五年 随时看房 
有车位可一同出！南北格局，开窗直对马鞍山公园,半山茗苑,新区,4室2厅 ,122.62, 北 , 毛坯 ,23,2016, 塔楼,11, 一年前发布,2500000.0,"20,389元/平",VR看装修 房本满两年 随时看房 
天马河壹号 小区门口天马河公园绿道 小区二梯四户舒适,天马河壹号,铁路西,3室2厅 ,100.76, 西南 , 毛坯 ,24,2016, 塔楼,0, 2个月以前发布,1680000.0,"16,674元/平",近地铁 VR看装修 房本满五年 随时看房 
南华时代城 中高层 三房2卫 望花园,南华时代城,铁路西,3室2厅 ,110.82, 北 , 精装 ,31,2010, 塔楼,5, 一年前发布,2300000.0,"20,755元/平",VR看装修 房本满两年 随时看房 
业主移民 诚心放卖大三房 格局方正,天马河壹号五期,铁路西,3室2厅 ,114.88, 南 , 毛坯 ,27,2015, 塔楼,39, 一年前发布,2000000.0,"17,410元/平",近地铁 VR看装修 房本满五年 随时看房 
刚需两房 交通便利 采光好 无遮挡,天马河壹号五期,铁路西,2室1厅 ,76.87, 北 , 毛坯 ,27,2015, 塔楼,1, 3个月以前发布,1200000.0,"15,611元/平",近地铁 VR看装修 房本满五年 随时看房 
小区居住舒适  绿树蒙阴  大四房 格局方正实用,逸泉韵翠花园,北兴镇,4室2厅 ,141.14, 东南 , 其他 ,9,2012, 塔楼,2, 一年前发布,1600000.0,"11,337元/平",VR看装修 房本满五年 随时看房 
南向 带*大平台  户型方正  直达地下停车场,逸泉韵翠花园,北兴镇,4室2厅 ,134.0, 南 , 精装 ,9,2012, 板楼,4, 一年前发布,1750000.0,"13,060元/平",VR看装修 房本满五年 随时看房 
电梯小高层，楼层好，视野好，出入方便,逸泉韵翠花园,北兴镇,4室2厅 ,134.0, 南 , 其他 ,9,2012, 板楼,0, 1个月以前发布,1600000.0,"11,941元/平",VR看装修 房本满五年 随时看房 
此房全新未住过，一梯两户，南北对流,逸泉韵翠花园,北兴镇,4室2厅 ,141.14, 东南 , 精装 ,9,2012, 塔楼,0, 1个月以前发布,1560000.0,"11,053元/平",VR看装修 房本满五年 随时看房 
富力金港城北区 4室2厅 南 北,富力金港城北区,花东镇,4室2厅 ,160.0, 南 北 , 精装 ,11,2010, 塔楼,0, 6个月以前发布,2480000.0,"15,500元/平",VR看装修 房本满五年 随时看房 
祈福辉煌台 北站板块 生活配套成熟 中层 采光通风佳,祈福辉煌台,铁路西,2室2厅 ,87.0, 北 , 精装 ,28,2008, 塔楼,0, 一年前发布,1500000.0,"17,242元/平",近地铁 VR房源 房本满五年 随时看房 
环境优美，南北对流，*实用的户型,逸泉韵翠花园,北兴镇,4室2厅 ,126.71, 东南 , 其他 ,9,2013, 塔楼,0, 一年前发布,1650000.0,"13,022元/平",VR看装修 房本满五年 随时看房 
逸泉韵翠，大三房，一线流溪河景,逸泉韵翠花园,北兴镇,4室2厅 ,134.99, 东南 , 精装 ,9,2012, 塔楼,1, 一年前发布,1680000.0,"12,446元/平",VR看装修 房本满五年 随时看房 
融创五房 南北对流 双阳台 楼层好,广州融创文旅城A2区,花城街,5室1厅 ,140.0, 南 , 其他 ,33,2016, 塔楼,47, 一年前发布,3800000.0,"27,143元/平",VR看装修 房本满五年 随时看房 
地铁口，全新精装小3房，南向视野开阔，采光通风好,西苑小区,铁路西,3室2厅 ,78.71, 南 , 精装 ,8,1996, 塔楼,198, 一年前发布,970000.0,"12,324元/平",近地铁 VR看装修 房本满两年 随时看房 
，不靠高速高铁，望花园，安静舒适,雅宝新城,秀全街,3室1厅 ,143.99, 南 , 其他 ,12,2003, 塔楼,4, 一年前发布,2100000.0,"14,585元/平",VR房源 房本满五年 随时看房 
云峰花园四期 地铁口机组车 户型方正 采光好,云峰花园4期,镜湖大道,2室1厅 ,85.53, 北 , 毛坯 ,11,2012, 塔楼,28, 一年前发布,1500000.0,"17,538元/平",近地铁 VR看装修 房本满五年 随时看房 
南向带主套三房 安静不靠路 户口没占用 看房方便,尚品雅居悦庭,秀全街,3室2厅 ,103.82, 南 , 毛坯 ,18,2018, 暂无数据,1, 1个月以前发布,1390000.0,"13,389元/平",VR看装修 房本满两年 随时看房 
路劲物业   精装婚房 地铁口公园教育笋盘 业主急卖,路劲天隽峰,旧区,3室2厅 ,96.23, 东南 南 , 精装 ,32,2018, 塔楼,0, 1个月以前发布,2570000.0,"26,707元/平",近地铁 VR看装修 房本满两年 随时看房 
新都城市花园精装大2房出*，看花园，新区优质小区,新都城市花园,新区,2室2厅 ,84.7, 西 , 精装 ,9,2007, 塔楼,27, 一年前发布,1702000.0,"20,095元/平",近地铁 VR看装修 房本满五年 随时看房 
马赛克外墙，小区管理，住家装修，南北对流,松园大道,旧区,3室1厅 ,77.85, 南 北 , 其他 ,9,1996, 塔楼,40, 一年前发布,660000.0,"8,478元/平",VR看装修 房本满五年 随时看房 
南华时代城 大小区 大5房 南北对流 交通便利 配套齐全,南华时代城,铁路西,4室2厅 ,153.77, 南 , 毛坯 ,19,2010, 塔楼,9, 4个月以前发布,2400000.0,"15,608元/平",VR看装修 房本满五年 随时看房 
安静不靠路，南向，三房带主套，可以四房,雅宝新城名门世家,秀全街,3室2厅 ,148.78, 南 , 精装 ,28,2012, 塔楼,10, 一年前发布,2150000.0,"14,451元/平",VR看装修 房本满五年 随时看房 
东南向带主套三房 发展商装修保养好 有钥匙看房方便,雅居乐锦城花语集,秀全街,3室2厅 ,99.0, 南 , 精装 ,25,2008, 塔楼,1, 2个月以前发布,1680000.0,"16,970元/平",VR看装修 房本满五年 随时看房 
融创文旅城高层（不顶楼）4房，采光充足,广州融创文旅城A3区,花城街,4室1厅 ,114.05, 南 , 其他 ,33,2018, 塔楼,3, 4个月以前发布,2850000.0,"24,990元/平",VR看装修 房本满两年 随时看房 
花都区府板块电梯楼，13000每平，南向不靠路,百合豪园,旧区,3室1厅 ,142.56, 南 , 简装 ,11,2007, 塔楼,1, 1个月以前发布,1770000.0,"12,416元/平",VR看装修 房本满五年 随时看房 
锦东花园A区  区府旁  高档小区 配套成熟 中楼层,骏威锦东花园A区,新区,3室1厅 ,100.0, 北 , 毛坯 ,22,2012, 塔楼,0, 2个月以前发布,2800000.0,"28,000元/平",VR看装修 房本满两年 随时看房 
航都花园 锦砖电梯 大面积中层4房，采光好,航都花园,新区,4室2厅 ,160.1, 北 , 简装 ,16,2003, 塔楼,12, 4个月以前发布,2150000.0,"13,430元/平",近地铁 VR房源 房本满五年 随时看房 
南向，采光好，视野开阔，装修保养好，双地铁口。,天马丽苑二期,铁路西,3室2厅 ,97.55, 南 , 精装 ,35,2015, 塔楼,1, 8个月以前发布,1480000.0,"15,172元/平",VR看装修 房本满两年 随时看房 
此房屋户型方正 步梯中层好通风 钥匙在手  随时可看房,怡翠苑,旧区,3室2厅 ,94.42, 南 , 简装 ,8,2003, 塔楼,2, 2个月以前发布,1220000.0,"12,921元/平",VR房源 房本满五年 随时看房 
"户型户型实用 ,南向望天马河,使用率高,采光充足",天马河壹号一期,铁路西,3室1厅 ,91.62, 西南 , 其他 ,18,2012, 塔楼,12, 一年前发布,1430000.0,"15,608元/平",近地铁 VR看装修 房本满五年 随时看房 
粤华小区，环境优美，安静舒适！,粤华小区,铁路西,3室1厅 ,97.05, 南 , 简装 ,8,2000, 塔楼,0, 1个月以前发布,1120000.0,"11,541元/平",近地铁 VR看装修 房本满五年 随时看房 
：近人民公园，花都广场，交通及配套成熟一应俱全。,美力盈彩花苑,旧区,3室2厅 ,141.35, 南 , 精装 ,20,2010, 塔楼,7, 5个月以前发布,2380000.0,"16,838元/平",VR看装修 房本满五年 随时看房 
银燕大厦三房    南向望花园,花都银燕大厦,旧区,3室2厅 ,103.43, 南 , 精装 ,15,2002, 塔楼,71, 一年前发布,1800000.0,"17,404元/平",近地铁 VR看装修 房本满五年 随时看房 
锦砖外墙 马上电梯房  方便看房 还*就卖,银雅轩,旧区,3室2厅 ,98.0, 东南 , 简装 ,8,2007, 板楼,131, 一年前发布,1270000.0,"12,960元/平",VR看装修 房本满五年 随时看房 
地铁口物业，中间楼层，正南向，小区很笋一套,祈福辉煌台,铁路西,3室2厅 ,109.8, 南 , 毛坯 ,28,2012, 塔楼,6, 4个月以前发布,1550000.0,"14,117元/平",VR房源 房本满五年 随时看房 
此房证满两年，户型方正实用，地理位置优越，中楼层,碧泰豪苑,旧区,2室2厅 ,88.86, 北 , 毛坯 ,17,2015, 塔楼,2, 10个月以前发布,1390000.0,"15,643元/平",VR看装修 房本满两年 随时看房 
业主诚心出*！三房南向 视野开阔 适合居住！,美力锦颐雅居,秀全街,3室2厅 ,96.96, 南 , 其他 ,12,2013, 塔楼,0, 一年前发布,1550000.0,"15,986元/平",VR看装修 房本满五年 随时看房 
融创五房 南北对流 双阳台 楼层好,广州融创文旅城A2区,花城街,5室1厅 ,140.0, 南 , 其他 ,33,2016, 塔楼,47, 一年前发布,3800000.0,"27,143元/平",VR看装修 房本满五年 随时看房 
逸泉韵翠，大三房，一线流溪河景,逸泉韵翠花园,北兴镇,4室2厅 ,134.99, 东南 , 精装 ,9,2012, 塔楼,1, 一年前发布,1680000.0,"12,446元/平",VR看装修 房本满五年 随时看房 
环境优美，南北对流，*实用的户型,逸泉韵翠花园,北兴镇,4室2厅 ,126.71, 东南 , 其他 ,9,2013, 塔楼,0, 一年前发布,1650000.0,"13,022元/平",VR看装修 房本满五年 随时看房 
逸泉韵翠  一梯两户 南向  视野好 随时看房,逸泉韵翠花园,北兴镇,4室2厅 ,142.63, 南 , 其他 ,9,2012, 塔楼,0, 4个月以前发布,1720000.0,"12,060元/平",VR看装修 房本满五年 随时看房 
逸泉韵翠 南北对流  精装修 户型方正,逸泉韵翠花园,北兴镇,3室2厅 ,110.98, 东南 , 其他 ,9,2012, 板楼,0, 6个月以前发布,1400000.0,"12,615元/平",VR看装修 房本满两年 随时看房 
