实用大复式！过5年，唯一物业，税费低,锦绣生态园,钟村,4室2厅 ,202.67, 东北 , 精装 ,17,2007, 塔楼,1,18,5000000.0,"24,671元/平",VR房源 房本满五年 随时看房 
鑫隆世家 4室2厅 南,鑫隆世家,石楼,4室2厅 ,132.16, 南 , 其他 ,18,2012, 塔楼,0, 1个月以前发布,2900000.0,"21,944元/平",VR看装修 房本满两年 
金山谷少有单边位 带大花园 过五 诚心出*环境安静,金山谷,金山谷,6室4厅 ,292.73, 东南 南 , 精装 ,1,2013, 板楼,84, 一年前发布,15200000.0,"51,925元/平",近地铁 VR房源 房本满五年 
六米阳光 高层楼 南向 4房2厅 带35方阳台 精装修,华南碧桂园翠云山,华南碧桂园,4室2厅 ,198.73, 东南 , 精装 ,18,2008, 塔楼,0, 一年前发布,6000000.0,"30,192元/平",VR房源 房本满五年 
小区不多好房，正对南门，好位置，,亚运城技术官员村,亚运城,4室2厅 ,170.22, 南 , 精装 ,11,2010, 板楼,11, 一年前发布,5130000.0,"30,138元/平",VR看装修 房本满五年 
通风采光好，户型方正，园中位置，舒适怡人。,锦绣生态园趣园,钟村,6室2厅 ,206.0, 东南 , 其他 ,6,2005, 塔楼,15, 一年前发布,4370000.0,"21,214元/平",VR房源 房本满五年 
鑫隆世家 4室2厅 东南,鑫隆世家,石楼,4室2厅 ,132.11, 东南 , 精装 ,18,2012, 塔楼,3, 5个月以前发布,2870000.0,"21,725元/平",VR房源 房本满五年 
单证 高层江景望广州塔 南北通透对流 满五自住保养好,锦绣银湾,大石,3室2厅 ,120.96, 南 北 , 精装 ,25,2007, 板塔结合,2, 1个月以前发布,4580000.0,"37,864元/平",VR看装修 房本满五年 
南北对流大4房 宽敞的房子感受不一样的居住感觉,亚运城天誉,亚运城,4室2厅 ,185.36, 南 , 精装 ,55,2013, 塔楼,83, 一年前发布,4800000.0,"25,896元/平",VR看装修 房本满两年 
电梯四房 安静舒适 视野开阔 大露台,丽江花园丽岛翠苑,南浦,4室2厅 ,205.6, 南 北 , 精装 ,28,2006, 塔楼,39, 一年前发布,8500000.0,"41,343元/平",近地铁 VR房源 房本满五年 
广州雅居乐花园剑桥郡 5室2厅 南 北,广州雅居乐花园剑桥郡,雅居乐,5室2厅 ,221.33, 南 北 , 精装 ,48,2010, 塔楼,15, 一年前发布,14680000.0,"66,327元/平",近地铁 VR房源 房本满五年 
康乐园 正规4房  小区中间位  南向  现成电梯房  急卖,康乐园,市桥,4室2厅 ,159.5, 南 北 , 简装 ,7,1994, 板楼,13, 4个月以前发布,3500000.0,"21,944元/平",近地铁 VR看装修 房本满五年 
塔楼复式、精致装修、视野开阔、采光通风俱佳,锦绣生态园趣园,钟村,4室2厅 ,184.46, 南 北 , 简装 ,6,2005, 板楼,2, 4个月以前发布,4000000.0,"21,685元/平",VR房源 房本满两年 
富豪山庄中空复式，东南向6房，附带100方天台 过5唯一,富豪山庄,富豪山庄,6室2厅 ,204.4, 东南 南 , 精装 ,4,2005, 塔楼,150, 9个月以前发布,5150000.0,"25,196元/平",VR房源 房本满五年 
锦绣趣园 复式3层 保养好 南向位置 有大露台,锦绣生态园趣园,钟村,6室2厅 ,206.75, 东南 , 其他 ,6,2005, 塔楼,12, 7个月以前发布,4180000.0,"20,218元/平",VR房源 房本满五年 
金海岸复式楼6房 小区中间位置 全屋高档装修 选料好,金海岸花园金石碧苑,番禺客运站,6室2厅 ,223.9, 西南 , 精装 ,6,2002, 塔楼,25, 一年前发布,8100000.0,"36,177元/平",VR房源 房本满五年 
锦江四房带大露台 南北对流经典户型 业主自住保养好,锦绣香江花园布查特官邸,汉溪长隆,4室2厅 ,185.8, 南 北 , 其他 ,17,2004, 塔楼,17, 5个月以前发布,6480000.0,"34,850元/平",VR看装修 房本满五年 
满五唯一 6米中空复式5房 附100方平台花园,金沙湾花园,沙湾,4室2厅 ,180.21, 西南 , 精装 ,6,2007, 板楼,2, 2个月以前发布,4000000.0,"22,197元/平",VR房源 房本满五年 
南国奥园5房复式 南向望园景 地铁家门口,南国奥林匹克花园,汉溪长隆,5室2厅 ,174.1, 东南 南 , 其他 ,6,2006, 板楼,175, 一年前发布,4700000.0,"26,996元/平",VR房源 房本满五年 
玉兰园正规四房 南北对流 采光 通风好,锦绣香江花园玉兰园,汉溪长隆,6室4厅 ,192.29, 南 北 , 精装 ,3,2003, 平房,156, 一年前发布,6710000.0,"34,850元/平",VR房源 房本满五年 
锦绣香江华府二期高楼层，没遮档，大7房 少有放盘,锦绣香江花园山水华府,汉溪长隆,7室2厅 ,661.42, 南 , 精装 ,17,2010, 板塔结合,21, 11个月以前发布,23060000.0,"34,850元/平",VR房源 房本满五年 
近地铁 复式电梯房  通风采光好 值得拥有,华荟明苑,洛溪,5室2厅 ,201.0, 南 , 精装 ,11,2002, 板塔结合,3, 8个月以前发布,7800000.0,"38,806元/平",近地铁 VR房源 房本满五年 
金海岸花园梓园 名士静谧尊邸 高档别墅区,金海岸花园梓园,番禺客运站,8室2厅 ,707.66, 南 , 毛坯 ,1,2002, 暂无数据,11, 一年前发布,37000000.0,"52,285元/平",VR房源 房本满五年 
聚龙华庭星月轩大五房 南北对流 采光充足,富豪山庄,富豪山庄,5室2厅 ,207.2, 东 , 精装 ,5,2004, 塔楼,33, 5个月以前发布,4680000.0,"22,587元/平",VR房源 房本满五年 
高层住宅，正南向，厅出阳台，视野宽阔,瀚御居,石碁,4室3厅 ,192.09, 南 , 精装 ,11,2008, 塔楼,6, 一年前发布,4480000.0,"23,323元/平",VR房源 房本满五年 
亚运城天荟 大四房 装修保养好,亚运城天荟,亚运城,4室2厅 ,211.32, 东南 南 , 其他 ,45,2018, 塔楼,55, 一年前发布,6060000.0,"28,677元/平",近地铁 VR看装修 房本满两年 
南天名苑 一线江景 全新装修 采光好南北对流 仲元配套,南天名苑,洛溪,4室2厅 ,232.96, 南 北 , 精装 ,25,2013, 板楼,55, 一年前发布,17980000.0,"77,181元/平",VR房源 房本满两年 
南国奥林匹克花园 5室2厅 东,南国奥林匹克花园,汉溪长隆,5室2厅 ,161.09, 东 , 简装 ,6,2006, 板楼,5, 3个月以前发布,3800000.0,"23,590元/平",近地铁 VR房源 房本满五年 
复式四房单位，带天台 全新靓装修 诚意放卖,富豪山庄,富豪山庄,4室2厅 ,172.0, 西 , 其他 ,4,2013, 塔楼,9, 2个月以前发布,5000000.0,"29,070元/平",VR房源 房本满五年 
富豪山庄复式纯南向大6房 附带200方大花园 看房方便,富豪山庄,富豪山庄,6室2厅 ,345.35, 东南 南 , 其他 ,4,2005, 塔楼,63, 一年前发布,9750000.0,"28,233元/平",VR房源 房本满五年 
"星河湾六号园4+1,楼层高，户型方正，位置安静",广州星河湾星河六号园,星河湾,4室2厅 ,250.0, 南 北 , 其他 ,20,2009, 板楼,9, 一年前发布,8440000.0,"33,759元/平",VR房源 房本满两年 
户型格局方正东南向毛坯复式 自带私家泳池,番禺海伦堡流金岁月,桥南,5室2厅 ,464.05, 东南 南 , 毛坯 ,28,2009, 塔楼,5, 10个月以前发布,18500000.0,"39,867元/平",VR房源 房本满五年 
看高尔夫 花园中间户型方正实用安静舒适，装修保养好,南国奥林匹克花园,汉溪长隆,5室2厅 ,247.33, 南 北 , 精装 ,28,2006, 塔楼,3, 4个月以前发布,8800000.0,"35,580元/平",近地铁 VR看装修 房本满五年 
东方花园又一居步梯中层 南北对流双阳台 户型方正格局,东方花园又一居,番禺广场,4室2厅 ,138.0, 南 , 简装 ,7,1992, 塔楼,71, 一年前发布,3950000.0,"28,624元/平",近地铁 VR看装修 房本满五年 
精装一线望江 户型方正 看房方便 环境优美绿化高,锦绣半岛西区,南浦,4室2厅 ,166.38, 东 , 精装 ,25,2009, 塔楼,11, 一年前发布,4600000.0,"27,648元/平",VR看装修 房本满五年 
丽江花园大复式 望花园 视野开阔 空间舒适 带大露台,丽江花园康城居,南浦,5室2厅 ,242.47, 东南 南 , 简装 ,9,1999, 塔楼,16, 8个月以前发布,6250000.0,"25,777元/平",VR房源 房本满五年 
广奥复式六房  保养新净  南北对流  带大露台,广州奥林匹克花园,洛溪,6室2厅 ,165.1, 南 , 精装 ,6,2002, 塔楼,20, 一年前发布,5360000.0,"32,466元/平",VR房源 房本满五年 
地铁口房源 电梯高层 旺中带静,北城白云花园,市桥,5室2厅 ,166.1, 北 , 精装 ,16,2002, 塔楼,7, 一年前发布,4810000.0,"28,959元/平",近地铁 VR看装修 房本满五年 
此房高楼层，户型方正，通风采光好，南北对流,奥园莲峰圣境,莲花山,5室2厅 ,253.27, 南 北 , 其他 ,11,2018, 塔楼,0, 3个月以前发布,7000000.0,"27,639元/平",VR看装修 房本满两年 
少有大户型别野放 近西环路边 交通便捷,富图花园,市桥,7室1厅 ,482.5, 南 , 精装 ,1,1995, 暂无数据,0, 1个月以前发布,15000000.0,"31,089元/平",VR房源 房本满两年 
新月明珠花园 南向精装四房 配套齐全 交通便利,新月明珠花园,大石,4室2厅 ,129.0, 南 , 其他 ,22,2007, 塔楼,51, 一年前发布,4990000.0,"38,683元/平",近地铁 VR看装修 房本满五年 
锦绣半岛西区 一个证 产权清晰 景观美丽,锦绣半岛西区,南浦,4室2厅 ,211.4, 东南 , 其他 ,26,2009, 塔楼,0, 2个月以前发布,7000000.0,"33,113元/平",VR看装修 房本满五年 
南北对流格局 装修保养好 配套设施齐全,庄士映蝶蓝湾,石楼,4室1厅 ,139.71, 南 北 , 其他 ,18,2012, 塔楼,11, 2个月以前发布,2450000.0,"17,537元/平",VR房源 房本满两年 
一手业主，过五年唯一，楼层好，保养好，业主诚心卖,中环品悦,大石,2室1厅 ,82.59, 东北 , 其他 ,19,2013, 塔楼,0,11,2550000.0,"30,876元/平",VR看装修 房本满五年 随时看房 
南奥果岭，精装三房，业主诚意出*。,南国奥林匹克花园,汉溪长隆,4室2厅 ,248.0, 南 , 其他 ,28,2006, 塔楼,7, 一年前发布,10000000.0,"40,323元/平",近地铁 VR房源 房本满五年 
广地花园 二期电梯 方正四房 有二次新装修 诚*,广地花园,星河湾,4室2厅 ,160.0, 北 , 精装 ,12,2012, 板塔结合,53, 一年前发布,3870000.0,"24,176元/平",VR房源 房本满两年 
祈福新村翠湖居 北向装修保养好 格局方正实用,祈福新村翠湖居,祈福新村,4室1厅 ,133.89, 北 , 精装 ,6,2002, 板楼,33, 一年前发布,3300000.0,"24,648元/平",VR房源 房本满五年 
户型方正，原始复式，适合一家老小居住,番禺奥林匹克花园,桥南,6室2厅 ,174.3, 南 , 简装 ,6,2002, 板楼,3, 7个月以前发布,5060000.0,"29,031元/平",VR房源 房本满五年 
东湖洲一区改善型住房五房南北对流,东湖洲花园1区,番禺客运站,5室2厅 ,186.0, 南 北 , 精装 ,18,2009, 塔楼,2, 一年前发布,7280000.0,"39,140元/平",VR看装修 房本满两年 
尚上名筑名筑 五房三位 三代同堂都可以住在一起,尚上名筑二期,亚运城,5室2厅 ,169.43, 南 , 其他 ,31,2013, 塔楼,29, 一年前发布,4100000.0,"24,199元/平",VR看装修 房本满五年 
望湖景，视野开阔，采光通风好，前后阳台加宽，保养好,亚运城技术官员村,亚运城,4室1厅 ,166.24, 东南 , 精装 ,11,2010, 板楼,4, 7个月以前发布,5210000.0,"31,341元/平",VR看装修 房本满五年 
丽苑 复式南向景观四房 尽享舒适奢华生活,广州碧桂园丽苑,南浦,4室2厅 ,158.4, 南 西南 , 简装 ,6,1998, 塔楼,18, 7个月以前发布,3700000.0,"23,359元/平",近地铁 VR房源 房本满五年 
全新二次装修，可以拎包入住，产权过五年唯一,祈福新村B区,祈福新村,5室2厅 ,174.75, 南 , 其他 ,1,1995, 暂无数据,12, 7个月以前发布,11200000.0,"64,092元/平",VR房源 房本满五年 
全新精装修，户型方正，通风采光好，视野开阔，近地铁,江南新村,市桥北,3室2厅 ,96.4, 南 , 精装 ,7,1998, 塔楼,0, 1个月以前发布,2500000.0,"25,934元/平",VR房源 房本满两年 
剑桥汇505平 一线江景一户一游泳池 带装修,广州雅居乐花园剑桥郡,雅居乐,5室2厅 ,505.94, 东南 西北 , 精装 ,22,2010, 塔楼,3, 1个月以前发布,28000000.0,"55,343元/平",近地铁 VR房源 房本满两年 
此房满五唯一，视野开阔景观好。,丽江花园丽岛翠苑,南浦,4室2厅 ,199.63, 东南 西北 , 精装 ,28,2006, 塔楼,2, 2个月以前发布,8550000.0,"42,830元/平",近地铁 VR房源 房本满五年 
富豪山庄188平少有南向别墅产权清晰位置好,富豪山庄,富豪山庄,4室2厅 ,188.2, 南 , 精装 ,1, 塔楼 , 联排别墅 ,9, 2个月以前发布,9070000.0,"48,194元/平",VR房源 房本满五年 
高楼层望花园 位置安静 视野开阔,自在城市花园一二期,汉溪长隆,4室3厅 ,208.33, 北 东北 , 其他 ,10,2004, 塔楼,0, 1个月以前发布,6180000.0,"29,665元/平",VR房源 房本满两年 
花巷南北对流复式单位 视野好 带30方露台,广州雅居乐花园花巷,雅居乐,4室3厅 ,200.3, 南 北 , 精装 ,6,2010, 塔楼,114, 一年前发布,7000000.0,"34,948元/平",VR房源 房本满五年 
珊瑚湾畔 4室2厅 南 北,珊瑚湾畔,厦滘,4室2厅 ,191.26, 南 北 , 精装 ,32,2005, 塔楼,3, 11个月以前发布,8450000.0,"44,181元/平",VR看装修 房本满两年 
海滨花园 1室1厅 西北,海滨花园,洛溪,1室1厅 ,54.2, 西北 , 精装 ,8,1998, 塔楼,0,9,1550000.0,"28,598元/平",VR房源 房本满五年 随时看房 
锦绣趣园 中控复式大5房 买二层用三层  南北对流,锦绣生态园趣园,钟村,5室2厅 ,207.46, 东南 , 其他 ,6,2005, 塔楼,1, 1个月以前发布,4100000.0,"19,763元/平",VR房源 房本满五年 
高层住宅，正南向，厅出阳台，视野宽阔,瀚御居,石碁,4室3厅 ,192.09, 南 , 精装 ,11,2008, 塔楼,6, 一年前发布,4480000.0,"23,323元/平",VR房源 房本满五年 
近地铁 标准5房 安静 电梯已装好框架 满5唯一 诚心卖,东怡新区东裕园,东怡新区,5室2厅 ,186.8, 南 北 , 精装 ,7,2000, 塔楼,16, 一年前发布,4500000.0,"24,090元/平",近地铁 VR看装修 房本满五年 
东豪园难得一遇的别墅放卖，装修保养好，直接入住,东怡新区东豪园,东怡新区,5室2厅 ,578.0, 东南 , 精装 ,1,2000, 塔楼,19, 11个月以前发布,25000000.0,"43,253元/平",近地铁 VR房源 房本满五年 
布查特官邸，实用四房，低楼层双证房,锦绣香江花园布查特官邸,汉溪长隆,4室2厅 ,185.8, 东南 , 其他 ,17,2004, 塔楼,36, 一年前发布,6480000.0,"34,850元/平",VR看装修 房本满五年 
康裕北苑 顶楼复式 大户型 实用高 近地铁北城,康裕北苑,市桥,4室1厅 ,225.5, 南 北 , 其他 ,12,2005, 塔楼,2, 6个月以前发布,7000000.0,"31,043元/平",VR房源 房本满五年 
雍景山庄 5室2厅 东南 南 西南,雍景山庄,市桥,5室2厅 ,281.4, 东南 南 西南 , 其他 ,1,2007, 暂无数据,3, 8个月以前发布,13800000.0,"49,041元/平",VR房源 房本满两年 
官邸二期双证四房 南北对流看园林 高楼层看房方便,锦绣香江花园布查特官邸,汉溪长隆,4室2厅 ,169.97, 东南 , 精装 ,17,2004, 塔楼,12, 8个月以前发布,5930000.0,"34,850元/平",VR看装修 房本满五年 
亚运城天荟 大四房 装修保养好,亚运城天荟,亚运城,4室2厅 ,211.32, 东南 南 , 其他 ,45,2018, 塔楼,55, 一年前发布,6060000.0,"28,677元/平",近地铁 VR看装修 房本满两年 
广奥顶层复式，前后通风，采光明亮，配套齐全,广州奥林匹克花园,洛溪,4室2厅 ,131.0, 东南 , 其他 ,6,2002, 塔楼,10, 一年前发布,5120000.0,"39,084元/平",VR房源 房本满五年 
山水华府二期双证 南北对流  过五 省税,锦绣香江花园山水华府,汉溪长隆,3室2厅 ,92.11, 南 , 精装 ,23,2010, 塔楼,147, 一年前发布,3220000.0,"34,850元/平",VR看装修 房本满五年 
两房带大露台二次装修后秒变四房无贷款唯一,南国奥林匹克花园,汉溪长隆,4室2厅 ,90.4, 东南 , 其他 ,6,2006, 板楼,141, 一年前发布,3380000.0,"37,390元/平",VR房源 房本满五年 
华南碧桂园一二楼复式 东南朝向 带360方花园 别墅享受,华南碧桂园碧翠苑,华南碧桂园,5室2厅 ,196.48, 东南 , 简装 ,7,2001, 塔楼,1, 2个月以前发布,8700000.0,"44,280元/平",VR房源 房本满两年 
富豪山庄南向大四房，户型好，通风采光好,富豪山庄,富豪山庄,4室2厅 ,249.61, 南 , 其他 ,11,2007, 塔楼,9, 10个月以前发布,7000000.0,"28,044元/平",VR房源 房本满两年 
花园南向，产权清晰，喜欢大花园的可以点进来看看,广州雅居乐花园灏湖居,雅居乐,4室1厅 ,201.7, 南 , 其他 ,1,2004, 板塔结合,40, 11个月以前发布,7440000.0,"36,884元/平",VR房源 房本满五年 
华南碧桂园翡翠苑 四房中间楼层西南向 满五唯一,华南碧桂园翡翠苑,华南碧桂园,4室2厅 ,155.0, 西 , 其他 ,6,2001, 板楼,5, 一年前发布,4050000.0,"26,130元/平",VR房源 房本满五年 
双园林景观 装修保养好 环境好绿化漂亮 地库车位充足,锦绣香江花园山水华府,汉溪长隆,4室2厅 ,233.17, 东 西 , 精装 ,18,2010, 板楼,6, 2个月以前发布,8130000.0,"34,850元/平",VR房源 房本满五年 
珑翠大5房 业主自住 保养好 看房方便,珑翠花园,汉溪长隆,5室2厅 ,209.0, 南 , 精装 ,32,2014, 板塔结合,11, 一年前发布,11000000.0,"52,632元/平",VR房源 房本满两年 
兴业花园南向中高层刚需2房近德兴地铁,兴业花园,番禺广场,2室2厅 ,77.2, 北 , 精装 ,20,1998, 塔楼,0,14,2750000.0,"35,622元/平",近地铁 VR看装修 房本满五年 
金沙湾花园 过五唯一 视野开阔景观好 装修保养新,金沙湾花园,沙湾,4室2厅 ,106.2, 西北 , 简装 ,6,2007, 板楼,0,14,2330000.0,"21,940元/平",VR看装修 房本满五年 
华南新城北区 3室2厅 东南,华南新城北区,华南新城,3室2厅 ,106.0, 东南 , 其他 ,12,2011, 板塔结合,0,15,4200000.0,"39,623元/平",VR房源 房本满五年 
店长推荐 满五唯一 看小区园景 可谈 南北通透,尚东尚筑,番禺客运站,4室2厅 ,102.04, 南 北 , 其他 ,18,2008, 塔楼,0,16,3990000.0,"39,103元/平",VR看装修 房本满五年 
近地铁，北向单边位采光性好，全新装修，全屋智能家居,亚运城媒体北村,亚运城,2室2厅 ,72.73, 北 , 精装 ,18,2010, 塔楼,0,15,2100000.0,"28,874元/平",近地铁 VR看装修 房本满五年 
广州奥林匹克花园 2室1厅 南,广州奥林匹克花园,洛溪,2室1厅 ,86.34, 南 , 精装 ,15,2002, 塔楼,0,9,3480000.0,"40,306元/平",VR房源 房本满五年 
荷景花园一区 3室2厅 南,荷景花园一区,沙湾,3室2厅 ,118.3, 南 , 其他 ,8,1995, 塔楼,0,10,1950000.0,"16,484元/平",VR看装修 房本满五年 
中层2房 地铁 仲元  生活配套齐全,吉祥北园,洛溪,2室1厅 ,62.8, 南 , 精装 ,7,1993, 板塔结合,0,13,1600000.0,"25,478元/平",VR看装修 房本满五年 
祈福水城 2室2厅 北,祈福水城,沙湾,2室2厅 ,81.79, 北 , 其他 ,11,2008, 塔楼,0,9,1950000.0,"23,842元/平",VR房源 房本满五年 
西兴苑无遮挡 采光通风好 两房一厅 刚需房 实用性高,西兴苑,市桥,2室1厅 ,62.4, 南 , 其他 ,7,1993, 塔楼,0,12,1030000.0,"16,507元/平",VR房源 房本满两年 
即买即入住！东湖洲花园3房方正户型近地铁交通方便,东湖洲花园1区,番禺客运站,3室2厅 ,94.73, 北 , 其他 ,24,2009, 塔楼,0,12,3880000.0,"40,959元/平",VR房源 房本满五年 
康裕园东区，可以用公积金，上车小三房，看房方便的,康裕园,市桥,3室2厅 ,77.4, 南 北 , 简装 ,7,1993, 塔楼,0,10,2000000.0,"25,840元/平",VR看装修 房本满五年 
高层三房两卫 东单边 看房方便 光线充足,广州雅居乐花园剑桥郡,雅居乐,3室2厅 ,117.57, 北 , 精装 ,32,2013, 塔楼,0,11,5550000.0,"47,206元/平",近地铁 VR房源 房本满五年 
祈福新村天湖居 南向 望湖 大两房 证过5年,祈福新村天湖居,祈福新村,2室1厅 ,77.58, 西南 , 其他 ,19,2002, 板楼,0,12,2180000.0,"28,101元/平",VR房源 房本满两年 
剑桥郡正南向望山三房，看房方便，业主诚意放卖。,广州雅居乐花园剑桥郡,雅居乐,3室2厅 ,97.84, 南 , 其他 ,32,2010, 塔楼,0,10,4800000.0,"49,060元/平",近地铁 VR房源 房本满两年 
祈福新村C区 此房过五年，采光充足，装修保养好,祈福新村C区,祈福新村,3室2厅 ,85.3, 南 , 其他 ,4,1995, 板楼,1,9,2200000.0,"25,792元/平",VR房源 房本满五年 
此房过5年、位置好、保养新、交通方便、生活便利,祈福新村青怡居,祈福新村,4室2厅 ,117.3, 南 , 简装 ,5,2001, 板楼,0,10,3000000.0,"25,576元/平",VR房源 房本满五年 
房产证过5年唯一，南北对流，户型实用,祈福新村祈福名都,祈福新村,2室2厅 ,80.89, 北 , 精装 ,32,2014, 塔楼,0,9,2800000.0,"34,615元/平",VR看装修 房本满五年 
此房格局方正，出入方便，近缤纷汇商圈,祈福新村翠怡居,祈福新村,3室2厅 ,96.3, 北 , 其他 ,5,2000, 板楼,0,2,2500000.0,"25,961元/平",近地铁 VR房源 房本满五年 
布查特官邸I期 1室1厅 南,布查特官邸I期,汉溪长隆,1室1厅 ,86.86, 南 , 其他 ,23,2010, 塔楼,0,1,3030000.0,"34,850元/平",VR房源 房本满五年 
外观漂亮，户型方正，有二次装修，过五唯一，景观好,华南碧桂园漾翠苑,华南碧桂园,2室1厅 ,59.5, 南 , 其他 ,7,2001, 塔楼,0,9,2350000.0,"39,496元/平",VR房源 房本满五年 
华景较新楼龄 户型方正 采光好 不靠路,番禺华景新城,桥南,3室2厅 ,94.5, 北 , 精装 ,7,1999, 板楼,1,13,2380000.0,"25,186元/平",VR看装修 房本满五年 
翡翠明庭  实用三房两卫  证过五年，唯一少交税,美心翡翠明庭,番禺客运站,3室2厅 ,89.5, 西南 , 简装 ,6,2003, 塔楼,0,9,2500000.0,"27,933元/平",VR看装修 房本满五年 
金海岸花园聚湖 3室2厅 南,金海岸花园聚湖,番禺客运站,3室2厅 ,98.55, 南 , 精装 ,18,2002, 塔楼,1,11,4700000.0,"47,692元/平",VR房源 房本满五年 
珠江花园 3室2厅 南 西南,珠江花园,厦滘,3室2厅 ,101.2, 南 西南 , 精装 ,28,1998, 塔楼,0,12,3500000.0,"34,585元/平",近地铁 VR看装修 房本满五年 
珠殿园，满五唯一，税费少，南向，低楼层,珠殿苑,市桥,2室2厅 ,68.6, 东南 南 , 其他 ,7,1996, 塔楼,0,9,1600000.0,"23,324元/平",VR看装修 房本满五年 
香缤豪庭精装三房 南向看小区花园 业主包增值税,香缤豪庭,沙湾,3室1厅 ,63.93, 南 , 其他 ,24,2011, 塔楼,0,9,2290000.0,"35,821元/平",VR看装修 房本满两年 
房子满五唯一南向，格局方正，大花园,富丽家园乳芳园,大石,2室1厅 ,49.96, 南 , 简装 ,8,1995, 塔楼,0,14,1380000.0,"27,623元/平",VR看装修 房本满五年 
满五唯一，2017年精装修，复式楼，3.2米层,金海岸花园聚湖,番禺客运站,8室2厅 ,472.32, 南 , 精装 ,18,2002, 塔楼,5, 3个月以前发布,20280000.0,"42,937元/平",VR房源 房本满五年 
业主自住，保养好，看房方便，随时可签,广州星河湾星苑,星河湾,4室1厅 ,193.6, 南 北 , 其他 ,15,2007, 塔楼,21, 一年前发布,6540000.0,"33,759元/平",VR看装修 房本满五年 
店长推荐：东湖洲花园精装修复式5房，带大露台,东湖洲花园1区,番禺客运站,5室2厅 ,278.69, 南 , 精装 ,18,2009, 塔楼,41, 一年前发布,10500000.0,"37,677元/平",VR房源 房本满五年 
"莲花山高尔夫别墅,风景优美，环境良好。",莲花山高尔夫别墅,莲花山,5室2厅 ,350.78, 南 北 , 精装 ,1, 暂无数据 , 独栋别墅 ,8, 一年前发布,18500000.0,"52,740元/平",VR房源 房本满五年 
广州雅居乐花园一尺山居 2室1厅 东南 南,广州雅居乐花园一尺山居,雅居乐,2室1厅 ,81.47, 东南 南 , 其他 ,11,2010, 塔楼,0,12,3010000.0,"36,884元/平",VR看装修 房本满两年 随时看房 
祈福新村绿怡花园 单边 业主诚意放卖,祈福新村绿怡花园,祈福新村,5室2厅 ,126.73, 北 , 其他 ,1,2000, 板楼,50, 一年前发布,9000000.0,"71,018元/平",VR房源 房本满五年 
庄士映蝶蓝湾 满五唯一 南北对流双阳台 带车位出,庄士映蝶蓝湾,石楼,4室2厅 ,139.71, 南 北 , 精装 ,18,2012, 塔楼,1, 2个月以前发布,3300000.0,"23,621元/平",VR看装修 房本满五年 
南北对流大4房 宽敞的房子感受不一样的居住感觉,亚运城天誉,亚运城,4室2厅 ,185.36, 南 , 精装 ,55,2013, 塔楼,83, 一年前发布,4800000.0,"25,896元/平",VR看装修 房本满两年 
单证 高层江景望广州塔 南北通透对流 满五自住保养好,锦绣银湾,大石,3室2厅 ,120.96, 南 北 , 精装 ,25,2007, 板塔结合,2, 1个月以前发布,4580000.0,"37,864元/平",VR看装修 房本满五年 
六米阳光 高层楼 南向 4房2厅 带35方阳台 精装修,华南碧桂园翠云山,华南碧桂园,4室2厅 ,198.73, 东南 , 精装 ,18,2008, 塔楼,0, 一年前发布,6000000.0,"30,192元/平",VR房源 房本满五年 
庄士少有一楼复式 带独立小院 宜住家,庄士映蝶蓝湾,石楼,4室2厅 ,242.5, 南 , 其他 ,17,2012, 塔楼,1, 10个月以前发布,6000000.0,"24,743元/平",VR房源 房本满五年 
此房为电梯大四房，满五年免重税，开阳望江,亚运城技术官员村,亚运城,4室2厅 ,167.57, 南 , 简装 ,11,2010, 塔楼,14, 10个月以前发布,5200000.0,"31,032元/平",VR看装修 房本满五年 
三江汇聚之地，202方大露台，江景资源,江山帝景,华南新城,4室2厅 ,301.23, 南 北 , 精装 ,30,2011, 板楼,72, 一年前发布,11900000.0,"39,505元/平",VR房源 房本满五年 
方正实用两房，目前空置中，随时可以看房,方圆大学时光,大学城,2室1厅 ,75.42, 西南 , 其他 ,13,2011, 塔楼,0,24,2700000.0,"35,800元/平",近地铁 房本满五年 
奥园广场高层复式两房出租自用两相宜,奥园广场,桥南,3室1厅 ,80.26, 南 , 精装 ,25,2010, 塔楼,0,27,1180000.0,"14,703元/平",房本满五年 
该房源在南村方博商圈内，精装修交通便利，即买即用,招商城市主场,万博,1室2厅 ,49.11, 南 , 简装 ,22,2017, 板楼,0,28,1550000.0,"31,562元/平",近地铁 房本满两年 
电梯高层，采光好，装修保养好，安静舒适,丽江花园丽荃楼,南浦,3室2厅 ,90.6, 东北 , 其他 ,9,1995, 塔楼,0,18,2190000.0,"24,173元/平",近地铁 VR看装修 房本满五年 
户型方正，三房带主套，电梯已使用，采光好,绿庭雅苑,桥南,3室2厅 ,88.0, 北 , 简装 ,6,2005, 塔楼,0,17,2300000.0,"26,137元/平",VR房源 房本满五年 
番禺华景新城 3室2厅 南,番禺华景新城,桥南,3室2厅 ,142.9, 南 , 精装 ,12,1999, 板楼,0,14,4380000.0,"30,651元/平",VR看装修 房本满五年 
城市花园三房 过五唯一  带天台 实用率高,石碁城市花园,番禺客运站,3室2厅 ,89.9, 南 北 , 其他 ,6,2001, 板楼,1,16,2020000.0,"22,470元/平",VR看装修 房本满五年 
万科欧泊 成熟小区 实用三房 户型方正 景观好,万科欧泊,万博,3室2厅 ,95.93, 北 , 精装 ,35,2012, 板塔结合,0,14,4360000.0,"45,408元/平",近地铁 VR看装修 房本满五年 
