,位置,次数
3382,金泽豪庭,112
3383,源海仙村一号,5
3384,敏捷莱茵花园,17
3385,翡翠绿洲湖绣苑,22
3386,奥园誉峯,11
3387,碧桂园凤凰城凤荔苑,10
3388,中国铁建国际花园,21
3389,锦绣半山御景,16
3390,碧桂园城市花园花岸苑,49
3391,富城花园,4
3392,嘉骏豪苑,21
3393,群星新邨,35
3394,水电二局宿舍,15
3395,碧桂园荔园,4
3396,假日花园,9
3397,合景花漫里,21
3398,顶好大厦,10
3399,太阳城巧克力,16
3400,现代城市花园,27
3401,新塘广场,11
3402,卫山北二路,3
3403,中森茗苑,14
3404,尚东阳光雅苑,58
3405,金泽华庭,21
3406,碧桂园豪园林湖苑,6
3407,侨建御溪谷南区,13
3408,亚太新城亚太银座一期,11
3409,水电广场,15
3410,保利平方花园,7
3411,新塘新世界花园嘉华苑,24
3412,时尚广场,12
3413,保利东江首府,48
3414,碧桂园凤凰城凤妍苑,35
3415,金地荔湖城公园上城,45
3416,景新豪苑,7
3417,广发大厦,4
3418,金凤皇庭,3
3419,锦绣御景国际一期,6
3420,碧桂园凤凰城凤晴苑,24
3421,碧桂园凤凰城凤凰名苑,11
3422,碧桂园城市花园漫绿苑,60
3423,顺欣花园,14
3424,时代天启,12
3425,碧桂园凤凰城凤仪苑,32
3426,保利壹号公馆,10
3427,碧桂园豪园荔山苑,14
3428,力诚凯怡湾,20
3429,实地蔷薇国际,10
3430,恒大山水郡,13
3431,城市家园二期,15
3432,保利中航城二期,5
3433,汇港威华雅苑,25
3434,新汇时光,4
3435,叠溪花园,4
3436,西福蓝湾,30
3437,荔富湖畔,17
3438,合汇·中央广场,19
3439,金马香颂居,11
3440,美业阁,8
3441,丰泰城市公馆,10
3442,城市家园一期,4
3443,山水大厦小区,3
3444,融创御园,7
3445,岭秀苑,4
3446,海伦春天,40
3447,新康花园康馨苑,9
3448,金色港湾,12
3449,顺欣广场,19
3450,锦绣御景国际四期,9
3451,恒展江山时代花园,12
3452,金地荔湖城水立坊,6
3453,亚太新城亚太银座二期,7
3454,碧桂园凤凰城凤天苑,10
3455,富雅名居,6
3456,金康花园,3
3457,广州敏捷绿湖首府一期,24
3458,富好城,2
3459,中海联智汇城,4
3460,广州敏捷绿湖首府,4
3461,锦绣御景国际二期,4
3462,景江大厦,3
3463,敏捷锦绣星河,4
3464,大东汇,2
3465,石滩第一城,16
3466,新塘新世界花园嘉乐苑,4
3467,金地荔湖城,6
3468,翡翠绿洲湖翠苑,29
3469,敏捷锦绣星辰,9
3470,翡翠绿洲育才阳光苑,7
3471,合生湖山国际,32
3472,新塘新世界花园,9
3473,恒福花园,4
3474,新塘新世界花园嘉怡苑,4
3475,广州敏捷绿湖首府二期,16
3476,碧桂园豪进左岸,25
3477,侨建御溪谷北区,18
3478,增城雅居乐御宾府,2
3479,逸翠庄园,8
3480,三江盛汇,13
3481,荔城碧桂园,4
3482,碧桂园凤凰城凤凰岛,5
3483,荔建花园,2
3484,崇和花园,11
3485,碧桂园豪园挂绿湖,5
3486,广悦轩泊爵,2
3487,碧桂园凤凰城凤岭苑,6
3488,同创滨江,6
3489,美景阁,5
3490,观园壹号,4
3491,翡翠绿洲泊郡,4
3492,碧桂园凤凰城凤盈苑,11
3493,碧桂园豪园鹤鸣苑,2
3494,碧桂园凤凰城凤雅苑,2
3495,碧桂园凤凰城凤泉苑,2
3496,景新国际名城,20
3497,中海香樟墅,2
3498,中坚豪庭,3
3499,汇港豪庭,1
3500,园墩路,1
3501,碧桂园凤凰城凤凰苑,1
3502,翡翠绿洲宝林苑,1
3503,广州海伦堡中天花园,1
3504,紫云山庄,1
3505,雅景居,1
3506,雅居乐三千院,3
3507,碧桂园豪园荔湖苑,1
3508,碧桂园凤凰城凤湖苑,2
3509,海宇大厦,2
3510,海日中心,1
3511,碧桂园映象,13
3512,荔晶豪苑,1
3513,新天美地花园,1
3514,碧桂园东湖1号,1
3515,合盛秀丽庄园,1
3516,锦绣御景苑三期,1
3517,嘉御豪庭,6
3518,东凌广场,9
3519,碧桂园中新首府,2
3520,百晟汇翠湾,2
3521,金时花园,1
3522,锦绣御景国际三期,3
3523,荔城尚东,8
3524,亚太新城富群苑,1
3525,碧桂园琥珀湾,25
3526,东景华庭,3
3527,锦绣银苑,2
3528,方圆云山诗意二期,1
3529,锦绣御景苑一二期,2
3530,嘉汇四季阳光,3
3531,誉山国际五区学府里,1
3532,汇港轩,2
3533,方圆云山诗意,3
3534,莲园新村,1
3535,新利大厦,2
3536,银城居,2
3537,欧亚公馆,2
3538,西宁南路,2
3539,广东省源天工程公司宿舍,2
3540,乐天峰公馆,1
3541,明星新村,1
3542,碧桂园豪园翠湖苑,1
